Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,65826,60966,56669,52900,49626,46812,44425,42429,40793,39480,38435,37602,37058,36814,36768,36818,36993,36937,36466,35716,34997,34232,33466,32749.000000000004,32026.000000000004,31249,30487,29433,27949,26212,24521,22796,21362,20406,19776,19126,18518,17953,17395,16857,16388,15978,15573,15152,14728,14340,13978,13643,13339,13061,12788,12508,12284,12138,12032,11916,11810,11598,11218,10728,10248,9758,9276,8821,8387,7934,7457,7038,6709,6432,6146,5877,5522,5027,4446,3893,3350,2841,2391,1990,1600,1219,917,721,603,502,430,362,283,201,134,95,75,53,29,15,13,10,6,3,3
1951,74204,64610,59903,55761,52143,49012,46337,44089,42186,40573,39238,38168,37300,36715,36429,36343,36344,36466,36365,35864,35095,34357,33576,32802,32087.000000000004,31375,30611,29865,28833,27376,25670,24012,22320,20918,19986,19376,18747,18160,17612,17069,16542,16082.999999999998,15681,15285,14874,14463,14085,13731,13402,13100,12823,12549,12267,12037,11879,11758,11625,11502,11275,10885,10388,9901,9404,8915,8455,8016,7560,7083,6660,6321,6030,5735,5457,5103,4622,4066,3538,3021,2542,2125,1761,1407,1064,793,618,512,425,363,305,237,167,110,78,62,44,24,13,10,7,3,3
1952,80915,72749,63344,58794,54809,51345,48359,45825,43716,41906,40320,38964,37869,36966,36341,36015,35888,35842,35910,35765,35234,34447,33692,32895,32113.999999999996,31401,30700,29950,29221,28211,26783,25109,23484,21829,20458,19552,18962,18354,17787,17258,16729,16213.999999999998,15765,15371,14984,14585,14186,13818,13473,13150,12852,12574,12300,12017,11781,11611,11474,11325,11185,10944,10545,10042,9547,9044,8549,8084,7641,7182,6705,6278,5929,5626,5321,5035,4681,4216,3685,3182,2691,2241,1859,1531,1214,909,669,514,421,347,296,248,191,132,86,61,49,34,18,10,7,3,3
1953,86044,77222,69581,62233,57829,53991,50671,47823,45423,43448,41728,40163,38782,37660,36722,36055,35688,35521,35426,35441,35251,34690,33883,33109,32293.999999999996,31504,30793,30101,29363,28649,27659,26255,24610,23014,21390,20048,19165,18595,18007,17459,16946,16430,15925,15485,15099,14721,14332,13945,13586,13248,12931,12635,12357,12081,11797,11554,11372,11219,11054,10896,10640,10230,9720,9218,8707,8204,7733,7285,6822,6344,5913,5553,5237,4921,4626,4272,3821,3314,2834,2368,1948,1598,1305,1024,756,547,412,331,270,231,192,146,98,63,45,36,25,13,6,3,3
1954,89673,80956,73343,66753,61314,57041,53339,50154,47434,45161,43315,41678,40131,38721,37568,36591,35880,35471,35262,35120,35082,34846,34253,33424,32627.000000000004,31793,30991,30279,29594,28866,28164,27191,25808,24186,22615,21018,19700,18837,18284,17714,17184,16687,16181.999999999998,15686,15254,14874,14502,14123,13746,13395,13065,12752,12457,12178,11900,11613,11363,11168,10998,10816,10641,10368,9947,9428,8917,8396,7885,7406,6951,6483,6002,5565,5194,4863,4536,4231,3876,3437,2952,2496,2053,1660,1342,1084,837,606,427,311,243,195,166,136,101,64,39,29,23,16,8,3,3
1955,91885,84006,76987,70771,65301,60520,56371,52797,49741,47145,44994,43274,41717,40184,38743,37556,36538,35781,35329,35078,34887,34795,34513,33886,33033,32213,31356,30541,29827,29148,28428,27737,26779,25414,23811,22262,20688,19392,18548,18011,17458,16945,16461,15966,15478,15053,14679,14314,13943,13575,13232,12908,12598,12305,12024,11743,11452,11195,10987,10800,10600,10406,10118,9684,9155,8633,8101.000000000001,7580,7093,6630,6156,5671,5227,4843,4498,4159,3842,3486,3059,2595,2160,1739,1373,1087,863,651,456,307,210,154,119,101,80,56,31,15,13,10,6,3,3
1956,92025,89523,82459,76020,70183,64927.00000000001,60198,55944,52293,49282,46798,44677,42936,41361,39822,38383,37189,36156,35385,34923,34664,34464,34363,34077,33451,32604,31790,30942,30135,29427,28755,28043,27361,26414,25065,23482,21952,20397,19116,18282,17751,17203,16695,16216.000000000002,15725,15239,14815,14441,14074,13701,13329,12981,12650,12333,12031,11740,11448,11148,10878,10654,10451,10235,10025,9723,9282,8749,8224,7690,7169,6682,6220,5748,5269,4830,4450,4108,3775,3464,3123,2725,2298,1900,1517,1186,931,735,549,382,259,178,128,98,83,66,46,25,13,10,6,3,3
1957,91752,87178,87547,81264,75375,69892,64825.99999999999,60129,55753,52010,49031,46649,44549,42780,41179,39629,38186,36978,35927,35140,34665,34397,34188,34077,33785,33158,32313.000000000004,31503,30659,29857,29153,28485,27778,27102,26162,24824,23253,21735,20192,18921,18094,17567,17022,16517,16039.000000000002,15550,15065,14641,14265,13895,13518,13140,12785,12447,12121,11809,11506,11204,10891,10608,10368,10147,9914,9686,9371,8920,8382,7851,7313,6789,6300,5837,5366,4891,4456,4077,3738,3409,3103,2776,2404,2013,1649,1301,1004,780,611,449,310,212,146,103,77,65,52,36,19,10,6,3,3
1958,91474,88695,85487,85714,80205,74857,69718,64834.99999999999,60162,55656,51815,48863,46578,44497,42696,41067,39503,38053,36830,35758,34953,34465,34188,33968,33848,33549,32920,32076,31268,30428,29629,28928,28263,27560,26887,25953,24624,23063,21554,20021,18758,17935,17411,16870,16366,15890,15401,14916,14490,14112,13740,13357,12972,12610,12264,11929,11606,11292,10977,10653,10356,10099,9859,9609,9364,9034,8573,8028.000000000001,7491,6948,6420,5928,5463,4993,4521,4088,3711,3373,3048,2746,2432,2086,1730,1400,1087,824,630,488,350,238,166,114,78,57,48,38,26,14,6,3,3
1959,91730,90355,88222,85439,83854,79121,74319,69527,64827,60180,55545,51605,48682,46496,44432,42601,40944,39366,37910,36673,35580,34757,34256,33969,33740,33610,33304,32673,31830,31024,30188,29393,28695,28033,27334,26665,25738,24417,22866,21368,19844,18590,17772,17251,16712,16210.999999999998,15736,15247,14763,14336,13956,13580,13192,12801,12432,12078,11734,11400,11074,10747,10411,10100,9826,9569,9300,9038,8693,8223,7671,7128,6580,6048,5553,5086,4617,4148,3718,3342,3006,2684,2387,2086,1767,1445,1150,872,643,479,364,250,166,119,82,53,36,30,24,16,8,3,3
1960,93093,92385,90798,88447,85448,81916,77965,73713,69273,64762,60144,55384,51350,48458,46372,44328,42468,40784,39194,37734,36482,35370,34530,34016,33720,33481,33341,33030,32397,31556,30753,29920,29130,28436,27777,27083,26419,25499,24188,22649,21162,19650,18404,17593,17076,16540,16041,15567,15080,14596,14169,13787,13407,13015,12619,12242,11880,11527,11183,10846,10507,10159,9834,9544,9269,8983,8703,8344,7864,7306,6757,6205,5670,5172,4704,4236,3771,3344,2969,2635,2318,2025,1738,1445,1159,899,656,461,327,240,150,94,72,50,27,16,13,10,7,3,3
1961,96049,92921,91730,89894,87488,84582,81296,77749,73780,69369,64727.99999999999,60056,55272,51214,48309,46216,44157,42277,40576,38975,37510,36252,35135,34290,33774,33476,33237,33099,32789,32159,31322,30523,29696,28911,28221,27566,26875,26215,25300,23996,22465,20985,19480,18240,17431,16913,16376.999999999998,15876,15400,14908,14418,13984,13594,13206,12804,12397,12009,11635,11270,10913,10563,10212,9852,9514,9207,8913,8611,8316,7945,7460,6901,6353,5803,5273,4785,4329,3875,3426,3017,2661,2346,2049,1777,1514,1251,997,764,553,391,277,199,123,78,60,42,22,13,10,6,3,3
1962,100316,98253,92594,90921,88840,86381,83573,80540,77402,73724,69349,64584.99999999999,59867,55067,50993,48080,45983,43913,42014,40300,38692,37224,35962,34840,33993,33475,33177,32938,32800,32493.000000000004,31867,31036,30243,29422,28643,27958,27308,26622,25967,25058,23763,22244,20774,19279,18046,17240,16723,16186,15685,15206,14711,14215,13775,13378,12982,12571,12154,11756,11371,10994,10625,10263,9900,9529,9177,8854,8543,8225,7915,7533,7043,6484,5937,5390,4867,4389,3946,3507,3076,2685,2348,2053,1777,1526,1288,1054,833,628,450,320,226,159,97,62,47,33,18,10,6,3,3
1963,105403,101774,98231,92207,90054,87730,85221,82513,79733,77006,73621,69284,64400.99999999999,59639,54827,50739,47820,45720,43640,41725,39998,38384,36914,35649,34524,33674,33155,32856,32618.000000000004,32481,32176.000000000004,31555,30729,29943,29130,28357,27678,27033,26353,25703,24801,23516,22008,20549,19065,17840,17038,16522,15986,15484,15003,14505,14004,13558,13154,12750,12330,11904,11496,11100,10712,10331,9957,9582,9199,8834,8496,8167,7834,7509,7117,6622,6064,5519,4975,4459,3991,3562,3138,2724,2352,2033.9999999999998,1759,1504,1274,1061,858,670,491,346,250,176,118,70,45,35,24,13,6,3,3
1964,110578,105468,100879,96742,91897,89264,86694,84133,81523,78993,76674,73579,69277,64271,59462,54632,50528,47600,45496,43404,41472,39730,38108,36635,35366,34237,33384,32863,32563.000000000004,32325.000000000004,32189.999999999996,31887,31270,30449,29669,28862,28095,27422,26781,26106,25460,24564,23289,21791,20342,18867,17649,16851,16335,15799,15296,14813,14310,13805,13353,12941,12529,12100,11664,11246,10838,10438,10046,9659,9272,8878,8500,8145,7799,7450,7110,6707,6208,5649,5105,4565,4054.9999999999995,3597,3180,2772,2375,2021,1722,1467,1233,1024,835,662,507,356,243,179,125,77,43,29,22,15,8,3,3
1965,115284,109171,103856,99240,95223,91705,88587,85769,83152,80635,78354,76440,73630,69358,64223,59360,54507,50381,47440,45330,43223,41270,39512,37881,36402,35127,33993,33136,32613,32311.999999999996,32073.999999999996,31939,31638,31024,30208,29432,28631,27869,27200,26563,25892,25250,24359,23091,21602,20161,18693,17481,16684,16169,15632,15128,14642,14135,13623,13164,12745,12324,11886,11439,11010,10591,10178,9773,9374,8974,8568,8176,7804,7441,7075,6720,6305,5801,5241,4698,4160,3656,3207,2803,2409,2028,1693,1412,1177,963,774,610,466,344,221,140,109,75,37,16,13,10,6,3,3
1966,118879,113731,108045,103050,98660,94790,91344,88227,85406,82817,80342,78065,76129,73301,69026,63898,59035,54176,50046,47105,44996,42890,40939,39184,37557,36086,34818,33691,32840,32320.999999999996,32022,31786,31653,31356,30747,29936,29166,28370,27613,26946,26310,25640,24998,24109,22847,21367,19932,18472,17263,16465,15944,15402,14892,14399,13884,13363,12894,12464,12032,11584,11127,10687,10257,9834,9417,9007,8596,8180.999999999999,7779,7396,7020,6643,6279,5863,5366,4823,4297,3777,3294,2871,2495,2130,1779,1473,1220,1008.9999999999999,818,655,516,393,285,181,115,90,62,30,14,11,7,3,3
