Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,144488.0,134382.0,125913.0,118907.99999999999,113199.0,108613.0,104981.00000000001,102131.0,99893.99999999999,98097.00000000001,96878.99999999999,96375.0,94878.99999999999,91605.0,87305.0,83411.0,79514.0,76640.0,75408.0,75233.0,74928.0,74743.0,74247.0,73109.0,71567.0,70169.0,68783.0,67457.0,66265.0,65125.0,63885.0,62575.0,61103.0,59406.00000000001,57528.0,55623.99999999999,53725.0,51556.99999999999,49020.0,46265.0,43521.0,40708.0,38223.0,36278.0,34686.0,33078.0,31564.0,29912.0,27984.0,25921.0,23974.0,22059.0,20434.0,19242.0,18340.999999999996,17448.0,16628.0,15735.999999999998,14675.0,13519.0,12447.000000000002,11432.0,10437.999999999998,9469.0,8533.999999999998,7632.000000000001,6752.000000000001,5975.0,5335.0,4796.0,4292.0,3843.0,3385.0,2881.9999999999995,2369.0,1906.0,1466.0,1132.0000000000002,944.0000000000001,857.0,785.9999999999999,752.0,684.0,540.0,354.0,201.99999999999997,62.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
1951,169613.0,144967.0,135037.99999999997,126699.0,119783.99999999999,114126.0,109558.0,105914.0,103022.0,100716.00000000001,98829.0,97507.0,96891.0,95276.00000000001,91880.0,87460.0,83445.0,79421.0,76469.0,75231.00000000001,75098.99999999999,74833.0,74693.0,74230.0,73098.99999999999,71546.0,70146.0,68768.0,67422.0,66167.0,64940.0,63619.0,62227.0,60707.0,59019.0,57188.0,55325.0,53464.0,51354.0,48900.0,46242.0,43595.0,40889.0,38458.0,36482.0,34805.0,33117.0,31506.0,29800.0,27890.0,25886.0,23984.0,22120.0,20496.0,19226.0,18198.0,17191.0,16258.0,15280.999999999998,14180.0,13017.999999999998,11937.000000000002,10907.0,9935.0,9037.0,8203.0,7402.0,6635.0,5928.0,5286.000000000001,4700.0,4156.000000000001,3663.0000000000005,3182.0,2694.0,2219.0,1786.0,1376.9999999999998,1063.0,878.0,782.0,705.0,664.0,597.0,467.0,305.0,166.0,50.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1952,189404.00000000003,169497.0,144352.0,134675.0,126531.0,119758.0,114194.0,109678.0,106048.99999999999,103137.99999999999,100780.0,98816.0,97400.0,96676.0,94954.0,91461.0,86954.0,82848.99999999999,78727.0,75718.0,74485.0,74396.99999999999,74173.0,74078.0,73651.00000000001,72535.0,70983.0,69593.0,68233.0,66877.0,65568.0,64262.0,62870.0,61406.00000000001,59851.00000000001,58184.0,56413.99999999999,54607.0,52797.0,50762.0,48411.0,45870.0,43339.0,40760.99999999999,38403.0,36410.0,34662.0,32905.0,31211.0,29463.0,27584.0,25654.0,23813.000000000004,22014.0,20404.0,19065.0,17916.0,16803.0,15764.000000000002,14707.0,13575.0,12417.0,11333.0,10297.0,9354.0,8533.999999999998,7808.0,7115.0,6468.0,5836.0,5197.0,4567.0,3988.0,3455.0,2953.9999999999995,2484.0,2051.0,1652.0,1277.0000000000002,986.0,804.0,700.0,618.0,571.0000000000001,505.0,391.0,253.0,130.0,38.0,1.0,1.0,0.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
1953,203214.00000000003,181292.0,162695.0,143543.99999999997,134132.0,126193.0,119571.0,114107.99999999999,109649.0,106041.0,103115.0,100707.00000000001,98669.0,97162.0,96332.00000000001,94505.0,90921.0,86334.0,82143.99999999999,77930.0,74868.0,73641.0,73598.0,73415.0,73365.0,72973.99999999999,71877.0,70328.0,68947.0,67608.0,66243.0,64882.00000000001,63500.0,62040.0,60506.0,58917.0,57273.99999999999,55566.0,53817.0,52062.0,50103.0,47858.00000000001,45437.0,43026.0,40580.0,38296.0,36290.0,34472.0,32650.0,30874.000000000004,29087.0,27241.999999999996,25389.0,23610.0,21879.0,20285.0,18879.0,17612.000000000004,16394.000000000004,15250.0,14116.0,12955.0,11800.999999999998,10717.0,9675.0,8762.0,8022.0,7404.0,6819.0,6292.000000000001,5736.000000000001,5101.0,4428.999999999999,3816.0000000000005,3243.0000000000005,2723.0000000000005,2272.0,1881.0,1516.0,1175.0,907.0,730.0,618.0,531.0,477.00000000000006,413.0,315.0,200.0,93.00000000000001,26.000000000000004,1.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
1954,210905.0,189632.0,171375.99999999997,155892.0,142922.0,133761.0,126016.0,119535.0,114166.0,109760.0,106167.99999999999,103222.00000000001,100762.99999999999,98649.0,97047.99999999999,96111.0,94178.0,90497.00000000001,85825.0,81545.0,77234.0,74117.0,72893.99999999999,72895.0,72753.0,72748.0,72393.99999999999,71312.0,69764.0,68392.0,67071.0,65696.0,64282.0,62821.99999999999,61292.0,59686.00000000001,58062.0,56440.0,54793.0,53100.0,51396.0,49511.0,47368.0,45063.0,42769.0,40450.0,38238.0,36216.0,34327.0,32436.999999999996,30578.000000000004,28749.000000000004,26936.0,25156.999999999996,23438.000000000004,21772.0,20192.0,18717.0,17331.0,16007.000000000002,14758.0,13546.0,12353.0,11203.0,10117.0,9068.999999999998,8185.000000000001,7523.0,7012.0,6534.0,6125.0,5644.0,5011.0,4297.0,3648.9999999999995,3035.0,2496.0,2063.0,1713.0,1383.0,1075.9999999999998,831.0,657.0,537.9999999999999,445.0,384.0,322.0,239.0,148.00000000000003,55.99999999999999,15.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
1955,212643.0,194710.0,178874.00000000003,164988.0,152905.0,142476.0,133555.0,125994.0,119647.0,114365.0,110005.0,106423.99999999999,103455.0,100942.0,98749.0,97054.0,96009.0,93967.00000000001,90186.0,85422.00000000001,81048.0,76635.0,73458.0,72238.0,72283.0,72182.0,72222.0,71903.0,70835.0,69286.99999999999,67922.0,66618.0,65231.00000000001,63762.0,62223.0,60620.0,58942.0,57279.0,55677.0,54089.0,52448.0,50794.0,48980.0,46937.0,44745.0,42565.0,40370.0,38227.0,36187.0,34225.0,32264.000000000004,30320.0,28447.0,26664.0,24956.0,23295.0,21691.999999999996,20124.000000000004,18579.0,17073.0,15640.999999999998,14285.0,12993.0,11767.999999999998,10619.000000000002,9531.0,8475.0,7617.999999999999,7032.999999999999,6629.0,6257.000000000001,5966.0,5559.0,4928.999999999999,4170.0,3486.0,2832.0,2272.0,1857.0,1549.0000000000002,1252.0,978.0,755.0,585.0,457.0,359.0,292.0,231.99999999999997,163.99999999999997,96.99999999999999,20.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1956,208070.0,208173.0,192469.00000000003,178062.0,164937.0,153077.0,142335.0,132563.0,124407.99999999999,118119.0,113283.99999999999,109102.0,105570.0,102617.0,100072.0,97821.0,96069.0,94955.0,92897.0,89184.0,84540.0,80275.0,75976.0,72881.0,71688.0,71723.0,71620.0,71657.0,71334.0,70266.0,68718.0,67348.99999999999,66036.99999999999,64646.99999999999,63181.00000000001,61650.0,60053.99999999999,58381.0,56723.0,55120.0,53530.0,51887.0,50231.0,48416.00000000001,46371.0,44178.00000000001,41996.0,39798.0,37656.0,35621.0,33666.0,31714.000000000004,29780.0,27910.999999999996,26121.0,24401.0,22730.0,21116.999999999996,19548.0,18014.0,16529.0,15116.0,13780.0,12508.0,11302.0,10171.0,9102.0,8068.999999999999,7226.0,6638.999999999999,6225.0,5846.0,5546.0,5144.0,4540.0,3822.0,3177.0,2562.0,2039.0000000000002,1655.0,1372.0,1102.0,856.0,655.9999999999999,504.0,389.0,303.0,247.0,196.0,138.0,80.0,16.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1957,201169.0,195807.00000000003,204824.0,191254.00000000003,178192.0,165754.00000000003,154054.0,142945.0,132275.0,123486.0,117222.00000000001,112805.0,108779.0,105276.00000000001,102323.0,99734.0,97413.0,95596.0,94407.99999999999,92323.0,88657.99999999999,84107.99999999999,79929.0,75721.0,72691.0,71518.0,71545.0,71438.0,71473.0,71143.99999999999,70070.0,68515.0,67135.0,65808.0,64406.00000000001,62936.00000000001,61404.0,59806.00000000001,58131.0,56468.99999999999,54857.0,53256.0,51603.0,49936.00000000001,48110.0,46052.0,43846.0,41651.0,39440.0,37286.0,35245.0,33289.0,31334.0,29400.0,27524.0,25719.0,23978.0,22289.0,20656.999999999996,19078.0,17548.0,16075.0,14675.0,13350.0,12092.0,10898.0,9779.0,8724.0,7707.999999999999,6874.0,6282.0,5856.0,5468.0,5157.0,4757.0,4177.0,3496.0000000000005,2886.0,2307.0,1818.0,1462.0,1204.0,959.0000000000001,739.0000000000001,561.0,425.0,324.0,249.0,203.0,161.0,113.0,63.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1958,193662.0,195255.0,194097.0,201937.0,190472.99999999997,178729.0,166951.0,155385.0,143881.0,132287.99999999997,122844.0,116591.00000000001,112583.0,108702.99999999999,105222.00000000001,102262.99999999999,99622.99999999999,97227.0,95339.0,94075.0,91958.0,88332.00000000001,83868.0,79765.0,75638.0,72666.0,71511.00000000001,71529.0,71420.0,71452.0,71117.0,70033.0,68467.0,67073.00000000001,65728.00000000001,64312.0,62833.99999999999,61299.0,59695.0,58013.99999999999,56342.0,54718.99999999999,53103.0,51435.0,49755.0,47913.00000000001,45838.0,43614.0,41401.0,39170.0,37001.0,34950.0,32986.0,31024.0,29085.0,27199.0,25374.000000000004,23609.0,21897.0,20243.0,18650.0,17120.0,15657.0,14265.0,12950.0,11702.0,10517.999999999998,9408.999999999998,8365.0,7364.0,6536.000000000001,5939.0,5500.0,5101.0,4779.0,4381.0,3823.0,3177.0,2601.0000000000005,2057.0,1601.0,1272.0,1038.0,818.0,623.0,467.0,348.0,259.0,195.0,160.0,126.0,88.00000000000001,47.0,9.000000000000002,2.0,1.0,1.0,0.0,0.0,0.0,0.0
1959,187866.0,194963.0,198069.00000000003,197671.0,199025.99999999997,189680.0,179259.0,168144.0,156713.0,144814.0,132293.99999999997,122192.0,115951.00000000001,112354.0,108621.00000000001,105163.0,102197.0,99506.0,97035.0,95077.00000000001,93736.0,91586.0,88001.0,83621.00000000001,79596.0,75550.0,72637.0,71501.0,71509.0,71396.99999999999,71426.99999999999,71085.0,69992.0,68416.0,67007.0,65645.0,64214.0,62729.0,61190.0,59580.0,57893.0,56213.0,54577.0,52946.00000000001,51265.0,49570.0,47711.99999999999,45621.0,43379.0,41147.0,38898.0,36713.0,34650.99999999999,32680.0,30712.0,28768.0,26872.0,25026.999999999996,23237.0,21503.0,19826.0,18220.0,16690.0,15237.0,13854.000000000002,12548.0,11310.0,10136.000000000002,9036.0,8004.0,7018.0,6197.0,5593.999999999999,5142.0,4733.000000000001,4400.0,4003.0,3467.0,2856.9999999999995,2315.0,1806.0,1382.0,1081.0,871.0,675.9999999999999,507.0,373.0,270.0,193.0,140.0,117.0,92.0,63.0,31.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
