Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.14114672,0.02237352,0.02237352,0.02237352,0.02237352,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.00304483,0.00304483,0.00304483,0.00304483,0.00304483,0.00393286,0.00393286,0.00393286,0.00393286,0.00393286,0.00484653,0.00484653,0.00484653,0.00484653,0.00484653,0.00554237,0.00554237,0.00554237,0.00554237,0.00554237,0.00643474,0.00643474,0.00643474,0.00643474,0.00643474,0.00749071,0.00749071,0.00749071,0.00749071,0.00749071,0.00877708,0.00877708,0.00877708,0.00877708,0.00877708,0.01010334,0.01010334,0.01010334,0.01010334,0.01010334,0.01340256,0.01340256,0.01340256,0.01340256,0.01340256,0.01824299,0.01824299,0.01824299,0.01824299,0.01824299,0.02853332,0.02853332,0.02853332,0.02853332,0.02853332,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.07075988,0.07075988,0.07075988,0.07075988,0.07075988,0.10927914,0.10927914,0.10927914,0.10927914,0.10927914,0.16356101,0.16356101,0.16356101,0.16356101,0.16356101,0.23505829,0.23505829,0.23505829,0.23505829,0.23505829,0.32437454,0.32437454,0.32437454,0.32437454,0.32437454,0.42394838,0.42394838,0.42394838,0.42394838,0.42394838,0.54293509
1951,0.14114672,0.02237352,0.02237352,0.02237352,0.02237352,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.00304483,0.00304483,0.00304483,0.00304483,0.00304483,0.00393286,0.00393286,0.00393286,0.00393286,0.00393286,0.00484653,0.00484653,0.00484653,0.00484653,0.00484653,0.00554237,0.00554237,0.00554237,0.00554237,0.00554237,0.00643474,0.00643474,0.00643474,0.00643474,0.00643474,0.00749071,0.00749071,0.00749071,0.00749071,0.00749071,0.00877708,0.00877708,0.00877708,0.00877708,0.00877708,0.01010334,0.01010334,0.01010334,0.01010334,0.01010334,0.01340256,0.01340256,0.01340256,0.01340256,0.01340256,0.01824299,0.01824299,0.01824299,0.01824299,0.01824299,0.02853332,0.02853332,0.02853332,0.02853332,0.02853332,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.07075988,0.07075988,0.07075988,0.07075988,0.07075988,0.10927914,0.10927914,0.10927914,0.10927914,0.10927914,0.16356101,0.16356101,0.16356101,0.16356101,0.16356101,0.23505829,0.23505829,0.23505829,0.23505829,0.23505829,0.32437454,0.32437454,0.32437454,0.32437454,0.32437454,0.42394838,0.42394838,0.42394838,0.42394838,0.42394838,0.54293509
1952,0.14114672,0.02237352,0.02237352,0.02237352,0.02237352,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.00304483,0.00304483,0.00304483,0.00304483,0.00304483,0.00393286,0.00393286,0.00393286,0.00393286,0.00393286,0.00484653,0.00484653,0.00484653,0.00484653,0.00484653,0.00554237,0.00554237,0.00554237,0.00554237,0.00554237,0.00643474,0.00643474,0.00643474,0.00643474,0.00643474,0.00749071,0.00749071,0.00749071,0.00749071,0.00749071,0.00877708,0.00877708,0.00877708,0.00877708,0.00877708,0.01010334,0.01010334,0.01010334,0.01010334,0.01010334,0.01340256,0.01340256,0.01340256,0.01340256,0.01340256,0.01824299,0.01824299,0.01824299,0.01824299,0.01824299,0.02853332,0.02853332,0.02853332,0.02853332,0.02853332,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.07075988,0.07075988,0.07075988,0.07075988,0.07075988,0.10927914,0.10927914,0.10927914,0.10927914,0.10927914,0.16356101,0.16356101,0.16356101,0.16356101,0.16356101,0.23505829,0.23505829,0.23505829,0.23505829,0.23505829,0.32437454,0.32437454,0.32437454,0.32437454,0.32437454,0.42394838,0.42394838,0.42394838,0.42394838,0.42394838,0.54293509
1953,0.14114672,0.02237352,0.02237352,0.02237352,0.02237352,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.00304483,0.00304483,0.00304483,0.00304483,0.00304483,0.00393286,0.00393286,0.00393286,0.00393286,0.00393286,0.00484653,0.00484653,0.00484653,0.00484653,0.00484653,0.00554237,0.00554237,0.00554237,0.00554237,0.00554237,0.00643474,0.00643474,0.00643474,0.00643474,0.00643474,0.00749071,0.00749071,0.00749071,0.00749071,0.00749071,0.00877708,0.00877708,0.00877708,0.00877708,0.00877708,0.01010334,0.01010334,0.01010334,0.01010334,0.01010334,0.01340256,0.01340256,0.01340256,0.01340256,0.01340256,0.01824299,0.01824299,0.01824299,0.01824299,0.01824299,0.02853332,0.02853332,0.02853332,0.02853332,0.02853332,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.07075988,0.07075988,0.07075988,0.07075988,0.07075988,0.10927914,0.10927914,0.10927914,0.10927914,0.10927914,0.16356101,0.16356101,0.16356101,0.16356101,0.16356101,0.23505829,0.23505829,0.23505829,0.23505829,0.23505829,0.32437454,0.32437454,0.32437454,0.32437454,0.32437454,0.42394838,0.42394838,0.42394838,0.42394838,0.42394838,0.54293509
1954,0.14114672,0.02237352,0.02237352,0.02237352,0.02237352,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.005060899999999999,0.00304483,0.00304483,0.00304483,0.00304483,0.00304483,0.00393286,0.00393286,0.00393286,0.00393286,0.00393286,0.00484653,0.00484653,0.00484653,0.00484653,0.00484653,0.00554237,0.00554237,0.00554237,0.00554237,0.00554237,0.00643474,0.00643474,0.00643474,0.00643474,0.00643474,0.00749071,0.00749071,0.00749071,0.00749071,0.00749071,0.00877708,0.00877708,0.00877708,0.00877708,0.00877708,0.01010334,0.01010334,0.01010334,0.01010334,0.01010334,0.01340256,0.01340256,0.01340256,0.01340256,0.01340256,0.01824299,0.01824299,0.01824299,0.01824299,0.01824299,0.02853332,0.02853332,0.02853332,0.02853332,0.02853332,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.043418599999999995,0.07075988,0.07075988,0.07075988,0.07075988,0.07075988,0.10927914,0.10927914,0.10927914,0.10927914,0.10927914,0.16356101,0.16356101,0.16356101,0.16356101,0.16356101,0.23505829,0.23505829,0.23505829,0.23505829,0.23505829,0.32437454,0.32437454,0.32437454,0.32437454,0.32437454,0.42394838,0.42394838,0.42394838,0.42394838,0.42394838,0.54293509
1955,0.13195633,0.01977331,0.01977331,0.01977331,0.01977331,0.00452061,0.00452061,0.00452061,0.00452061,0.00452061,0.00274769,0.00274769,0.00274769,0.00274769,0.00274769,0.00357838,0.00357838,0.00357838,0.00357838,0.00357838,0.0044201,0.0044201,0.0044201,0.0044201,0.0044201,0.00508186,0.00508186,0.00508186,0.00508186,0.00508186,0.0059339,0.0059339,0.0059339,0.0059339,0.0059339,0.00698102,0.00698102,0.00698102,0.00698102,0.00698102,0.00826948,0.00826948,0.00826948,0.00826948,0.00826948,0.00966205,0.00966205,0.00966205,0.00966205,0.00966205,0.01289999,0.01289999,0.01289999,0.01289999,0.01289999,0.01766181,0.01766181,0.01766181,0.01766181,0.01766181,0.02768444,0.02768444,0.02768444,0.02768444,0.02768444,0.0423992,0.0423992,0.0423992,0.0423992,0.0423992,0.06938291,0.06938291,0.06938291,0.06938291,0.06938291,0.10788549,0.10788549,0.10788549,0.10788549,0.10788549,0.16219353,0.16219353,0.16219353,0.16219353,0.16219353,0.23406673,0.23406673,0.23406673,0.23406673,0.23406673,0.32378733,0.32378733,0.32378733,0.32378733,0.32378733,0.42354555,0.42354555,0.42354555,0.42354555,0.42354555,0.54307742
1956,0.13195633,0.01977331,0.01977331,0.01977331,0.01977331,0.00452061,0.00452061,0.00452061,0.00452061,0.00452061,0.00274769,0.00274769,0.00274769,0.00274769,0.00274769,0.00357838,0.00357838,0.00357838,0.00357838,0.00357838,0.0044201,0.0044201,0.0044201,0.0044201,0.0044201,0.00508186,0.00508186,0.00508186,0.00508186,0.00508186,0.0059339,0.0059339,0.0059339,0.0059339,0.0059339,0.00698102,0.00698102,0.00698102,0.00698102,0.00698102,0.00826948,0.00826948,0.00826948,0.00826948,0.00826948,0.00966205,0.00966205,0.00966205,0.00966205,0.00966205,0.01289999,0.01289999,0.01289999,0.01289999,0.01289999,0.01766181,0.01766181,0.01766181,0.01766181,0.01766181,0.02768444,0.02768444,0.02768444,0.02768444,0.02768444,0.0423992,0.0423992,0.0423992,0.0423992,0.0423992,0.06938291,0.06938291,0.06938291,0.06938291,0.06938291,0.10788549,0.10788549,0.10788549,0.10788549,0.10788549,0.16219353,0.16219353,0.16219353,0.16219353,0.16219353,0.23406673,0.23406673,0.23406673,0.23406673,0.23406673,0.32378733,0.32378733,0.32378733,0.32378733,0.32378733,0.42354555,0.42354555,0.42354555,0.42354555,0.42354555,0.54307742
1957,0.13195633,0.01977331,0.01977331,0.01977331,0.01977331,0.00452061,0.00452061,0.00452061,0.00452061,0.00452061,0.00274769,0.00274769,0.00274769,0.00274769,0.00274769,0.00357838,0.00357838,0.00357838,0.00357838,0.00357838,0.0044201,0.0044201,0.0044201,0.0044201,0.0044201,0.00508186,0.00508186,0.00508186,0.00508186,0.00508186,0.0059339,0.0059339,0.0059339,0.0059339,0.0059339,0.00698102,0.00698102,0.00698102,0.00698102,0.00698102,0.00826948,0.00826948,0.00826948,0.00826948,0.00826948,0.00966205,0.00966205,0.00966205,0.00966205,0.00966205,0.01289999,0.01289999,0.01289999,0.01289999,0.01289999,0.01766181,0.01766181,0.01766181,0.01766181,0.01766181,0.02768444,0.02768444,0.02768444,0.02768444,0.02768444,0.0423992,0.0423992,0.0423992,0.0423992,0.0423992,0.06938291,0.06938291,0.06938291,0.06938291,0.06938291,0.10788549,0.10788549,0.10788549,0.10788549,0.10788549,0.16219353,0.16219353,0.16219353,0.16219353,0.16219353,0.23406673,0.23406673,0.23406673,0.23406673,0.23406673,0.32378733,0.32378733,0.32378733,0.32378733,0.32378733,0.42354555,0.42354555,0.42354555,0.42354555,0.42354555,0.54307742
1958,0.13195633,0.01977331,0.01977331,0.01977331,0.01977331,0.00452061,0.00452061,0.00452061,0.00452061,0.00452061,0.00274769,0.00274769,0.00274769,0.00274769,0.00274769,0.00357838,0.00357838,0.00357838,0.00357838,0.00357838,0.0044201,0.0044201,0.0044201,0.0044201,0.0044201,0.00508186,0.00508186,0.00508186,0.00508186,0.00508186,0.0059339,0.0059339,0.0059339,0.0059339,0.0059339,0.00698102,0.00698102,0.00698102,0.00698102,0.00698102,0.00826948,0.00826948,0.00826948,0.00826948,0.00826948,0.00966205,0.00966205,0.00966205,0.00966205,0.00966205,0.01289999,0.01289999,0.01289999,0.01289999,0.01289999,0.01766181,0.01766181,0.01766181,0.01766181,0.01766181,0.02768444,0.02768444,0.02768444,0.02768444,0.02768444,0.0423992,0.0423992,0.0423992,0.0423992,0.0423992,0.06938291,0.06938291,0.06938291,0.06938291,0.06938291,0.10788549,0.10788549,0.10788549,0.10788549,0.10788549,0.16219353,0.16219353,0.16219353,0.16219353,0.16219353,0.23406673,0.23406673,0.23406673,0.23406673,0.23406673,0.32378733,0.32378733,0.32378733,0.32378733,0.32378733,0.42354555,0.42354555,0.42354555,0.42354555,0.42354555,0.54307742
1959,0.13195633,0.01977331,0.01977331,0.01977331,0.01977331,0.00452061,0.00452061,0.00452061,0.00452061,0.00452061,0.00274769,0.00274769,0.00274769,0.00274769,0.00274769,0.00357838,0.00357838,0.00357838,0.00357838,0.00357838,0.0044201,0.0044201,0.0044201,0.0044201,0.0044201,0.00508186,0.00508186,0.00508186,0.00508186,0.00508186,0.0059339,0.0059339,0.0059339,0.0059339,0.0059339,0.00698102,0.00698102,0.00698102,0.00698102,0.00698102,0.00826948,0.00826948,0.00826948,0.00826948,0.00826948,0.00966205,0.00966205,0.00966205,0.00966205,0.00966205,0.01289999,0.01289999,0.01289999,0.01289999,0.01289999,0.01766181,0.01766181,0.01766181,0.01766181,0.01766181,0.02768444,0.02768444,0.02768444,0.02768444,0.02768444,0.0423992,0.0423992,0.0423992,0.0423992,0.0423992,0.06938291,0.06938291,0.06938291,0.06938291,0.06938291,0.10788549,0.10788549,0.10788549,0.10788549,0.10788549,0.16219353,0.16219353,0.16219353,0.16219353,0.16219353,0.23406673,0.23406673,0.23406673,0.23406673,0.23406673,0.32378733,0.32378733,0.32378733,0.32378733,0.32378733,0.42354555,0.42354555,0.42354555,0.42354555,0.42354555,0.54307742
1960,0.12294882,0.01739935,0.01739935,0.01739935,0.01739935,0.00402338,0.00402338,0.00402338,0.00402338,0.00402338,0.00247172,0.00247172,0.00247172,0.00247172,0.00247172,0.00324701,0.00324701,0.00324701,0.00324701,0.00324701,0.00401996,0.00401996,0.00401996,0.00401996,0.00401996,0.00464655,0.00464655,0.00464655,0.00464655,0.00464655,0.00545783,0.00545783,0.00545783,0.00545783,0.00545783,0.00649097,0.00649097,0.00649097,0.00649097,0.00649097,0.00777594,0.00777594,0.00777594,0.00777594,0.00777594,0.0092251,0.0092251,0.0092251,0.0092251,0.0092251,0.01239846,0.01239846,0.01239846,0.01239846,0.01239846,0.01707668,0.01707668,0.01707668,0.01707668,0.01707668,0.02682603,0.02682603,0.02682603,0.02682603,0.02682603,0.04135247,0.04135247,0.04135247,0.04135247,0.04135247,0.06795258,0.06795258,0.06795258,0.06795258,0.06795258,0.10639907,0.10639907,0.10639907,0.10639907,0.10639907,0.16070383,0.16070383,0.16070383,0.16070383,0.16070383,0.23293516,0.23293516,0.23293516,0.23293516,0.23293516,0.32306498,0.32306498,0.32306498,0.32306498,0.32306498,0.42302265,0.42302265,0.42302265,0.42302265,0.42302265,0.54313603
1961,0.12294882,0.01739935,0.01739935,0.01739935,0.01739935,0.00402338,0.00402338,0.00402338,0.00402338,0.00402338,0.00247172,0.00247172,0.00247172,0.00247172,0.00247172,0.00324701,0.00324701,0.00324701,0.00324701,0.00324701,0.00401996,0.00401996,0.00401996,0.00401996,0.00401996,0.00464655,0.00464655,0.00464655,0.00464655,0.00464655,0.00545783,0.00545783,0.00545783,0.00545783,0.00545783,0.00649097,0.00649097,0.00649097,0.00649097,0.00649097,0.00777594,0.00777594,0.00777594,0.00777594,0.00777594,0.0092251,0.0092251,0.0092251,0.0092251,0.0092251,0.01239846,0.01239846,0.01239846,0.01239846,0.01239846,0.01707668,0.01707668,0.01707668,0.01707668,0.01707668,0.02682603,0.02682603,0.02682603,0.02682603,0.02682603,0.04135247,0.04135247,0.04135247,0.04135247,0.04135247,0.06795258,0.06795258,0.06795258,0.06795258,0.06795258,0.10639907,0.10639907,0.10639907,0.10639907,0.10639907,0.16070383,0.16070383,0.16070383,0.16070383,0.16070383,0.23293516,0.23293516,0.23293516,0.23293516,0.23293516,0.32306498,0.32306498,0.32306498,0.32306498,0.32306498,0.42302265,0.42302265,0.42302265,0.42302265,0.42302265,0.54313603
1962,0.12294882,0.01739935,0.01739935,0.01739935,0.01739935,0.00402338,0.00402338,0.00402338,0.00402338,0.00402338,0.00247172,0.00247172,0.00247172,0.00247172,0.00247172,0.00324701,0.00324701,0.00324701,0.00324701,0.00324701,0.00401996,0.00401996,0.00401996,0.00401996,0.00401996,0.00464655,0.00464655,0.00464655,0.00464655,0.00464655,0.00545783,0.00545783,0.00545783,0.00545783,0.00545783,0.00649097,0.00649097,0.00649097,0.00649097,0.00649097,0.00777594,0.00777594,0.00777594,0.00777594,0.00777594,0.0092251,0.0092251,0.0092251,0.0092251,0.0092251,0.01239846,0.01239846,0.01239846,0.01239846,0.01239846,0.01707668,0.01707668,0.01707668,0.01707668,0.01707668,0.02682603,0.02682603,0.02682603,0.02682603,0.02682603,0.04135247,0.04135247,0.04135247,0.04135247,0.04135247,0.06795258,0.06795258,0.06795258,0.06795258,0.06795258,0.10639907,0.10639907,0.10639907,0.10639907,0.10639907,0.16070383,0.16070383,0.16070383,0.16070383,0.16070383,0.23293516,0.23293516,0.23293516,0.23293516,0.23293516,0.32306498,0.32306498,0.32306498,0.32306498,0.32306498,0.42302265,0.42302265,0.42302265,0.42302265,0.42302265,0.54313603
1963,0.12294882,0.01739935,0.01739935,0.01739935,0.01739935,0.00402338,0.00402338,0.00402338,0.00402338,0.00402338,0.00247172,0.00247172,0.00247172,0.00247172,0.00247172,0.00324701,0.00324701,0.00324701,0.00324701,0.00324701,0.00401996,0.00401996,0.00401996,0.00401996,0.00401996,0.00464655,0.00464655,0.00464655,0.00464655,0.00464655,0.00545783,0.00545783,0.00545783,0.00545783,0.00545783,0.00649097,0.00649097,0.00649097,0.00649097,0.00649097,0.00777594,0.00777594,0.00777594,0.00777594,0.00777594,0.0092251,0.0092251,0.0092251,0.0092251,0.0092251,0.01239846,0.01239846,0.01239846,0.01239846,0.01239846,0.01707668,0.01707668,0.01707668,0.01707668,0.01707668,0.02682603,0.02682603,0.02682603,0.02682603,0.02682603,0.04135247,0.04135247,0.04135247,0.04135247,0.04135247,0.06795258,0.06795258,0.06795258,0.06795258,0.06795258,0.10639907,0.10639907,0.10639907,0.10639907,0.10639907,0.16070383,0.16070383,0.16070383,0.16070383,0.16070383,0.23293516,0.23293516,0.23293516,0.23293516,0.23293516,0.32306498,0.32306498,0.32306498,0.32306498,0.32306498,0.42302265,0.42302265,0.42302265,0.42302265,0.42302265,0.54313603
1964,0.12294882,0.01739935,0.01739935,0.01739935,0.01739935,0.00402338,0.00402338,0.00402338,0.00402338,0.00402338,0.00247172,0.00247172,0.00247172,0.00247172,0.00247172,0.00324701,0.00324701,0.00324701,0.00324701,0.00324701,0.00401996,0.00401996,0.00401996,0.00401996,0.00401996,0.00464655,0.00464655,0.00464655,0.00464655,0.00464655,0.00545783,0.00545783,0.00545783,0.00545783,0.00545783,0.00649097,0.00649097,0.00649097,0.00649097,0.00649097,0.00777594,0.00777594,0.00777594,0.00777594,0.00777594,0.0092251,0.0092251,0.0092251,0.0092251,0.0092251,0.01239846,0.01239846,0.01239846,0.01239846,0.01239846,0.01707668,0.01707668,0.01707668,0.01707668,0.01707668,0.02682603,0.02682603,0.02682603,0.02682603,0.02682603,0.04135247,0.04135247,0.04135247,0.04135247,0.04135247,0.06795258,0.06795258,0.06795258,0.06795258,0.06795258,0.10639907,0.10639907,0.10639907,0.10639907,0.10639907,0.16070383,0.16070383,0.16070383,0.16070383,0.16070383,0.23293516,0.23293516,0.23293516,0.23293516,0.23293516,0.32306498,0.32306498,0.32306498,0.32306498,0.32306498,0.42302265,0.42302265,0.42302265,0.42302265,0.42302265,0.54313603
1965,0.11412752,0.01523578,0.01523578,0.01523578,0.01523578,0.00356667,0.00356667,0.00356667,0.00356667,0.00356667,0.0022158,0.0022158,0.0022158,0.0022158,0.0022158,0.00293762,0.00293762,0.00293762,0.00293762,0.00293762,0.00364494,0.00364494,0.00364494,0.00364494,0.00364494,0.0042355,0.0042355,0.0042355,0.0042355,0.0042355,0.00500568,0.00500568,0.00500568,0.00500568,0.00500568,0.00602006,0.00602006,0.00602006,0.00602006,0.00602006,0.00729616,0.00729616,0.00729616,0.00729616,0.00729616,0.00879227,0.00879227,0.00879227,0.00879227,0.00879227,0.01189762,0.01189762,0.01189762,0.01189762,0.01189762,0.01648699,0.01648699,0.01648699,0.01648699,0.01648699,0.02595702,0.02595702,0.02595702,0.02595702,0.02595702,0.04027602,0.04027602,0.04027602,0.04027602,0.04027602,0.06646421,0.06646421,0.06646421,0.06646421,0.06646421,0.1048108,0.1048108,0.1048108,0.1048108,0.1048108,0.15907872,0.15907872,0.15907872,0.15907872,0.15907872,0.23164672,0.23164672,0.23164672,0.23164672,0.23164672,0.32218991,0.32218991,0.32218991,0.32218991,0.32218991,0.42236319,0.42236319,0.42236319,0.42236319,0.42236319,0.54309809
