Time,Births
1950,871050.0
1951,896211.0
1952,924666.0
1953,954651.0
1954,985272.0
1955,1016321.0
1956,1047355.0
1957,1078798.0
1958,1110575.0
1959,1142564.0
1960,1173277.0
1961,1202909.0
1962,1233119.0
1963,1263971.0
1964,1295493.0
1965,1300252.0
1966,1331661.0
1967,1364122.0
1968,1398280.0
1969,1435176.0
1970,1261464.0
1971,1297780.0
1972,1339627.0
1973,1386053.0
1974,1435524.0
1975,1187418.0
1976,1230112.0
1977,1273627.0
1978,1318497.0
1979,1365585.0
1980,1103397.0
1981,1143411.0
1982,1182982.0
1983,1222302.0
1984,1261755.0
1985,1040268.0
1986,1073462.0
1987,1105797.0
1988,1135759.0
1989,1161504.0
1990,1033233.0
1991,1046387.0
1992,1055893.0
1993,1062904.0
1994,1069161.0
1995,956463.0
1996,965452.0
1997,971285.0
1998,973313.0
1999,970840.0
2000,875924.0
2001,876967.0
2002,876166.0
2003,873589.0
2004,869527.0
2005,839906.0
2006,834171.0
2007,826801.0
2008,817975.0
2009,807983.0
2010,789733.0
2011,778092.0
2012,767131.0
2013,756842.0
2014,747106.0
2015,736238.0
2016,731237.0
2017,726493.0
2018,721917.0
2019,717433.0
2020,678131.0
2021,674370.0
2022,670690.0
2023,666870.0
2024,662589.0
2025,638219.0
2026,633676.0
2027,628442.0
2028,622539.0
2029,616055.0
2030,611540.0
2031,604667.0
2032,597252.0
2033,589416.0
2034,581333.0
2035,587911.0
2036,580166.0
2037,572414.0
2038,564621.0
2039,556732.0
2040,561661.0
2041,554247.0
2042,546847.0
2043,539434.0
2044,531957.0
2045,537013.0
2046,530032.0
2047,523045.0
2048,516045.0
2049,509021.0
2050,513896.0
2051,507335.0
2052,500860.0
2053,494465.0
2054,488126.0
2055,491962.0
2056,486192.0
2057,480614.0
2058,475164.0
2059,469786.0
2060,473134.0
2061,468350.0
2062,463769.0
2063,459324.0
2064,454916.0
2065,457435.0
2066,453458.0
2067,449598.0
2068,445757.0
2069,441841.0
2070,444401.0
2071,440805.0
2072,437213.0
2073,433572.0
2074,429829.0
2075,431526.0
2076,428170.0
2077,424797.0
2078,421346.0
2079,417774.0
2080,418643.0
2081,415558.0
2082,412432.0
2083,409222.0
2084,405911.0
2085,406338.0
2086,403469.0
2087,400593.0
2088,397728.0
2089,394830.0
2090,395052.0
2091,392543.0
2092,390090.0
2093,387610.0
2094,385023.0
2095,384982.0
2096,382775.0
2097,380605.0
2098,378411.0
2099,376115.0
