Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.30221364,0.04952264,0.04952264,0.04952264,0.04952264,0.01014074,0.01014074,0.01014074,0.01014074,0.01014074,0.00787789,0.00787789,0.00787789,0.00787789,0.00787789,0.01036456,0.01036456,0.01036456,0.01036456,0.01036456,0.01302153,0.01302153,0.01302153,0.01302153,0.01302153,0.01460497,0.01460497,0.01460497,0.01460497,0.01460497,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.01821456,0.01821456,0.01821456,0.01821456,0.01821456,0.01962615,0.01962615,0.01962615,0.01962615,0.01962615,0.02126417,0.02126417,0.02126417,0.02126417,0.02126417,0.0277067,0.0277067,0.0277067,0.0277067,0.0277067,0.03563034,0.03563034,0.03563034,0.03563034,0.03563034,0.05291858,0.05291858,0.05291858,0.05291858,0.05291858,0.07219705,0.07219705,0.07219705,0.07219705,0.07219705,0.10720532,0.10720532,0.10720532,0.10720532,0.10720532,0.15712797,0.15712797,0.15712797,0.15712797,0.15712797,0.22749648,0.22749648,0.22749648,0.22749648,0.22749648,0.31487829,0.31487829,0.31487829,0.31487829,0.31487829,0.41390136,0.41390136,0.41390136,0.41390136,0.41390136,0.52148205,0.52148205,0.52148205,0.52148205,0.52148205,0.63333039
1951,0.30221364,0.04952264,0.04952264,0.04952264,0.04952264,0.01014074,0.01014074,0.01014074,0.01014074,0.01014074,0.00787789,0.00787789,0.00787789,0.00787789,0.00787789,0.01036456,0.01036456,0.01036456,0.01036456,0.01036456,0.01302153,0.01302153,0.01302153,0.01302153,0.01302153,0.01460497,0.01460497,0.01460497,0.01460497,0.01460497,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.01821456,0.01821456,0.01821456,0.01821456,0.01821456,0.01962615,0.01962615,0.01962615,0.01962615,0.01962615,0.02126417,0.02126417,0.02126417,0.02126417,0.02126417,0.0277067,0.0277067,0.0277067,0.0277067,0.0277067,0.03563034,0.03563034,0.03563034,0.03563034,0.03563034,0.05291858,0.05291858,0.05291858,0.05291858,0.05291858,0.07219705,0.07219705,0.07219705,0.07219705,0.07219705,0.10720532,0.10720532,0.10720532,0.10720532,0.10720532,0.15712797,0.15712797,0.15712797,0.15712797,0.15712797,0.22749648,0.22749648,0.22749648,0.22749648,0.22749648,0.31487829,0.31487829,0.31487829,0.31487829,0.31487829,0.41390136,0.41390136,0.41390136,0.41390136,0.41390136,0.52148205,0.52148205,0.52148205,0.52148205,0.52148205,0.63333039
1952,0.30221364,0.04952264,0.04952264,0.04952264,0.04952264,0.01014074,0.01014074,0.01014074,0.01014074,0.01014074,0.00787789,0.00787789,0.00787789,0.00787789,0.00787789,0.01036456,0.01036456,0.01036456,0.01036456,0.01036456,0.01302153,0.01302153,0.01302153,0.01302153,0.01302153,0.01460497,0.01460497,0.01460497,0.01460497,0.01460497,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.01821456,0.01821456,0.01821456,0.01821456,0.01821456,0.01962615,0.01962615,0.01962615,0.01962615,0.01962615,0.02126417,0.02126417,0.02126417,0.02126417,0.02126417,0.0277067,0.0277067,0.0277067,0.0277067,0.0277067,0.03563034,0.03563034,0.03563034,0.03563034,0.03563034,0.05291858,0.05291858,0.05291858,0.05291858,0.05291858,0.07219705,0.07219705,0.07219705,0.07219705,0.07219705,0.10720532,0.10720532,0.10720532,0.10720532,0.10720532,0.15712797,0.15712797,0.15712797,0.15712797,0.15712797,0.22749648,0.22749648,0.22749648,0.22749648,0.22749648,0.31487829,0.31487829,0.31487829,0.31487829,0.31487829,0.41390136,0.41390136,0.41390136,0.41390136,0.41390136,0.52148205,0.52148205,0.52148205,0.52148205,0.52148205,0.63333039
1953,0.30221364,0.04952264,0.04952264,0.04952264,0.04952264,0.01014074,0.01014074,0.01014074,0.01014074,0.01014074,0.00787789,0.00787789,0.00787789,0.00787789,0.00787789,0.01036456,0.01036456,0.01036456,0.01036456,0.01036456,0.01302153,0.01302153,0.01302153,0.01302153,0.01302153,0.01460497,0.01460497,0.01460497,0.01460497,0.01460497,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.01821456,0.01821456,0.01821456,0.01821456,0.01821456,0.01962615,0.01962615,0.01962615,0.01962615,0.01962615,0.02126417,0.02126417,0.02126417,0.02126417,0.02126417,0.0277067,0.0277067,0.0277067,0.0277067,0.0277067,0.03563034,0.03563034,0.03563034,0.03563034,0.03563034,0.05291858,0.05291858,0.05291858,0.05291858,0.05291858,0.07219705,0.07219705,0.07219705,0.07219705,0.07219705,0.10720532,0.10720532,0.10720532,0.10720532,0.10720532,0.15712797,0.15712797,0.15712797,0.15712797,0.15712797,0.22749648,0.22749648,0.22749648,0.22749648,0.22749648,0.31487829,0.31487829,0.31487829,0.31487829,0.31487829,0.41390136,0.41390136,0.41390136,0.41390136,0.41390136,0.52148205,0.52148205,0.52148205,0.52148205,0.52148205,0.63333039
1954,0.30221364,0.04952264,0.04952264,0.04952264,0.04952264,0.01014074,0.01014074,0.01014074,0.01014074,0.01014074,0.00787789,0.00787789,0.00787789,0.00787789,0.00787789,0.01036456,0.01036456,0.01036456,0.01036456,0.01036456,0.01302153,0.01302153,0.01302153,0.01302153,0.01302153,0.01460497,0.01460497,0.01460497,0.01460497,0.01460497,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.016559400000000002,0.01821456,0.01821456,0.01821456,0.01821456,0.01821456,0.01962615,0.01962615,0.01962615,0.01962615,0.01962615,0.02126417,0.02126417,0.02126417,0.02126417,0.02126417,0.0277067,0.0277067,0.0277067,0.0277067,0.0277067,0.03563034,0.03563034,0.03563034,0.03563034,0.03563034,0.05291858,0.05291858,0.05291858,0.05291858,0.05291858,0.07219705,0.07219705,0.07219705,0.07219705,0.07219705,0.10720532,0.10720532,0.10720532,0.10720532,0.10720532,0.15712797,0.15712797,0.15712797,0.15712797,0.15712797,0.22749648,0.22749648,0.22749648,0.22749648,0.22749648,0.31487829,0.31487829,0.31487829,0.31487829,0.31487829,0.41390136,0.41390136,0.41390136,0.41390136,0.41390136,0.52148205,0.52148205,0.52148205,0.52148205,0.52148205,0.63333039
1955,0.27003589,0.04399102,0.04399102,0.04399102,0.04399102,0.00912643,0.00912643,0.00912643,0.00912643,0.00912643,0.00709961,0.00709961,0.00709961,0.00709961,0.00709961,0.00936791,0.00936791,0.00936791,0.00936791,0.00936791,0.01178164,0.01178164,0.01178164,0.01178164,0.01178164,0.01321534,0.01321534,0.01321534,0.01321534,0.01321534,0.01498503,0.01498503,0.01498503,0.01498503,0.01498503,0.01650877,0.01650877,0.01650877,0.01650877,0.01650877,0.01785913,0.01785913,0.01785913,0.01785913,0.01785913,0.01948581,0.01948581,0.01948581,0.01948581,0.01948581,0.02544955,0.02544955,0.02544955,0.02544955,0.02544955,0.03287161,0.03287161,0.03287161,0.03287161,0.03287161,0.04882437,0.04882437,0.04882437,0.04882437,0.04882437,0.0670712,0.0670712,0.0670712,0.0670712,0.0670712,0.10001282,0.10001282,0.10001282,0.10001282,0.10001282,0.14737574,0.14737574,0.14737574,0.14737574,0.14737574,0.21474117,0.21474117,0.21474117,0.21474117,0.21474117,0.29939583,0.29939583,0.29939583,0.29939583,0.29939583,0.39676094,0.39676094,0.39676094,0.39676094,0.39676094,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.61782699
1956,0.27003589,0.04399102,0.04399102,0.04399102,0.04399102,0.00912643,0.00912643,0.00912643,0.00912643,0.00912643,0.00709961,0.00709961,0.00709961,0.00709961,0.00709961,0.00936791,0.00936791,0.00936791,0.00936791,0.00936791,0.01178164,0.01178164,0.01178164,0.01178164,0.01178164,0.01321534,0.01321534,0.01321534,0.01321534,0.01321534,0.01498503,0.01498503,0.01498503,0.01498503,0.01498503,0.01650877,0.01650877,0.01650877,0.01650877,0.01650877,0.01785913,0.01785913,0.01785913,0.01785913,0.01785913,0.01948581,0.01948581,0.01948581,0.01948581,0.01948581,0.02544955,0.02544955,0.02544955,0.02544955,0.02544955,0.03287161,0.03287161,0.03287161,0.03287161,0.03287161,0.04882437,0.04882437,0.04882437,0.04882437,0.04882437,0.0670712,0.0670712,0.0670712,0.0670712,0.0670712,0.10001282,0.10001282,0.10001282,0.10001282,0.10001282,0.14737574,0.14737574,0.14737574,0.14737574,0.14737574,0.21474117,0.21474117,0.21474117,0.21474117,0.21474117,0.29939583,0.29939583,0.29939583,0.29939583,0.29939583,0.39676094,0.39676094,0.39676094,0.39676094,0.39676094,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.61782699
1957,0.27003589,0.04399102,0.04399102,0.04399102,0.04399102,0.00912643,0.00912643,0.00912643,0.00912643,0.00912643,0.00709961,0.00709961,0.00709961,0.00709961,0.00709961,0.00936791,0.00936791,0.00936791,0.00936791,0.00936791,0.01178164,0.01178164,0.01178164,0.01178164,0.01178164,0.01321534,0.01321534,0.01321534,0.01321534,0.01321534,0.01498503,0.01498503,0.01498503,0.01498503,0.01498503,0.01650877,0.01650877,0.01650877,0.01650877,0.01650877,0.01785913,0.01785913,0.01785913,0.01785913,0.01785913,0.01948581,0.01948581,0.01948581,0.01948581,0.01948581,0.02544955,0.02544955,0.02544955,0.02544955,0.02544955,0.03287161,0.03287161,0.03287161,0.03287161,0.03287161,0.04882437,0.04882437,0.04882437,0.04882437,0.04882437,0.0670712,0.0670712,0.0670712,0.0670712,0.0670712,0.10001282,0.10001282,0.10001282,0.10001282,0.10001282,0.14737574,0.14737574,0.14737574,0.14737574,0.14737574,0.21474117,0.21474117,0.21474117,0.21474117,0.21474117,0.29939583,0.29939583,0.29939583,0.29939583,0.29939583,0.39676094,0.39676094,0.39676094,0.39676094,0.39676094,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.61782699
1958,0.27003589,0.04399102,0.04399102,0.04399102,0.04399102,0.00912643,0.00912643,0.00912643,0.00912643,0.00912643,0.00709961,0.00709961,0.00709961,0.00709961,0.00709961,0.00936791,0.00936791,0.00936791,0.00936791,0.00936791,0.01178164,0.01178164,0.01178164,0.01178164,0.01178164,0.01321534,0.01321534,0.01321534,0.01321534,0.01321534,0.01498503,0.01498503,0.01498503,0.01498503,0.01498503,0.01650877,0.01650877,0.01650877,0.01650877,0.01650877,0.01785913,0.01785913,0.01785913,0.01785913,0.01785913,0.01948581,0.01948581,0.01948581,0.01948581,0.01948581,0.02544955,0.02544955,0.02544955,0.02544955,0.02544955,0.03287161,0.03287161,0.03287161,0.03287161,0.03287161,0.04882437,0.04882437,0.04882437,0.04882437,0.04882437,0.0670712,0.0670712,0.0670712,0.0670712,0.0670712,0.10001282,0.10001282,0.10001282,0.10001282,0.10001282,0.14737574,0.14737574,0.14737574,0.14737574,0.14737574,0.21474117,0.21474117,0.21474117,0.21474117,0.21474117,0.29939583,0.29939583,0.29939583,0.29939583,0.29939583,0.39676094,0.39676094,0.39676094,0.39676094,0.39676094,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.61782699
1959,0.27003589,0.04399102,0.04399102,0.04399102,0.04399102,0.00912643,0.00912643,0.00912643,0.00912643,0.00912643,0.00709961,0.00709961,0.00709961,0.00709961,0.00709961,0.00936791,0.00936791,0.00936791,0.00936791,0.00936791,0.01178164,0.01178164,0.01178164,0.01178164,0.01178164,0.01321534,0.01321534,0.01321534,0.01321534,0.01321534,0.01498503,0.01498503,0.01498503,0.01498503,0.01498503,0.01650877,0.01650877,0.01650877,0.01650877,0.01650877,0.01785913,0.01785913,0.01785913,0.01785913,0.01785913,0.01948581,0.01948581,0.01948581,0.01948581,0.01948581,0.02544955,0.02544955,0.02544955,0.02544955,0.02544955,0.03287161,0.03287161,0.03287161,0.03287161,0.03287161,0.04882437,0.04882437,0.04882437,0.04882437,0.04882437,0.0670712,0.0670712,0.0670712,0.0670712,0.0670712,0.10001282,0.10001282,0.10001282,0.10001282,0.10001282,0.14737574,0.14737574,0.14737574,0.14737574,0.14737574,0.21474117,0.21474117,0.21474117,0.21474117,0.21474117,0.29939583,0.29939583,0.29939583,0.29939583,0.29939583,0.39676094,0.39676094,0.39676094,0.39676094,0.39676094,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.5044744999999999,0.61782699
