Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,52903,49615,46692,44109,41835,39841,38100,36584,35262,34109,33114,32272,31448,30572,29679,28874,28135,27397,26636,25867,25131,24421,23723,23037,22364,21710,21069,20460,19888,19347,18814,18290,17787,17307,16842,16384,15942,15465,14931,14363,13812,13269,12749,12263,11807,11360,10926,10522,10161,9832,9519,9223,8945,8681,8433,8194,7958,7749,7579,7429,7275,7126,6929,6657,6334,6013,5686,5353,5019,4684,4345,4003.9999999999995,3662,3319,2979,2647,2323,2020,1743,1492,1254,1032,830,649,489,346,216,119,63,38,24,19,15,9,4,2,2,0,0,0,0
1951,54633,51314,48296,45620,43257,41179,39361,37780,36377,35110,33966,32971,32110.999999999996,31269,30385,29489,28670,27909,27155,26388,25621,24884,24172,23477,22795,22130,21482,20851,20248,19681,19142,18613,18093,17592,17114,16649,16193.000000000002,15752,15277,14745,14181,13633,13093,12574,12089,11633,11186,10750,10346,9981,9649,9331,9030,8745,8473,8216,7966,7720,7499,7312,7145,6973,6806,6594,6310,5977,5646,5312,4973,4637,4301,3962,3625,3291,2962,2641,2330,2025.9999999999998,1748,1499,1276,1065,872,698,543,407,285,178,99,53,31,19,16,12,8,4,2,0,0,0,0
1952,55406,52013,49282,46560,44154,42035,40172,38547,37140,35861,34658,33536,32546.999999999996,31678,30824,29939,29049,28222,27447,26683,25916,25157,24426,23718,23030,22358,21706,21073,20454,19865,19307,18775,18254,17740,17247,16774,16315.000000000002,15864,15428,14958,14434,13878,13337,12804,12291,11812,11360,10916,10482,10079,9715,9383,9063,8759,8470,8193,7927,7670,7415,7183,6983,6798,6611,6428,6201,5907,5567,5230,4890,4549,4211,3878,3544,3213,2889,2577,2278,1990,1712,1460,1239,1046,867,704,558,430,319,222,137,77,42,25,15,12,9,6,2,0,0,0,0
1953,55793,52372,49337,47122,44702,42572,40701,39057,37628,36398,35249,34114,33014,32036,31158,30296,29412,28528,27697,26910,26137,25375,24624,23901,23200,22521,21863,21225,20605,20003,19427,18880,18356,17844,17340,16855,16390,15938,15492,15061,14599,14083,13538,13005,12481,11976,11503,11056,10617,10187,9787,9424,9091,8771,8466,8173,7891,7618,7354,7091,6850,6634,6434,6231,6033,5794,5490,5142,4800,4456,4114,3776,3446,3117,2792,2481,2187,1911,1646,1393,1168,977,815,667,535,418,318,233,157,97,55,30,17,11,8,6,4,2,0,0,0
1954,56201,52744,49681,46980,45010,42889,41032,39407,37980,36743,35689,34667,33598,32520.000000000004,31551,30665,29793,28912,28034,27198,26396,25616,24855,24115,23397,22703,22032,21385,20762,20157,19569,19006,18470,17955,17451,16956,16478,16020,15574,15135,14709,14253,13746,13209,12686,12170,11673,11205,10763,10328,9901,9503,9141,8809,8488,8180,7884,7596,7317,7045,6775,6523,6294,6077,5858,5645,5393,5079,4725,4377,4029,3685,3347,3020,2695,2377,2078,1801,1547,1306,1078,880,719,586,469,366,279,207,145,93,57,34,19,10,6,5,4,2,1,0,0
1955,56877,53368,50262,47523,45122,43024,41196,39607,38220,37006,35959,35076,34178,33172,32113.999999999996,31151,30255,29372,28489,27615,26772,25954,25164,24403,23669,22957,22267,21603,20967,20355,19763,19189,18637,18110,17602,17105,16617,16146,15694,15253,14818,14397,13946,13445,12917,12401,11892,11400,10938,10498,10066,9642,9245,8884,8551,8228,7917,7617,7323,7037,6756,6477,6214,5971,5737,5503,5274,5008,4683,4321,3966,3614,3266,2929,2603,2282,1969,1681,1421,1189,970,766,594,461,360,272,200,142,95,60,30,17,13,8,4,2,2,0,0,0,0
1956,57493,54654,51450,48619,46128,43942,42035,40378,38911,37593,36404,35369,34480,33576,32575.000000000004,31529,30567,29662,28775,27899,27037,26205,25398,24620,23873,23154,22459,21785,21136,20511,19911,19329,18766,18223,17704,17203,16714,16232,15769,15324,14890,14462,14046,13602,13109,12586,12076,11572,11085,10627,10192,9762,9339,8944,8582,8245,7919,7605,7300,7000,6707,6421,6137,5866,5614,5372,5129,4893,4624,4301,3945,3598,3255,2920,2601,2296,1999,1711,1447,1215,1010,820,644,496,383,296,222,163,116,78,49,24,14,10,7,3,2,0,0,0,0
1957,58523,54904,52660,49748,47181,44924,42945,41219,39725,38377,37119,35952,34924,34026,33111,32112.000000000004,31073,30107,29191,28297,27423,26572,25747,24945,24176,23440,22735,22053,21393,20756,20142,19548,18974,18419,17884,17371,16876,16392,15916,15456,15016,14588,14165,13756,13315,12826,12308,11801,11301,10817,10361,9927,9499,9077,8679,8315,7975,7644,7324,7014,6707,6407,6113,5823,5544,5283,5030,4778,4535,4261,3939,3587,3247,2911,2588,2285,2001,1725,1460,1220,1014.9999999999999,837,674,525,402,306,234,174,128,92,61,38,19,11,8,5,2,0,0,0,0
1958,59821,56120,52840,50788,48161,45852,43824,42047,40499,39165,37931,36733,35583,34561,33650,32723.999999999996,31724,30690,29717,28788,27886,27012,26168,25348,24552,23788,23062,22369,21697,21050,20424,19818,19231,18665,18115,17587,17079,16588,16107,15635,15180,14743,14320,13902,13495,13059,12573,12058,11554,11056,10573,10118,9685,9257,8835,8436,8067,7722,7386,7061,6744,6430,6121,5820,5521,5235,4962,4699,4438,4187,3908,3585,3238,2902,2572,2260,1974,1711,1456,1212,996,817,666,530,408,307,230,172,126,93,67,45,27,13,8,6,4,2,0,0,0
1959,61171,57381,54019,51049,48923,46582,44530,42733,41158,39789,38614,37495,36356,35224,34206,33284,32345,31344,30314,29335,28391,27480,26607,25770,24955,24163,23407,22691,22008,21347,20713,20097,19499,18918,18358,17816,17293,16790,16303.999999999998,15827,15357,14906,14475,14056,13641,13238,12805,12322,11810,11309,10813,10332,9878,9446,9017,8594,8194,7821,7471,7130,6799,6475,6153,5836,5526,5220,4925,4643,4369,4098,3838,3554,3232,2888,2557,2234,1933,1662,1419,1185,964,772,618,494,385,289,212,154,110,77,58,42,28,15,7,4,4,2,0,0,0
