Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.07944493,0.00446255,0.00446255,0.00446255,0.00446255,0.00213512,0.00213512,0.00213512,0.00213512,0.00213512,0.0015397,0.0015397,0.0015397,0.0015397,0.0015397,0.00273567,0.00273567,0.00273567,0.00273567,0.00273567,0.00399849,0.00399849,0.00399849,0.00399849,0.00399849,0.00419362,0.00419362,0.00419362,0.00419362,0.00419362,0.00473131,0.00473131,0.00473131,0.00473131,0.00473131,0.0058817,0.0058817,0.0058817,0.0058817,0.0058817,0.00772124,0.00772124,0.00772124,0.00772124,0.00772124,0.01067304,0.01067304,0.01067304,0.01067304,0.01067304,0.01529919,0.01529919,0.01529919,0.01529919,0.01529919,0.02205227,0.02205227,0.02205227,0.02205227,0.02205227,0.03764919,0.03764919,0.03764919,0.03764919,0.03764919,0.06427736,0.06427736,0.06427736,0.06427736,0.06427736,0.10300691,0.10300691,0.10300691,0.10300691,0.10300691,0.15320676,0.15320676,0.15320676,0.15320676,0.15320676,0.22683938,0.22683938,0.22683938,0.22683938,0.22683938,0.32864761,0.32864761,0.32864761,0.32864761,0.32864761,0.45584382,0.45584382,0.45584382,0.45584382,0.45584382,0.61368001,0.61368001,0.61368001,0.61368001,0.61368001,0.7820661
1951,0.07944493,0.00446255,0.00446255,0.00446255,0.00446255,0.00213512,0.00213512,0.00213512,0.00213512,0.00213512,0.0015397,0.0015397,0.0015397,0.0015397,0.0015397,0.00273567,0.00273567,0.00273567,0.00273567,0.00273567,0.00399849,0.00399849,0.00399849,0.00399849,0.00399849,0.00419362,0.00419362,0.00419362,0.00419362,0.00419362,0.00473131,0.00473131,0.00473131,0.00473131,0.00473131,0.0058817,0.0058817,0.0058817,0.0058817,0.0058817,0.00772124,0.00772124,0.00772124,0.00772124,0.00772124,0.01067304,0.01067304,0.01067304,0.01067304,0.01067304,0.01529919,0.01529919,0.01529919,0.01529919,0.01529919,0.02205227,0.02205227,0.02205227,0.02205227,0.02205227,0.03764919,0.03764919,0.03764919,0.03764919,0.03764919,0.06427736,0.06427736,0.06427736,0.06427736,0.06427736,0.10300691,0.10300691,0.10300691,0.10300691,0.10300691,0.15320676,0.15320676,0.15320676,0.15320676,0.15320676,0.22683938,0.22683938,0.22683938,0.22683938,0.22683938,0.32864761,0.32864761,0.32864761,0.32864761,0.32864761,0.45584382,0.45584382,0.45584382,0.45584382,0.45584382,0.61368001,0.61368001,0.61368001,0.61368001,0.61368001,0.7820661
1952,0.07944493,0.00446255,0.00446255,0.00446255,0.00446255,0.00213512,0.00213512,0.00213512,0.00213512,0.00213512,0.0015397,0.0015397,0.0015397,0.0015397,0.0015397,0.00273567,0.00273567,0.00273567,0.00273567,0.00273567,0.00399849,0.00399849,0.00399849,0.00399849,0.00399849,0.00419362,0.00419362,0.00419362,0.00419362,0.00419362,0.00473131,0.00473131,0.00473131,0.00473131,0.00473131,0.0058817,0.0058817,0.0058817,0.0058817,0.0058817,0.00772124,0.00772124,0.00772124,0.00772124,0.00772124,0.01067304,0.01067304,0.01067304,0.01067304,0.01067304,0.01529919,0.01529919,0.01529919,0.01529919,0.01529919,0.02205227,0.02205227,0.02205227,0.02205227,0.02205227,0.03764919,0.03764919,0.03764919,0.03764919,0.03764919,0.06427736,0.06427736,0.06427736,0.06427736,0.06427736,0.10300691,0.10300691,0.10300691,0.10300691,0.10300691,0.15320676,0.15320676,0.15320676,0.15320676,0.15320676,0.22683938,0.22683938,0.22683938,0.22683938,0.22683938,0.32864761,0.32864761,0.32864761,0.32864761,0.32864761,0.45584382,0.45584382,0.45584382,0.45584382,0.45584382,0.61368001,0.61368001,0.61368001,0.61368001,0.61368001,0.7820661
1953,0.07944493,0.00446255,0.00446255,0.00446255,0.00446255,0.00213512,0.00213512,0.00213512,0.00213512,0.00213512,0.0015397,0.0015397,0.0015397,0.0015397,0.0015397,0.00273567,0.00273567,0.00273567,0.00273567,0.00273567,0.00399849,0.00399849,0.00399849,0.00399849,0.00399849,0.00419362,0.00419362,0.00419362,0.00419362,0.00419362,0.00473131,0.00473131,0.00473131,0.00473131,0.00473131,0.0058817,0.0058817,0.0058817,0.0058817,0.0058817,0.00772124,0.00772124,0.00772124,0.00772124,0.00772124,0.01067304,0.01067304,0.01067304,0.01067304,0.01067304,0.01529919,0.01529919,0.01529919,0.01529919,0.01529919,0.02205227,0.02205227,0.02205227,0.02205227,0.02205227,0.03764919,0.03764919,0.03764919,0.03764919,0.03764919,0.06427736,0.06427736,0.06427736,0.06427736,0.06427736,0.10300691,0.10300691,0.10300691,0.10300691,0.10300691,0.15320676,0.15320676,0.15320676,0.15320676,0.15320676,0.22683938,0.22683938,0.22683938,0.22683938,0.22683938,0.32864761,0.32864761,0.32864761,0.32864761,0.32864761,0.45584382,0.45584382,0.45584382,0.45584382,0.45584382,0.61368001,0.61368001,0.61368001,0.61368001,0.61368001,0.7820661
1954,0.07944493,0.00446255,0.00446255,0.00446255,0.00446255,0.00213512,0.00213512,0.00213512,0.00213512,0.00213512,0.0015397,0.0015397,0.0015397,0.0015397,0.0015397,0.00273567,0.00273567,0.00273567,0.00273567,0.00273567,0.00399849,0.00399849,0.00399849,0.00399849,0.00399849,0.00419362,0.00419362,0.00419362,0.00419362,0.00419362,0.00473131,0.00473131,0.00473131,0.00473131,0.00473131,0.0058817,0.0058817,0.0058817,0.0058817,0.0058817,0.00772124,0.00772124,0.00772124,0.00772124,0.00772124,0.01067304,0.01067304,0.01067304,0.01067304,0.01067304,0.01529919,0.01529919,0.01529919,0.01529919,0.01529919,0.02205227,0.02205227,0.02205227,0.02205227,0.02205227,0.03764919,0.03764919,0.03764919,0.03764919,0.03764919,0.06427736,0.06427736,0.06427736,0.06427736,0.06427736,0.10300691,0.10300691,0.10300691,0.10300691,0.10300691,0.15320676,0.15320676,0.15320676,0.15320676,0.15320676,0.22683938,0.22683938,0.22683938,0.22683938,0.22683938,0.32864761,0.32864761,0.32864761,0.32864761,0.32864761,0.45584382,0.45584382,0.45584382,0.45584382,0.45584382,0.61368001,0.61368001,0.61368001,0.61368001,0.61368001,0.7820661
1955,0.06826671,0.00354989,0.00354989,0.00354989,0.00354989,0.0016721,0.0016721,0.0016721,0.0016721,0.0016721,0.00124617,0.00124617,0.00124617,0.00124617,0.00124617,0.00226131,0.00226131,0.00226131,0.00226131,0.00226131,0.00318266,0.00318266,0.00318266,0.00318266,0.00318266,0.00326088,0.00326088,0.00326088,0.00326088,0.00326088,0.00366494,0.00366494,0.00366494,0.00366494,0.00366494,0.00460945,0.00460945,0.00460945,0.00460945,0.00460945,0.00618434,0.00618434,0.00618434,0.00618434,0.00618434,0.00885624,0.00885624,0.00885624,0.00885624,0.00885624,0.01313478,0.01313478,0.01313478,0.01313478,0.01313478,0.01962609,0.01962609,0.01962609,0.01962609,0.01962609,0.03390787,0.03390787,0.03390787,0.03390787,0.03390787,0.05858244,0.05858244,0.05858244,0.05858244,0.05858244,0.09476914,0.09476914,0.09476914,0.09476914,0.09476914,0.14341896,0.14341896,0.14341896,0.14341896,0.14341896,0.21497095,0.21497095,0.21497095,0.21497095,0.21497095,0.31618336,0.31618336,0.31618336,0.31618336,0.31618336,0.44196816,0.44196816,0.44196816,0.44196816,0.44196816,0.59627617,0.59627617,0.59627617,0.59627617,0.59627617,0.7616717
1956,0.06826671,0.00354989,0.00354989,0.00354989,0.00354989,0.0016721,0.0016721,0.0016721,0.0016721,0.0016721,0.00124617,0.00124617,0.00124617,0.00124617,0.00124617,0.00226131,0.00226131,0.00226131,0.00226131,0.00226131,0.00318266,0.00318266,0.00318266,0.00318266,0.00318266,0.00326088,0.00326088,0.00326088,0.00326088,0.00326088,0.00366494,0.00366494,0.00366494,0.00366494,0.00366494,0.00460945,0.00460945,0.00460945,0.00460945,0.00460945,0.00618434,0.00618434,0.00618434,0.00618434,0.00618434,0.00885624,0.00885624,0.00885624,0.00885624,0.00885624,0.01313478,0.01313478,0.01313478,0.01313478,0.01313478,0.01962609,0.01962609,0.01962609,0.01962609,0.01962609,0.03390787,0.03390787,0.03390787,0.03390787,0.03390787,0.05858244,0.05858244,0.05858244,0.05858244,0.05858244,0.09476914,0.09476914,0.09476914,0.09476914,0.09476914,0.14341896,0.14341896,0.14341896,0.14341896,0.14341896,0.21497095,0.21497095,0.21497095,0.21497095,0.21497095,0.31618336,0.31618336,0.31618336,0.31618336,0.31618336,0.44196816,0.44196816,0.44196816,0.44196816,0.44196816,0.59627617,0.59627617,0.59627617,0.59627617,0.59627617,0.7616717
1957,0.06826671,0.00354989,0.00354989,0.00354989,0.00354989,0.0016721,0.0016721,0.0016721,0.0016721,0.0016721,0.00124617,0.00124617,0.00124617,0.00124617,0.00124617,0.00226131,0.00226131,0.00226131,0.00226131,0.00226131,0.00318266,0.00318266,0.00318266,0.00318266,0.00318266,0.00326088,0.00326088,0.00326088,0.00326088,0.00326088,0.00366494,0.00366494,0.00366494,0.00366494,0.00366494,0.00460945,0.00460945,0.00460945,0.00460945,0.00460945,0.00618434,0.00618434,0.00618434,0.00618434,0.00618434,0.00885624,0.00885624,0.00885624,0.00885624,0.00885624,0.01313478,0.01313478,0.01313478,0.01313478,0.01313478,0.01962609,0.01962609,0.01962609,0.01962609,0.01962609,0.03390787,0.03390787,0.03390787,0.03390787,0.03390787,0.05858244,0.05858244,0.05858244,0.05858244,0.05858244,0.09476914,0.09476914,0.09476914,0.09476914,0.09476914,0.14341896,0.14341896,0.14341896,0.14341896,0.14341896,0.21497095,0.21497095,0.21497095,0.21497095,0.21497095,0.31618336,0.31618336,0.31618336,0.31618336,0.31618336,0.44196816,0.44196816,0.44196816,0.44196816,0.44196816,0.59627617,0.59627617,0.59627617,0.59627617,0.59627617,0.7616717
1958,0.06826671,0.00354989,0.00354989,0.00354989,0.00354989,0.0016721,0.0016721,0.0016721,0.0016721,0.0016721,0.00124617,0.00124617,0.00124617,0.00124617,0.00124617,0.00226131,0.00226131,0.00226131,0.00226131,0.00226131,0.00318266,0.00318266,0.00318266,0.00318266,0.00318266,0.00326088,0.00326088,0.00326088,0.00326088,0.00326088,0.00366494,0.00366494,0.00366494,0.00366494,0.00366494,0.00460945,0.00460945,0.00460945,0.00460945,0.00460945,0.00618434,0.00618434,0.00618434,0.00618434,0.00618434,0.00885624,0.00885624,0.00885624,0.00885624,0.00885624,0.01313478,0.01313478,0.01313478,0.01313478,0.01313478,0.01962609,0.01962609,0.01962609,0.01962609,0.01962609,0.03390787,0.03390787,0.03390787,0.03390787,0.03390787,0.05858244,0.05858244,0.05858244,0.05858244,0.05858244,0.09476914,0.09476914,0.09476914,0.09476914,0.09476914,0.14341896,0.14341896,0.14341896,0.14341896,0.14341896,0.21497095,0.21497095,0.21497095,0.21497095,0.21497095,0.31618336,0.31618336,0.31618336,0.31618336,0.31618336,0.44196816,0.44196816,0.44196816,0.44196816,0.44196816,0.59627617,0.59627617,0.59627617,0.59627617,0.59627617,0.7616717
1959,0.06826671,0.00354989,0.00354989,0.00354989,0.00354989,0.0016721,0.0016721,0.0016721,0.0016721,0.0016721,0.00124617,0.00124617,0.00124617,0.00124617,0.00124617,0.00226131,0.00226131,0.00226131,0.00226131,0.00226131,0.00318266,0.00318266,0.00318266,0.00318266,0.00318266,0.00326088,0.00326088,0.00326088,0.00326088,0.00326088,0.00366494,0.00366494,0.00366494,0.00366494,0.00366494,0.00460945,0.00460945,0.00460945,0.00460945,0.00460945,0.00618434,0.00618434,0.00618434,0.00618434,0.00618434,0.00885624,0.00885624,0.00885624,0.00885624,0.00885624,0.01313478,0.01313478,0.01313478,0.01313478,0.01313478,0.01962609,0.01962609,0.01962609,0.01962609,0.01962609,0.03390787,0.03390787,0.03390787,0.03390787,0.03390787,0.05858244,0.05858244,0.05858244,0.05858244,0.05858244,0.09476914,0.09476914,0.09476914,0.09476914,0.09476914,0.14341896,0.14341896,0.14341896,0.14341896,0.14341896,0.21497095,0.21497095,0.21497095,0.21497095,0.21497095,0.31618336,0.31618336,0.31618336,0.31618336,0.31618336,0.44196816,0.44196816,0.44196816,0.44196816,0.44196816,0.59627617,0.59627617,0.59627617,0.59627617,0.59627617,0.7616717
