Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.27437872,0.02427165,0.02427165,0.02427165,0.02427165,0.00565326,0.00565326,0.00565326,0.00565326,0.00565326,0.00360786,0.00360786,0.00360786,0.00360786,0.00360786,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.00825724,0.00825724,0.00825724,0.00825724,0.00825724,0.00935858,0.00935858,0.00935858,0.00935858,0.00935858,0.01055075,0.01055075,0.01055075,0.01055075,0.01055075,0.01241213,0.01241213,0.01241213,0.01241213,0.01241213,0.01490785,0.01490785,0.01490785,0.01490785,0.01490785,0.01830895,0.01830895,0.01830895,0.01830895,0.01830895,0.02330329,0.02330329,0.02330329,0.02330329,0.02330329,0.03087255,0.03087255,0.03087255,0.03087255,0.03087255,0.0426961,0.0426961,0.0426961,0.0426961,0.0426961,0.06071372,0.06071372,0.06071372,0.06071372,0.06071372,0.08972056,0.08972056,0.08972056,0.08972056,0.08972056,0.1322245,0.1322245,0.1322245,0.1322245,0.1322245,0.18945197,0.18945197,0.18945197,0.18945197,0.18945197,0.26175048,0.26175048,0.26175048,0.26175048,0.26175048,0.34657974,0.34657974,0.34657974,0.34657974,0.34657974,0.44795243,0.44795243,0.44795243,0.44795243,0.44795243,0.57135945
1951,0.27437872,0.02427165,0.02427165,0.02427165,0.02427165,0.00565326,0.00565326,0.00565326,0.00565326,0.00565326,0.00360786,0.00360786,0.00360786,0.00360786,0.00360786,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.00825724,0.00825724,0.00825724,0.00825724,0.00825724,0.00935858,0.00935858,0.00935858,0.00935858,0.00935858,0.01055075,0.01055075,0.01055075,0.01055075,0.01055075,0.01241213,0.01241213,0.01241213,0.01241213,0.01241213,0.01490785,0.01490785,0.01490785,0.01490785,0.01490785,0.01830895,0.01830895,0.01830895,0.01830895,0.01830895,0.02330329,0.02330329,0.02330329,0.02330329,0.02330329,0.03087255,0.03087255,0.03087255,0.03087255,0.03087255,0.0426961,0.0426961,0.0426961,0.0426961,0.0426961,0.06071372,0.06071372,0.06071372,0.06071372,0.06071372,0.08972056,0.08972056,0.08972056,0.08972056,0.08972056,0.1322245,0.1322245,0.1322245,0.1322245,0.1322245,0.18945197,0.18945197,0.18945197,0.18945197,0.18945197,0.26175048,0.26175048,0.26175048,0.26175048,0.26175048,0.34657974,0.34657974,0.34657974,0.34657974,0.34657974,0.44795243,0.44795243,0.44795243,0.44795243,0.44795243,0.57135945
1952,0.27437872,0.02427165,0.02427165,0.02427165,0.02427165,0.00565326,0.00565326,0.00565326,0.00565326,0.00565326,0.00360786,0.00360786,0.00360786,0.00360786,0.00360786,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.00825724,0.00825724,0.00825724,0.00825724,0.00825724,0.00935858,0.00935858,0.00935858,0.00935858,0.00935858,0.01055075,0.01055075,0.01055075,0.01055075,0.01055075,0.01241213,0.01241213,0.01241213,0.01241213,0.01241213,0.01490785,0.01490785,0.01490785,0.01490785,0.01490785,0.01830895,0.01830895,0.01830895,0.01830895,0.01830895,0.02330329,0.02330329,0.02330329,0.02330329,0.02330329,0.03087255,0.03087255,0.03087255,0.03087255,0.03087255,0.0426961,0.0426961,0.0426961,0.0426961,0.0426961,0.06071372,0.06071372,0.06071372,0.06071372,0.06071372,0.08972056,0.08972056,0.08972056,0.08972056,0.08972056,0.1322245,0.1322245,0.1322245,0.1322245,0.1322245,0.18945197,0.18945197,0.18945197,0.18945197,0.18945197,0.26175048,0.26175048,0.26175048,0.26175048,0.26175048,0.34657974,0.34657974,0.34657974,0.34657974,0.34657974,0.44795243,0.44795243,0.44795243,0.44795243,0.44795243,0.57135945
1953,0.27437872,0.02427165,0.02427165,0.02427165,0.02427165,0.00565326,0.00565326,0.00565326,0.00565326,0.00565326,0.00360786,0.00360786,0.00360786,0.00360786,0.00360786,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.00825724,0.00825724,0.00825724,0.00825724,0.00825724,0.00935858,0.00935858,0.00935858,0.00935858,0.00935858,0.01055075,0.01055075,0.01055075,0.01055075,0.01055075,0.01241213,0.01241213,0.01241213,0.01241213,0.01241213,0.01490785,0.01490785,0.01490785,0.01490785,0.01490785,0.01830895,0.01830895,0.01830895,0.01830895,0.01830895,0.02330329,0.02330329,0.02330329,0.02330329,0.02330329,0.03087255,0.03087255,0.03087255,0.03087255,0.03087255,0.0426961,0.0426961,0.0426961,0.0426961,0.0426961,0.06071372,0.06071372,0.06071372,0.06071372,0.06071372,0.08972056,0.08972056,0.08972056,0.08972056,0.08972056,0.1322245,0.1322245,0.1322245,0.1322245,0.1322245,0.18945197,0.18945197,0.18945197,0.18945197,0.18945197,0.26175048,0.26175048,0.26175048,0.26175048,0.26175048,0.34657974,0.34657974,0.34657974,0.34657974,0.34657974,0.44795243,0.44795243,0.44795243,0.44795243,0.44795243,0.57135945
1954,0.27437872,0.02427165,0.02427165,0.02427165,0.02427165,0.00565326,0.00565326,0.00565326,0.00565326,0.00565326,0.00360786,0.00360786,0.00360786,0.00360786,0.00360786,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.006005399999999999,0.00825724,0.00825724,0.00825724,0.00825724,0.00825724,0.00935858,0.00935858,0.00935858,0.00935858,0.00935858,0.01055075,0.01055075,0.01055075,0.01055075,0.01055075,0.01241213,0.01241213,0.01241213,0.01241213,0.01241213,0.01490785,0.01490785,0.01490785,0.01490785,0.01490785,0.01830895,0.01830895,0.01830895,0.01830895,0.01830895,0.02330329,0.02330329,0.02330329,0.02330329,0.02330329,0.03087255,0.03087255,0.03087255,0.03087255,0.03087255,0.0426961,0.0426961,0.0426961,0.0426961,0.0426961,0.06071372,0.06071372,0.06071372,0.06071372,0.06071372,0.08972056,0.08972056,0.08972056,0.08972056,0.08972056,0.1322245,0.1322245,0.1322245,0.1322245,0.1322245,0.18945197,0.18945197,0.18945197,0.18945197,0.18945197,0.26175048,0.26175048,0.26175048,0.26175048,0.26175048,0.34657974,0.34657974,0.34657974,0.34657974,0.34657974,0.44795243,0.44795243,0.44795243,0.44795243,0.44795243,0.57135945
1955,0.25461354,0.02315746,0.02315746,0.02315746,0.02315746,0.00498319,0.00498319,0.00498319,0.00498319,0.00498319,0.00320048,0.00320048,0.00320048,0.00320048,0.00320048,0.00533426,0.00533426,0.00533426,0.00533426,0.00533426,0.00733255,0.00733255,0.00733255,0.00733255,0.00733255,0.00834945,0.00834945,0.00834945,0.00834945,0.00834945,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.01124331,0.01124331,0.01124331,0.01124331,0.01124331,0.01366991,0.01366991,0.01366991,0.01366991,0.01366991,0.01698118,0.01698118,0.01698118,0.01698118,0.01698118,0.02183767,0.02183767,0.02183767,0.02183767,0.02183767,0.02918055,0.02918055,0.02918055,0.02918055,0.02918055,0.04066733,0.04066733,0.04066733,0.04066733,0.04066733,0.05819712,0.05819712,0.05819712,0.05819712,0.05819712,0.08648604,0.08648604,0.08648604,0.08648604,0.08648604,0.12807456,0.12807456,0.12807456,0.12807456,0.12807456,0.18520049,0.18520049,0.18520049,0.18520049,0.18520049,0.25736927,0.25736927,0.25736927,0.25736927,0.25736927,0.34297204,0.34297204,0.34297204,0.34297204,0.34297204,0.44015141,0.44015141,0.44015141,0.44015141,0.44015141,0.56574782
1956,0.25461354,0.02315746,0.02315746,0.02315746,0.02315746,0.00498319,0.00498319,0.00498319,0.00498319,0.00498319,0.00320048,0.00320048,0.00320048,0.00320048,0.00320048,0.00533426,0.00533426,0.00533426,0.00533426,0.00533426,0.00733255,0.00733255,0.00733255,0.00733255,0.00733255,0.00834945,0.00834945,0.00834945,0.00834945,0.00834945,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.01124331,0.01124331,0.01124331,0.01124331,0.01124331,0.01366991,0.01366991,0.01366991,0.01366991,0.01366991,0.01698118,0.01698118,0.01698118,0.01698118,0.01698118,0.02183767,0.02183767,0.02183767,0.02183767,0.02183767,0.02918055,0.02918055,0.02918055,0.02918055,0.02918055,0.04066733,0.04066733,0.04066733,0.04066733,0.04066733,0.05819712,0.05819712,0.05819712,0.05819712,0.05819712,0.08648604,0.08648604,0.08648604,0.08648604,0.08648604,0.12807456,0.12807456,0.12807456,0.12807456,0.12807456,0.18520049,0.18520049,0.18520049,0.18520049,0.18520049,0.25736927,0.25736927,0.25736927,0.25736927,0.25736927,0.34297204,0.34297204,0.34297204,0.34297204,0.34297204,0.44015141,0.44015141,0.44015141,0.44015141,0.44015141,0.56574782
1957,0.25461354,0.02315746,0.02315746,0.02315746,0.02315746,0.00498319,0.00498319,0.00498319,0.00498319,0.00498319,0.00320048,0.00320048,0.00320048,0.00320048,0.00320048,0.00533426,0.00533426,0.00533426,0.00533426,0.00533426,0.00733255,0.00733255,0.00733255,0.00733255,0.00733255,0.00834945,0.00834945,0.00834945,0.00834945,0.00834945,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.01124331,0.01124331,0.01124331,0.01124331,0.01124331,0.01366991,0.01366991,0.01366991,0.01366991,0.01366991,0.01698118,0.01698118,0.01698118,0.01698118,0.01698118,0.02183767,0.02183767,0.02183767,0.02183767,0.02183767,0.02918055,0.02918055,0.02918055,0.02918055,0.02918055,0.04066733,0.04066733,0.04066733,0.04066733,0.04066733,0.05819712,0.05819712,0.05819712,0.05819712,0.05819712,0.08648604,0.08648604,0.08648604,0.08648604,0.08648604,0.12807456,0.12807456,0.12807456,0.12807456,0.12807456,0.18520049,0.18520049,0.18520049,0.18520049,0.18520049,0.25736927,0.25736927,0.25736927,0.25736927,0.25736927,0.34297204,0.34297204,0.34297204,0.34297204,0.34297204,0.44015141,0.44015141,0.44015141,0.44015141,0.44015141,0.56574782
1958,0.25461354,0.02315746,0.02315746,0.02315746,0.02315746,0.00498319,0.00498319,0.00498319,0.00498319,0.00498319,0.00320048,0.00320048,0.00320048,0.00320048,0.00320048,0.00533426,0.00533426,0.00533426,0.00533426,0.00533426,0.00733255,0.00733255,0.00733255,0.00733255,0.00733255,0.00834945,0.00834945,0.00834945,0.00834945,0.00834945,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.01124331,0.01124331,0.01124331,0.01124331,0.01124331,0.01366991,0.01366991,0.01366991,0.01366991,0.01366991,0.01698118,0.01698118,0.01698118,0.01698118,0.01698118,0.02183767,0.02183767,0.02183767,0.02183767,0.02183767,0.02918055,0.02918055,0.02918055,0.02918055,0.02918055,0.04066733,0.04066733,0.04066733,0.04066733,0.04066733,0.05819712,0.05819712,0.05819712,0.05819712,0.05819712,0.08648604,0.08648604,0.08648604,0.08648604,0.08648604,0.12807456,0.12807456,0.12807456,0.12807456,0.12807456,0.18520049,0.18520049,0.18520049,0.18520049,0.18520049,0.25736927,0.25736927,0.25736927,0.25736927,0.25736927,0.34297204,0.34297204,0.34297204,0.34297204,0.34297204,0.44015141,0.44015141,0.44015141,0.44015141,0.44015141,0.56574782
1959,0.25461354,0.02315746,0.02315746,0.02315746,0.02315746,0.00498319,0.00498319,0.00498319,0.00498319,0.00498319,0.00320048,0.00320048,0.00320048,0.00320048,0.00320048,0.00533426,0.00533426,0.00533426,0.00533426,0.00533426,0.00733255,0.00733255,0.00733255,0.00733255,0.00733255,0.00834945,0.00834945,0.00834945,0.00834945,0.00834945,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.009451799999999998,0.01124331,0.01124331,0.01124331,0.01124331,0.01124331,0.01366991,0.01366991,0.01366991,0.01366991,0.01366991,0.01698118,0.01698118,0.01698118,0.01698118,0.01698118,0.02183767,0.02183767,0.02183767,0.02183767,0.02183767,0.02918055,0.02918055,0.02918055,0.02918055,0.02918055,0.04066733,0.04066733,0.04066733,0.04066733,0.04066733,0.05819712,0.05819712,0.05819712,0.05819712,0.05819712,0.08648604,0.08648604,0.08648604,0.08648604,0.08648604,0.12807456,0.12807456,0.12807456,0.12807456,0.12807456,0.18520049,0.18520049,0.18520049,0.18520049,0.18520049,0.25736927,0.25736927,0.25736927,0.25736927,0.25736927,0.34297204,0.34297204,0.34297204,0.34297204,0.34297204,0.44015141,0.44015141,0.44015141,0.44015141,0.44015141,0.56574782
