Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,60608.00000000001,59428.99999999999,57953.0,56228.0,54303.99999999999,52229.0,50052.0,47821.99999999999,45588.0,43398.0,41203.0,38954.0,37191.0,36160.0,35615.0,35075.0,34647.0,34080.99999999999,33205.0,32152.0,31214.000000000004,30322.0,29523.000000000004,28865.0,28301.0,27740.0,27203.000000000004,26646.0,26039.0,25406.999999999996,24791.999999999996,24174.0,23613.000000000004,23142.0,22720.0,22290.0,21880.0,21369.0,20698.0,19928.0,19182.000000000004,18437.0,17744.0,17141.0,16604.0,16061.0,15517.000000000002,15029.000000000002,14614.0,14248.0,13895.0,13573.0,13194.0,12715.0,12180.0,11657.0,11107.999999999998,10672.0,10418.0,10265.0,10101.0,9988.999999999998,9666.0,9002.0,8141.0,7317.0,6438.0,5842.000000000001,5706.0,5851.0,5952.999999999999,6122.999999999999,6017.0,5446.000000000001,4600.0,3821.0,3000.0,2459.0,2378.0,2580.0,2731.9999999999995,2936.0000000000005,2920.0,2529.0,1912.0,1363.0000000000002,805.0,411.00000000000006,292.0,350.0,487.00000000000006,482.00000000000006,424.0,314.0,150.0,46.0,38.0,27.999999999999996,18.000000000000004,6.999999999999999,2.0
1951,61718.0,60223.0,58942.0,57458.99999999999,55802.0,53998.99999999999,52105.0,50172.0,48108.99999999999,45897.0,43636.0,41398.99999999999,39114.00000000001,37316.0,36260.0,35696.0,35128.0,34667.0,34075.0,33190.0,32134.999999999996,31195.0,30302.0,29500.999999999996,28838.0,28269.000000000004,27704.0,27163.0,26601.0,25988.000000000004,25349.0,24728.0,24103.0,23534.000000000004,23052.0,22616.999999999996,22174.0,21750.0,21230.0,20555.999999999996,19788.0,19043.0,18299.0,17605.0,16997.0,16453.0,15902.999999999998,15352.0,14855.0,14430.0,14050.999999999998,13684.000000000002,13347.000000000002,12956.0,12469.000000000002,11927.999999999998,11399.0,10845.0,10400.0,10129.0,9956.0,9771.0,9637.0,9301.0,8641.0,7792.999999999999,6981.0,6119.0,5525.0,5365.0,5471.0,5539.0,5671.0,5551.0,5006.0,4210.0,3478.9999999999995,2713.0,2202.0,2109.0,2274.0,2397.0,2566.0000000000005,2546.0,2199.0,1656.9999999999998,1162.0,675.9999999999999,353.0,252.0,296.00000000000006,407.0,402.99999999999994,354.0,261.0,125.0,54.00000000000001,40.99999999999999,27.000000000000004,10.0,4.0
1952,63636.0,61971.0,59498.00000000001,58121.0,56638.99999999999,55059.0,53390.0,51688.99999999999,50013.99999999999,48131.0,45952.0,43632.0,41365.0,39056.99999999999,37233.00000000001,36158.0,35577.0,34985.0,34492.0,33879.0,32988.0,31939.0,31002.0,30112.0,29314.0,28650.0,28079.0,27511.999999999996,26970.0,26406.999999999996,25791.999999999996,25149.0,24525.0,23897.0,23323.0,22831.999999999996,22386.0,21933.000000000004,21498.0,20971.0,20299.0,19535.999999999996,18796.0,18057.000000000004,17366.0,16757.0,16207.999999999998,15655.0,15100.0,14597.000000000002,14162.0,13772.0,13394.0,13044.0,12642.999999999998,12150.0,11607.000000000002,11074.000000000002,10519.0,10067.0,9780.0,9587.0,9384.0,9228.0,8882.0,8229.0,7398.0,6603.0,5763.0,5172.999999999999,4991.000000000001,5056.999999999999,5090.0,5182.0,5048.999999999999,4534.0,3792.0,3114.0,2408.0,1930.0,1825.0,1953.0,2045.0,2179.0000000000005,2155.0,1854.0,1390.0,953.0,542.9999999999999,292.0,211.00000000000003,239.0,325.0,320.0,280.0,206.00000000000003,98.0,52.00000000000001,35.0,13.999999999999998,5.0
1953,65736.0,63443.99999999999,61275.0,58532.0,57065.0,55590.0,54093.0,52563.99999999999,51063.99999999999,49653.0,47958.0,45823.0,43452.0,41163.99999999999,38842.0,37000.0,35910.0,35316.0,34701.0,34179.0,33546.0,32653.0,31614.0,30684.0,29801.0,29008.000000000004,28346.999999999996,27775.0,27209.0,26669.0,26105.999999999996,25491.0,24846.999999999996,24221.999999999996,23595.0,23018.0,22519.000000000004,22065.0,21603.0,21159.000000000004,20628.0,19959.0,19205.0,18474.0,17742.0,17055.999999999996,16449.0,15898.0,15343.0,14787.0,14280.0,13838.0,13437.999999999998,13050.0,12689.0,12279.000000000002,11783.0,11238.0,10705.0,10150.0,9693.0,9392.000000000002,9180.0,8958.0,8781.0,8426.0,7782.0,6972.0,6197.999999999999,5382.999999999999,4801.0,4596.0,4623.0,4620.0,4672.0,4527.0,4043.0,3359.0,2736.0,2092.0,1649.0,1534.0,1623.0000000000002,1684.0000000000002,1781.9999999999998,1754.0,1501.9999999999998,1117.0,740.0,408.0,231.0,168.0,182.0,241.00000000000003,236.00000000000003,206.00000000000003,151.0,71.0,40.0,16.0,6.999999999999999
1954,67617.0,64731.00000000001,62148.0,59836.00000000001,57445.0,55891.99999999999,54426.0,53016.00000000001,51630.0,50332.0,49187.0,47683.0,45595.0,43178.99999999999,40876.0,38545.0,36689.0,35585.0,34979.0,34343.0,33793.0,33143.0,32250.0,31221.999999999996,30301.0,29427.0,28641.0,27984.0,27413.0,26849.0,26311.0,25750.999999999996,25136.0,24493.000000000004,23869.0,23243.000000000004,22664.0,22160.0,21698.0,21229.0,20775.0,20241.0,19578.0,18835.0,18113.0,17391.0,16712.0,16107.0,15555.0,15000.0,14444.0,13934.000000000002,13485.0,13077.0,12679.0,12308.0,11890.0,11390.999999999998,10847.000000000002,10314.0,9761.000000000002,9300.0,8985.0,8754.0,8515.0,8318.0,7954.0,7322.0,6534.0,5781.000000000001,4994.0,4420.0,4193.000000000001,4181.0,4143.0,4155.0,3997.0,3546.0000000000005,2921.0000000000005,2354.0,1774.0,1367.0,1240.9999999999998,1291.9999999999998,1321.9999999999998,1384.0000000000002,1351.9999999999998,1148.0,843.0,527.0,272.0,168.99999999999997,126.0,124.0,158.0,152.0,131.0,95.0,44.00000000000001,18.000000000000004,9.000000000000002
1955,69069.0,65738.99999999999,62851.00000000001,60354.0,58193.99999999999,56321.00000000001,54683.0,53228.0,51905.0,50662.0,49566.0,48686.00000000001,47371.0,45332.0,42873.99999999999,40556.0,38219.0,36350.0,35235.0,34616.0,33961.0,33383.0,32716.0,31824.0,30808.000000000004,29896.0,29033.0,28255.0,27601.0,27031.0,26470.0,25935.0,25377.0,24765.0,24123.0,23499.000000000004,22875.0,22295.0,21785.999999999996,21316.0,20840.0,20379.0,19842.0,19184.0,18452.0,17740.0,17028.0,16357.0,15754.000000000002,15203.0,14647.0,14091.0,13579.0,13125.0,12708.0,12302.0,11920.0,11495.0,10994.000000000002,10450.999999999998,9919.0,9368.0,8902.999999999998,8575.0,8326.0,8068.999999999999,7851.0,7480.0,6859.0,6093.999999999999,5363.0,4603.0,4038.9999999999995,3790.0,3739.0,3666.0000000000005,3639.0,3469.0,3050.0,2485.0,1973.0,1456.9999999999998,1087.0,949.0000000000001,963.0,962.0000000000001,988.0,952.0000000000001,795.9999999999999,570.0,315.0,138.0,107.0,84.0,67.0,75.0,69.0,57.0,40.0,17.0,11.000000000000002
1956,70326.00000000001,67473.99999999999,64501.00000000001,61928.00000000001,59696.99999999999,57748.99999999999,56063.0,54616.00000000001,53168.0,51589.0,49930.0,48428.00000000001,47105.0,45505.0,43448.0,41150.0,38961.99999999999,36759.0,35032.0,34043.0,33541.0,33021.0,32589.0,32049.0,31250.999999999996,30305.999999999996,29461.0,28663.0,27920.0,27259.0,26654.0,26055.0,25480.0,24880.0,24229.0,23554.000000000004,22895.0,22226.0,21641.0,21184.0,20802.0,20410.0,20038.0,19563.0,18919.0,18170.0,17445.999999999996,16722.0,16040.0,15436.0,14887.0,14330.0,13769.0,13251.0,12790.999999999998,12367.0,11953.0,11562.999999999998,11132.0,10626.0,10079.0,9543.0,8991.0,8520.0,8179.0,7912.000000000001,7640.0,7405.0,7029.0,6422.999999999999,5684.0,4979.0,4250.0,3703.9999999999995,3452.0,3385.0,3300.0,3258.0,3093.0,2707.0,2195.0,1733.0,1271.0,938.0,811.0,818.0,822.0000000000001,839.0000000000001,802.9999999999999,667.0,472.00000000000006,258.0,115.0,90.0,70.0,55.0,61.0,50.0,35.0,16.0,13.999999999999998
1957,71293.0,67604.0,65917.0,63299.0,61038.99999999999,59073.0,57336.00000000001,55835.0,54578.0,53137.0,51302.0,49226.00000000001,47318.00000000001,45552.0,43666.00000000001,41591.0,39451.0,37391.0,35321.0,33734.0,32871.0,32485.0,32099.000000000004,31814.0,31400.0,30697.0,29820.0,29043.000000000004,28309.0,27600.0,26932.0,26291.0,25655.0,25039.0,24397.0,23706.999999999996,22999.000000000004,22303.0,21590.0,20999.000000000004,20594.0,20300.0,19991.0,19708.0,19295.0,18665.0,17899.0,17163.0,16425.0,15732.999999999998,15126.0,14579.0,14020.0,13455.0,12931.0,12464.0,12033.0,11612.0,11213.0,10774.0,10263.0,9712.0,9173.0,8619.0,8142.000000000001,7787.999999999999,7504.0,7216.0,6963.999999999999,6582.999999999999,5990.0,5278.0,4599.0,3900.0,3371.0000000000005,3116.0,3033.0,2936.0000000000005,2878.9999999999995,2718.0,2367.0,1906.9999999999998,1495.0,1085.0,789.0,672.9999999999999,675.0,682.0,691.0,655.0,540.0,374.0,201.99999999999997,93.00000000000001,72.00000000000001,55.99999999999999,44.00000000000001,40.99999999999999,28.999999999999996,13.999999999999998,17.0
1958,72277.0,68567.0,65441.0,64411.99999999999,62146.0,60198.0,58495.0,56967.0,55651.0,54582.0,53146.0,51053.99999999999,48561.00000000001,46245.0,44034.0,41861.00000000001,39766.0,37782.0,35848.0,33911.0,32463.0,31724.0,31455.0,31203.000000000004,31063.000000000004,30775.0,30166.0,29357.0,28647.0,27978.0,27302.0,26625.0,25948.0,25274.0,24616.999999999996,23932.0,23204.0,22461.0,21728.0,20971.0,20373.0,20020.0,19813.0,19587.0,19394.000000000004,19042.0,18425.0,17641.0,16893.0,16140.999999999998,15437.000000000002,14828.0,14283.0,13720.999999999998,13151.0,12622.0,12147.0,11709.000000000002,11279.000000000002,10872.0,10425.0,9908.999999999998,9353.0,8810.0,8254.0,7771.0,7402.0,7101.0,6797.000000000001,6528.0,6141.0,5563.0,4875.0,4221.999999999999,3553.0,3042.0,2782.0,2683.0000000000005,2574.0,2503.0,2345.0,2028.0,1621.0,1258.0,900.9999999999999,642.0,536.0,531.0,542.9999999999999,544.0,508.0,412.00000000000006,276.99999999999994,146.0,71.0,55.0,42.0,32.0,22.000000000000004,12.0,20.0
1959,73648.0,69869.0,66695.0,64048.99999999999,62923.0,61008.99999999999,59372.0,57934.0,56615.0,55482.0,54602.0,53171.00000000001,50821.00000000001,47909.0,45184.0,42527.0,40066.0,37950.0,36122.0,34315.0,32509.0,31200.0,30585.0,30432.0,30314.0,30320.0,30159.000000000004,29643.0,28901.999999999996,28258.000000000004,27653.000000000004,27011.0,26326.0,25612.0,24900.0,24202.0,23475.0,22706.0,21930.0,21159.000000000004,20357.0,19752.0,19451.0,19332.0,19189.0,19085.0,18794.0,18190.0,17387.0,16627.0,15860.999999999998,15145.999999999998,14534.0,13991.0,13425.999999999998,12850.0,12315.0,11833.0,11387.0,10949.000000000002,10533.0,10079.0,9556.000000000002,8996.0,8449.0,7891.0,7401.0,7019.0,6700.0,6380.0,6093.0,5701.000000000001,5136.0,4474.0,3845.0,3206.0000000000005,2711.9999999999995,2449.0,2334.0,2211.9999999999995,2126.0,1973.0,1690.0,1335.0,1020.9999999999999,716.0,494.0,398.99999999999994,387.99999999999994,405.0,397.0,361.0,285.0,179.0,89.00000000000001,48.0,37.00000000000001,27.999999999999996,21.0,11.000000000000002,22.000000000000004
