Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,753718.9999999999,709195.0,669297.0,633811.0,602523.0,575221.0,551691.0,531719.0,515094.00000000006,501600.0,490080.0,479376.0,473999.0,475626.0,481211.0,486631.99999999994,493443.00000000006,492602.0,479419.00000000006,458034.0,437564.0,416534.0,395368.00000000006,375304.00000000006,356004.0,336555.0,317945.0,298877.0,278874.0,259375.0,240912.0,221731.0,212352.99999999997,217543.0,231835.0,245404.00000000003,260702.99999999997,269501.0,266861.0,256752.0,248369.00000000003,240224.00000000003,231519.0,222891.0,214400.99999999997,204893.0,193900.99999999997,186190.0,183791.0,184382.99999999997,184454.0,185715.0,181350.0,167937.0,149159.0,131391.0,112475.0,99717.00000000001,97113.99999999999,100777.0,103353.0,106954.0,106072.0,97434.0,84113.0,72098.0,59758.0,50832.0,47641.99999999999,48040.0,47792.0,48033.0,46295.0,41016.99999999999,33640.0,27059.0,20569.000000000004,15540.0,12905.0,11867.0,10696.0,9746.0,8698.0,7221.0,5547.000000000001,4212.0,3089.0,2188.0,1561.9999999999998,1147.0,758.0,528.0,411.00000000000006,284.0,144.00000000000003,69.0,55.0,42.0,27.000000000000004,12.0,11.000000000000002
1951,843340.0,737213.0000000001,693589.0,655070.0,621320.0,592003.0,566928.0,545910.0,527858.0000000001,512136.99999999994,498857.0,487648.0,477238.00000000006,471963.0,473510.0,478884.0,484009.0,490425.0,489318.00000000006,476115.0,454870.0,434491.0,413539.0,392480.0,372551.99999999994,353404.0,334113.00000000006,315660.0,296743.0,276883.0,257510.0,239165.0,220109.0,210757.0,215830.0,229912.99999999997,243274.0,258344.0,266969.0,264258.0,254144.0,245734.0,237554.0,228813.0,220141.0,211597.99999999997,202048.0,191037.0,183254.00000000003,180703.0,181102.99999999997,180985.0,182030.0,177578.0,164283.0,145743.0,128198.99999999999,109548.99999999999,96881.0,94076.00000000001,97365.0,99602.0,102832.00000000001,101767.99999999999,93259.0,80256.0,68533.0,56533.0,47783.0,44489.0,44620.0,44157.0,44166.00000000001,42394.0,37396.0,30498.0,24366.0,18346.0,13689.0,11250.0,10290.999999999998,9228.0,8381.0,7460.0,6161.000000000001,4689.0,3521.0000000000005,2570.0,1827.0,1303.0000000000002,944.0000000000001,619.0,433.0,337.0,233.0,117.0,51.0,37.00000000000001,25.0,11.000000000000002,11.000000000000002
1952,911904.0,824784.0,719523.9999999999,676863.9999999999,639783.0,607822.0,580516.0,557706.0,539230.0,523126.99999999994,508339.0,495301.0,484428.00000000006,474335.0,469176.99999999994,470639.0,475790.0,480610.0,486618.00000000006,485244.0,472038.0,450961.0,430700.99999999994,409851.0,388929.00000000006,369167.0,350205.0,331103.0,312837.0,294102.00000000006,274415.0,255194.00000000003,236995.0,218090.99999999997,208783.0,213738.0,227600.0,240744.00000000003,255575.0,264019.0,261236.0,251120.0,242684.00000000003,234470.99999999997,225703.0,217005.0,208435.99999999997,198872.0,187870.0,180034.00000000003,177332.0,177525.99999999997,177210.0,178027.00000000003,173488.0,160331.00000000003,142063.0,124772.0,106419.0,93862.00000000001,90861.0,93770.0,95667.0,98523.0,97280.0,88913.0,76253.0,64843.99999999999,53207.0,44648.99999999999,41257.0,41121.0,40446.0,40224.00000000001,38420.0,33711.99999999999,27305.999999999996,21633.000000000004,16094.999999999998,11819.0,9577.0,8700.0,7747.000000000001,7004.0,6210.0,5090.0,3825.0,2825.0,2046.9999999999998,1465.0,1041.0,740.0,479.0,337.0,262.0,180.0,91.0,36.00000000000001,23.0,11.000000000000002,12.0
1953,961560.0,865666.0,783862.0,703021.0000000001,661258.0,625554.0,595323.0,569982.0,549391.9999999999,533419.0,519232.0,505349.0,492532.0,481975.0,472181.99999999994,467130.0,468511.99999999994,473449.0,477971.0,483585.0,481941.99999999994,468712.0,447770.0,427598.0,406820.99999999994,386001.99999999994,366375.0,347568.00000000006,328625.0,310517.0,291934.0,272388.0,253291.0,235208.0,216427.00000000003,207146.0,211991.0,225653.0,238600.0,253213.0,261489.00000000003,258632.0,248498.0,240028.0,231770.0,222960.99999999997,214224.00000000003,205614.0,196019.0,185007.0,177106.0,174248.0,174240.0,173727.99999999997,174320.0,169689.00000000003,156650.0,138622.0,121555.0,103472.00000000001,91005.0,87803.0,90338.0,91899.0,94386.00000000001,92962.0,84726.0,72386.00000000001,61273.0,49978.0,41599.0,38103.0,37702.0,36813.0,36361.0,34522.0,30096.0,24169.0,18945.0,13878.0,9975.0,7927.000000000001,7129.0,6284.0,5642.0,4975.0,4032.0,2970.0,2136.0,1530.0,1105.0,782.9999999999999,537.9999999999999,341.0,242.0,188.0,128.0,64.0,24.0,11.000000000000002,12.0
1954,993952.0,897955.0,815569.0,745705.0,688122.0,647161.0,612752.0,584185.0,560749.0,542333.0000000001,528826.0,516521.99999999994,503510.99999999994,490883.00000000006,480616.0,471096.0,466139.0,467441.0,472179.00000000006,476415.0,481645.99999999994,479733.0,466452.0,445601.0,425471.0,404723.0,383963.0,364426.0,345732.0,326904.0,308912.00000000006,290440.0,270992.0,251975.0,233970.0,215270.0,205997.0,210738.0,224227.0,237000.0,251424.0,259549.00000000003,256612.00000000003,246445.0,237923.0,229607.0,220740.0,211942.0,203266.0,193613.0,182563.0,174576.0,171559.00000000003,171352.0,170649.0,171020.0,166289.00000000003,153338.0,135509.0,118628.99999999999,100772.0,88367.0,84957.00000000001,87125.0,88353.0,90476.0,88869.0,80742.0,68693.0,57849.0,46869.0,38648.0,35040.0,34372.0,33269.0,32585.0,30706.999999999996,26551.0,21090.999999999996,16302.0,11693.0,8154.0,6295.0,5575.0,4835.0,4295.0,3752.0,2983.0,2122.0,1452.0,1016.0,748.0,526.0,337.0,203.0,148.00000000000003,114.0,77.0,38.0,11.000000000000002,11.000000000000002
1955,1010456.0,922395.0,845576.0,779163.0,722319.0,674206.0,633987.0,600826.0,573885.0,552326.0,536065.0,525016.0,514584.00000000006,502428.00000000006,489967.0,479974.0,470714.0,465841.0,467066.99999999994,471610.0,475566.99999999994,480421.99999999994,478236.99999999994,464885.0,444096.0,423982.0,403232.0,382500.0,363027.0,344417.0,325675.0,307772.0,289384.0,270005.0,251042.0,233088.0,214442.99999999997,205162.0,209805.0,223137.0,235753.0,250005.0,257988.0,254969.00000000003,244755.99999999997,236173.0,227790.0,218852.99999999997,209979.0,201220.99999999997,191492.00000000003,180382.99999999997,172296.0,169116.0,168713.0,167817.99999999997,167972.99999999997,163136.0,150255.0,132597.0,115877.99999999999,98221.0,85859.0,82235.0,84038.0,84933.0,86694.0,84898.0,76868.0,65093.0,54501.99999999999,43821.99999999999,35747.0,32020.000000000004,31084.0,29761.999999999996,28844.0,26925.0,23033.0,18032.0,13672.0,9517.000000000002,6337.000000000001,4665.0,4022.0000000000005,3388.0,2949.0,2530.0,1936.0,1274.0,767.0,502.0,391.0,268.99999999999994,136.0,66.0,53.0,40.0,26.000000000000004,11.000000000000002,11.000000000000002
1956,1006271.9999999999,975926.0,898054.0,828726.0000000001,767488.0,713891.9999999999,667150.0,626471.0,593100.0,567268.0,547504.0,532060.0,521218.00000000006,510859.00000000006,498728.0,486235.0,476074.0,466529.0,461429.00000000006,462565.0,467111.0,471030.0,475824.0,473656.0,460434.0,439848.0,419939.0,399409.0,378881.99999999994,359574.0,341102.0,322501.0,304725.0,286470.0,267244.0,248430.99999999997,230610.0,212102.99999999997,202845.0,207342.0,220423.0,232793.0,246774.0,254558.0,251464.00000000003,241255.99999999997,232655.0,224245.99999999997,215285.0,206382.99999999997,197592.0,187845.99999999997,176749.00000000003,168601.0,165243.0,164602.99999999997,163480.0,163376.0,158447.0,145738.0,128411.0,112006.0,94717.00000000001,82515.0,78709.0,80125.0,80686.0,82083.0,80143.0,72326.00000000001,60989.0,50803.99999999999,40571.99999999999,32809.0,29147.0,28130.0,26774.0,25809.0,23985.0,20423.0,15890.999999999998,11969.000000000002,8259.0,5428.999999999999,3941.9999999999995,3377.0,2853.9999999999995,2480.0,2119.0,1614.0,1052.0,628.0,413.0,321.0,220.0,111.0,55.0,40.99999999999999,26.000000000000004,12.0,11.000000000000002
1957,996683.0,942000.0,945050.0,877041.0,814915.0,758608.0000000001,708053.0,662503.9999999999,621218.0000000001,587518.0,562696.0,544648.0,529963.0000000001,519289.99999999994,508967.0,496813.00000000006,484240.0,473868.00000000006,464001.99999999994,458655.0,459704.0,464270.99999999994,468168.0,472920.0,470763.00000000006,457626.99999999994,437176.99999999994,417408.0,397028.0,376634.0,357423.0,339026.0,320498.0,302782.0,284596.0,265455.0,246727.99999999997,228980.0,210547.0,201279.00000000003,205643.0,218511.0,230671.0,244425.0,252034.00000000003,248858.0,238629.00000000003,229985.0,221529.00000000003,212518.0,203554.0,194692.0,184886.0,173753.0,165512.0,161969.0,161097.0,159753.0,159394.0,154360.0,141779.0,124719.0,108567.0,91582.00000000001,79497.0,75494.0,76532.0,76761.00000000001,77801.0,75707.0,68074.0,57130.0,47313.0,37490.0,30006.0,26394.000000000004,25294.0,23900.0,22884.0,21148.000000000004,17899.0,13820.0,10317.0,7036.000000000001,4543.0,3237.0,2747.0,2334.0,2024.0,1719.0,1300.0,835.0,491.0,327.0,253.0,173.00000000000003,86.0,42.0,27.999999999999996,12.0,11.000000000000002
1958,985611.0000000001,949692.0,911596.0,915623.9999999999,857381.0000000001,802368.9999999999,750908.0,703315.0,658888.9999999999,616929.0,582847.0,558996.0,542640.0,528690.0,518169.99999999994,507868.00000000006,495670.0,482994.0,472395.0,462190.0,456586.0,457551.0,462145.0,466028.0,470746.0,468598.0,455528.0,435184.0,415524.0,395265.99999999994,374975.0,355833.0,337479.00000000006,318995.0,301313.0,283168.0,264082.99999999994,245414.00000000003,227710.0,209322.99999999997,200032.0,204268.0,216940.0,228908.0,242453.0,249896.0,246635.0,236369.00000000003,227674.0,219160.0,210085.0,201045.0,192095.0,182212.00000000003,171024.0,162676.00000000003,158944.0,157840.0,156272.00000000003,155662.0,150516.0,138043.0,121223.0,105298.99999999999,88592.99999999999,76605.0,72400.0,73059.0,72955.0,73639.0,71390.0,63927.0,53361.00000000001,43895.0,34464.0,27249.000000000004,23682.0,22496.0,21061.0,19992.0,18340.999999999996,15402.000000000002,11767.000000000002,8680.0,5822.999999999999,3663.0000000000005,2535.0,2121.0,1817.0,1570.0,1320.0,988.0,618.0,354.0,239.0,185.0,127.0,63.0,27.999999999999996,13.000000000000002,11.000000000000002
1959,978135.0,957622.0,931273.0,900045.0,886122.0,837675.0,789799.0,743199.0,698577.0,655276.9999999999,612640.0,578173.0,555297.0,540637.0,527425.9999999999,517058.99999999994,506776.0,494535.0,481756.99999999994,470930.0,460385.99999999994,454526.0,455405.0,460028.0,463895.0,468578.00000000006,466440.0,453436.0,433194.0,413643.0,393505.0,373318.00000000006,354241.99999999994,335931.99999999994,317493.0,299845.0,281740.0,262711.0,244099.00000000003,226440.0,208099.00000000003,198783.0,202890.0,215368.0,227144.0,240481.0,247760.0,244412.0,234110.0,225360.0,216785.99999999997,207646.0,198529.00000000003,189492.00000000003,179534.00000000003,168292.0,159836.0,155914.0,154576.0,152782.0,151920.0,146661.0,134296.0,117717.00000000001,102021.0,85592.99999999999,73703.0,69294.0,69574.0,69138.0,69463.00000000001,67058.0,59766.00000000001,49578.0,40465.0,31429.000000000004,24482.0,20960.0,19688.0,18213.0,17090.999999999996,15525.0,12895.999999999998,9708.0,7037.999999999999,4606.0,2781.0,1833.0000000000002,1492.0,1298.0,1115.0,920.0,675.0,401.0,218.99999999999997,153.0,118.00000000000001,79.0,38.0,13.000000000000002,11.000000000000002
1960,979582.0,967791.0,948460.0,922677.0,891531.0000000001,856113.9999999999,817510.0,776813.0,735110.0,693490.0,651340.0,608047.0,573212.0,551326.0,538371.0,525906.0,515697.0,505440.0,493163.0,480290.0,469241.0,458364.00000000006,452249.0,453044.00000000006,457691.0,461541.0,466186.0,464056.99999999994,451124.0,430995.0,411561.0,391551.0,371475.0,352476.0,334219.0,315832.99999999994,298227.00000000006,280171.0,261205.99999999997,242660.0,225052.00000000003,206765.0,197428.0,201407.0,213688.0,225267.0,238393.0,245504.00000000003,242070.0,231732.0,222930.0,214298.0,205095.99999999997,195907.0,186789.00000000003,176762.0,165472.99999999997,156915.0,152802.00000000003,151230.0,149209.0,148091.0,142719.0,130470.0,114139.0,98680.0,82541.0,70753.0,66143.0,66042.0,65272.99999999999,65238.99999999999,62678.99999999999,55563.0,45758.0,37004.0,28369.0,21695.999999999996,18221.0,16864.0,15347.000000000002,14173.0,12694.0,10377.0,7638.999999999999,5388.0,3384.0,1895.0,1126.0,862.0,777.0,657.0,519.0,361.0,183.0,81.0,66.0,50.0,32.0,13.999999999999998,12.0
