Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,18775.0,15466.0,13023.0,11345.0,10333.0,9889.0,9912.0,10302.999999999998,10962.0,11790.999999999998,12853.0,14215.0,14954.0,14642.999999999998,13675.999999999998,12828.0,11892.999999999998,11315.999999999998,11383.0,11830.0,12144.0,12467.0,12472.000000000002,11956.0,11112.0,10355.0,9633.0,8949.0,8359.0,7867.000000000001,7361.000000000001,6790.0,6613.0,7021.0,7786.000000000001,8516.0,9329.0,9783.999999999998,9634.0,9099.0,8627.0,8113.0,7727.0,7593.999999999999,7606.0,7548.999999999999,7484.0,7297.999999999999,6919.0,6420.0,5956.0,5505.0,5085.0,4721.0,4412.0,4098.0,3759.0,3595.0,3690.0,3941.9999999999995,4178.999999999999,4455.0,4560.0,4377.0,4011.0,3679.0,3335.0,3037.0,2836.9999999999995,2699.0,2534.0000000000005,2362.0,2186.0,2000.0,1808.0,1626.9999999999998,1456.9999999999998,1283.0000000000002,1103.0,925.0,755.0,590.0,461.0,382.0,337.99999999999994,298.0,268.99999999999994,240.0,201.0,158.0,121.0,96.0,80.0,61.0,40.0,27.999999999999996,24.0,19.0,13.999999999999998,8.0,13.000000000000002
1951,19879.0,18095.0,15175.0,12985.0,11447.000000000002,10482.999999999998,9996.0,9887.0,10180.0,10838.0,11722.000000000002,12796.0,14142.999999999998,14873.0,14561.0,13599.0,12754.000000000002,11821.0,11245.0,11310.0,11753.0,12062.999999999998,12382.0,12386.0,11873.0,11034.0,10282.0,9564.0,8884.0,8297.0,7806.0,7302.000000000001,6734.0,6557.0,6961.0,7720.0,8443.999999999998,9250.0,9700.0,9552.0,9020.0,8552.0,8042.999999999999,7657.0,7517.0,7520.0,7454.0,7379.0,7186.0,6807.0,6311.0,5848.0,5400.0,4981.0,4619.0,4311.0,3998.9999999999995,3663.0000000000005,3497.0,3582.0,3820.0,4043.9999999999995,4306.999999999999,4402.0,4218.0,3856.0000000000005,3526.0000000000005,3186.0000000000005,2891.0,2691.0000000000005,2551.0,2387.0,2215.9999999999995,2041.9999999999998,1859.0,1671.0,1494.0,1328.0,1162.0,993.0,828.0,672.9999999999999,522.0,403.99999999999994,332.0,291.00000000000006,257.0,231.0,205.0,170.0,132.0,100.99999999999999,80.0,67.0,51.0,33.0,23.0,18.000000000000004,13.000000000000002,6.999999999999999,13.000000000000002
1952,21390.0,18470.0,17498.0,14952.0,13004.000000000002,11599.0,10679.0,10147.0,9906.0,10103.0,10762.0,11706.0,12795.0,14134.0,14857.999999999998,14544.0,13582.0,12735.999999999998,11802.0,11224.0,11287.0,11727.0,12035.0,12353.0,12355.0,11843.0,11005.0,10254.000000000002,9537.0,8859.0,8272.0,7781.000000000001,7276.0,6707.999999999999,6530.0,6932.0,7688.0,8410.0,9211.0,9660.0,9512.0,8982.999999999998,8516.0,8007.999999999999,7621.0,7474.0,7467.000000000001,7391.0,7306.0,7107.0,6725.0,6230.0,5768.0,5318.0,4900.0,4538.0,4230.0,3918.9999999999995,3583.0,3413.9999999999995,3491.0,3716.0,3929.0,4178.0,4265.0,4078.9999999999995,3718.0,3390.0,3052.0,2758.0,2558.0000000000005,2416.0,2251.0,2081.0,1908.0000000000002,1726.9999999999998,1541.9999999999998,1369.0,1206.0,1046.0,888.0,736.0,594.0,457.0,350.0,284.0,247.0,216.00000000000003,193.99999999999997,171.0,141.0,107.0,81.0,65.0,54.00000000000001,40.99999999999999,27.000000000000004,17.0,12.0,6.999999999999999,12.0
1953,23019.000000000004,20218.0,17815.0,16935.0,14758.0,13049.000000000002,11773.0,10895.0,10317.0,9943.999999999998,10045.0,10708.0,11713.0,12820.0,14152.999999999998,14872.0,14556.0,13592.0,12744.000000000002,11806.0,11226.0,11286.0,11725.0,12032.0,12347.999999999998,12349.0,11835.999999999998,10998.0,10247.0,9530.0,8851.0,8263.0,7771.0,7265.0,6696.000000000001,6516.0,6917.000000000001,7672.000000000001,8392.000000000002,9192.0,9639.0,9491.0,8962.0,8496.0,7989.0,7600.0,7446.000000000001,7428.999999999999,7343.0,7247.999999999999,7041.0,6656.000000000001,6162.000000000001,5697.999999999999,5247.999999999999,4828.0,4466.0,4157.0,3846.0,3511.0,3339.0,3407.0,3620.0,3820.0,4058.0,4137.0,3948.0,3588.0,3261.0,2924.0,2631.0,2429.0000000000005,2286.0,2120.0,1950.0,1778.0,1598.0,1416.0,1246.0,1085.9999999999998,932.0,785.0,645.9999999999999,516.0,392.99999999999994,296.00000000000006,236.00000000000003,203.0,177.0,158.0,136.99999999999997,111.0,83.0,61.0,49.0,40.99999999999999,31.0,20.0,12.0,6.999999999999999,12.0
1954,24572.0,21941.0,19596.0,17532.0,16390.0,14580.0,13109.000000000002,11960.999999999998,11124.0,10500.0,9993.0,9999.0,10665.0,11732.999999999998,12857.999999999998,14187.999999999998,14902.000000000002,14583.0,13617.0,12765.999999999998,11823.0,11239.0,11298.0,11735.999999999998,12040.999999999998,12356.0,12356.0,11842.0,11003.0,10251.0,9533.0,8853.0,8263.0,7769.0,7261.0,6690.0,6508.999999999999,6910.0,7664.0,8383.0,9182.0,9628.0,9481.0,8952.0,8486.0,7979.0,7587.000000000001,7426.0,7398.0,7303.0,7197.999999999999,6983.0,6595.0,6099.0,5635.0,5182.0,4762.0,4399.0,4088.9999999999995,3776.9999999999995,3441.9999999999995,3267.0,3326.0,3526.9999999999995,3716.0,3941.9999999999995,4011.9999999999995,3820.0,3461.0000000000005,3135.0,2799.0,2506.0,2303.0,2157.0,1990.0,1820.0,1649.0,1470.9999999999998,1291.9999999999998,1124.0,967.0000000000001,819.0000000000001,682.0,556.0,439.0,327.99999999999994,242.0,188.99999999999997,158.0,136.99999999999997,121.0,103.00000000000001,81.99999999999999,57.99999999999999,42.0,34.0,27.999999999999996,21.0,13.000000000000002,6.0,11.000000000000002
1955,25935.0,23557.0,21353.0,19329.0,17492.0,15850.0,14409.0,13175.999999999998,12157.0,11360.0,10689.0,10049.0,9958.0,10628.0,11759.0,12904.000000000002,14231.0,14940.999999999998,14618.0,13650.0,12794.0,11847.000000000002,11259.0,11315.999999999998,11753.0,12057.0,12370.999999999998,12370.999999999998,11855.0,11014.000000000002,10261.0,9541.0,8860.0,8267.999999999998,7772.0,7262.0,6689.0,6506.0,6906.000000000001,7660.0,8379.0,9177.0,9623.0,9475.0,8946.0,8480.0,7974.0,7577.999999999999,7410.0,7372.000000000001,7267.0,7152.0,6928.999999999999,6537.000000000001,6040.0,5574.0,5120.0,4697.0,4333.0,4022.9999999999995,3710.0,3375.0,3196.0,3246.0000000000005,3435.0,3613.0,3827.0,3889.0,3694.0,3336.0000000000005,3009.0,2674.0,2381.9999999999995,2178.0,2029.0,1861.9999999999998,1690.9999999999998,1520.0,1344.0,1167.0,1002.0,848.0,706.0,579.0,466.0,361.0,264.0,188.99999999999997,141.0,114.0,96.99999999999999,84.0,70.0,53.0,34.0,22.000000000000004,19.0,15.0,11.000000000000002,6.0,11.000000000000002
1956,26947.0,25622.0,23396.0,21298.0,19340.999999999996,17539.0,15900.0,14431.0,13177.0,12164.000000000002,11387.0,10720.0,10074.0,9978.0,10642.999999999998,11770.0,12909.0,14227.0,14933.0,14612.0,13647.0,12795.0,11852.0,11265.999999999998,11320.0,11752.0,12050.999999999998,12360.0,12356.0,11839.0,10998.0,10245.0,9526.0,8845.0,8255.0,7762.0,7255.0,6684.0,6502.000000000001,6898.0,7645.0,8357.000000000002,9148.0,9588.0,9435.0,8902.000000000002,8431.000000000002,7919.0,7519.0,7343.999999999999,7300.0,7189.0,7067.0,6840.0,6445.0,5947.999999999999,5481.0,5025.0,4602.0,4241.000000000001,3933.9999999999995,3623.9999999999995,3293.0,3113.0,3151.9999999999995,3323.0,3485.0,3682.0,3731.9999999999995,3537.0,3185.0,2864.0,2536.0,2248.0,2043.0000000000002,1891.0,1722.0,1550.0,1382.0,1214.0,1050.0,897.0,755.0,625.0,509.0,407.0,312.0,226.0,163.0,122.0,96.99999999999999,81.99999999999999,71.0,57.99999999999999,44.00000000000001,27.999999999999996,18.000000000000004,13.999999999999998,10.0,6.0,11.000000000000002
1957,27811.0,26180.0,25357.0,23279.0,21281.999999999996,19387.999999999996,17618.0,15979.000000000002,14480.0,13203.0,12193.0,11434.000000000002,10770.0,10119.0,10016.0,10677.999999999998,11802.0,12937.000000000002,14250.0,14953.0,14630.999999999998,13670.0,12820.0,11879.000000000002,11294.0,11345.0,11770.999999999998,12065.999999999998,12370.999999999998,12363.0,11844.000000000002,11003.0,10249.0,9527.000000000002,8846.0,8258.0,7766.0,7261.0,6692.0,6510.0,6902.0,7645.0,8351.0,9137.0,9571.0,9412.0,8873.0,8396.0,7879.0,7473.0,7292.000000000001,7241.000000000001,7122.999999999999,6995.0,6763.0,6366.000000000001,5867.000000000001,5397.0,4939.0,4516.0,4156.000000000001,3852.0,3543.9999999999995,3218.0,3035.0,3063.0,3217.0,3363.0,3543.0,3583.0,3387.0,3040.0,2723.9999999999995,2401.9999999999995,2118.0000000000005,1911.0,1756.0,1585.0,1412.0,1247.0,1087.0,935.0,794.0,662.9999999999999,545.0,441.0,350.0,264.0,188.99999999999997,136.99999999999997,102.0,80.0,66.0,57.0,47.0,35.0,22.000000000000004,13.999999999999998,10.0,6.0,10.0
1958,28600.0,27365.0,25968.000000000004,25105.0,23173.0,21278.000000000004,19447.0,17706.0,16065.999999999998,14536.0,13235.0,12229.000000000002,11488.0,10827.0,10168.0,10060.0,10718.0,11840.0,12972.000000000002,14280.0,14980.0,14659.0,13699.000000000002,12851.0,11913.0,11328.0,11376.0,11798.0,12088.0,12389.000000000002,12377.0,11856.0,11014.000000000002,10258.0,9533.999999999998,8852.0,8265.0,7775.0,7271.0,6704.0,6521.0,6911.000000000001,7648.0,8350.0,9130.0,9559.0,9394.0,8850.0,8367.0,7843.999999999999,7431.0,7242.999999999999,7186.0,7062.0,6927.000000000001,6690.0,6290.0,5789.0,5317.0,4856.0,4431.999999999999,4073.0000000000005,3772.0,3467.0,3143.9999999999995,2960.0,2975.0,3113.0,3243.0000000000005,3406.0,3435.0,3238.0,2896.0000000000005,2585.0,2269.0,1988.0000000000002,1781.0,1622.0,1449.0,1275.0,1112.0,960.0,820.0,690.0,572.0000000000001,466.0,373.0,292.0,215.0,151.0,111.99999999999999,83.0,63.0,51.0,44.00000000000001,36.00000000000001,27.000000000000004,17.0,10.0,6.0,10.0
1959,29439.0,28524.0,27375.999999999996,26035.0,24843.000000000004,23059.0,21266.0,19497.0,17788.0,16148.0,14587.0,13263.0,12260.0,11538.0,10879.000000000002,10214.0,10100.0,10754.000000000002,11874.0,13002.0,14305.0,15002.0,14682.0,13724.0,12878.0,11942.0,11357.000000000002,11402.000000000002,11819.0,12106.0,12402.000000000002,12387.0,11864.0,11020.0,10263.0,9538.0,8855.0,8267.999999999998,7781.000000000001,7278.0,6712.999999999999,6530.0,6917.000000000001,7649.0,8345.0,9120.0,9543.0,9373.0,8823.0,8334.0,7805.0,7386.0,7192.0,7127.999999999999,6997.000000000001,6857.0,6614.0,6211.0,5707.999999999999,5235.0,4771.0,4346.0,3989.0,3690.0,3388.0,3069.0,2881.9999999999995,2887.0,3006.9999999999995,3121.0000000000005,3268.0000000000005,3286.0,3086.9999999999995,2751.0000000000005,2445.0,2135.0,1858.0,1650.0,1488.0000000000002,1313.0000000000002,1137.0,976.0,833.0,704.0000000000001,587.0000000000001,480.0,386.0,305.0,235.0,166.99999999999997,114.0,86.0,64.0,45.0,36.00000000000001,30.0,25.0,18.000000000000004,11.000000000000002,5.0,9.000000000000002
