Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,19614,16253,13781,12096,11095,10674,10730,11160,11861,12730,13832,15235,15989,15652,14630,13711,12670,12015,12057,12496,12786,13119,12941,11948,10454,9076,7685,6584,5985,5741,5455,5166,5093,5293,5671,6083,6568,6903,6966,6853,6775,6681,6618,6628,6669,6677,6682,6577,6306,5932,5574,5210,4905,4706,4584,4444,4280,4215,4293,4450,4594,4761,4780,4560,4185,3830,3463,3123,2850,2621,2373,2118,1888,1692,1521,1360,1213,1065,908,751,608,473,366,297,254,218,191,166,135,102,75,58,48,36,22,14,12,9,6,3,5
1951,20235,18857,15912,13712,12178,11230,10766,10685,11013,11712,12640,13753,15139,15882,15545,14529,13615,12578,11925,11963,12394,12679,13005,12826,11839,10359,8992,7612,6521,5926,5682,5398,5109,5035,5230,5601,6004,6479,6806,6866,6752,6672,6576,6509,6510,6541,6538,6532,6420,6148,5778,5422,5060,4756,4557,4433,4292,4129,4058,4119,4254,4377,4523,4529,4311,3947,3602,3246,2918,2655,2434,2197,1954,1734,1548,1386,1233,1093,955,810,665,535,412,315,253,216,185,162,140,113,85,62,48,39,29,18,11,9,6,3,5
1952,21425,18707,18207,15658,13717,12326,11426,10917,10698,10926,11628,12618,13748,15125,15861,15523,14508,13593,12556,11900,11934,12361,12641,12962,12780,11796,10320,8957,7582,6493,5899,5655,5370,5081,5005,5196,5560,5957,6426,6747,6803,6687,6605,6507,6435,6428,6448,6435,6419,6299,6026,5656,5301,4938,4634,4433,4307,4164,4001.0000000000005,3924,3969,4082,4186,4311,4304,4086.0000000000005,3731,3395,3049,2730,2475,2262,2033.9999999999998,1801,1591,1413,1258,1113,981,851,717,584,465,354,266,211,179,153,134,115,92,68,49,38,31,23,14,9,6,3,4
1953,22880,20329,18134,17593,15437,13750,12498,11644,11089,10733,10862,11568,12623,13771,15142,15873,15532,14517,13599,12558,11900,11930,12352,12628,12945,12761,11776,10302,8940,7566,6478,5884,5639,5353,5063,4985,5172,5531,5923,6385,6702,6755,6636,6551,6451,6374,6359,6368,6345,6319,6191,5915,5546,5190,4826,4521,4319,4190,4045,3882,3798,3827,3918,4002,4107,4088,3869,3523,3195,2857,2548,2300,2094,1875,1652,1451,1281,1133,995,870,749,625,504,396,296,218,169,142,122,106,90,72,52,37,29,23,17,10,6,3,4
1954,24397,22003,19857,17955,16992,15227,13795,12682,11874,11272,10778,10806,11517,12638,13806,15172,15898,15554,14537,13617,12572,11909,11935,12354,12626,12939,12752,11767,10292,8931,7557,6469,5874,5627,5340,5050,4969,5152,5507,5894,6350,6662,6712,6591,6503,6400,6319,6295,6294,6260,6223,6088,5809,5440,5083,4718,4411,4207,4075.9999999999995,3929,3765,3674,3687,3758,3822,3906,3874,3655,3317,2996,2667,2366,2126,1928,1717,1503,1312,1149,1008,877,760,647,533,424,327,238,170,128,105,90,78,66,51,35,24,19,15,11,7,3,4
1955,25847,23640,21583,19684,17951,16395,15023,13846,12872,12110,11461,10827,10756,11471,12659,13847,15209,15930,15584,14564,13640,12591,11924,11946,12361,12629,12939,12749,11762,10287,8926,7551,6462,5867,5619,5330,5038,4955,5135,5485,5867,6318,6625,6671,6548,6457,6352,6266,6233,6222,6178,6130,5987,5704,5336,4978,4611,4303,4097,3963,3814,3649,3552,3548,3598,3642,3705,3661,3442,3111,2798,2478,2185,1953,1761,1559,1355,1173,1016.9999999999999,883,760,649,544,442,344,258,181,121,86,68,59,50,41,30,19,11,9,7,5,3,4
1956,27051,25552,23465,21494,19654,17959,16417,15038,13855,12888,12139,11493,10854,10777,11486,12668,13848,15200,15915,15568,14551,13628,12582,11915,11934,12343,12607,12911,12718,11732,10260,8901,7528,6441,5845,5596,5307,5014,4928,5103,5447,5823,6268,6568,6606,6474,6375,6262,6168,6127,6108,6057,6002,5854,5571,5204,4847,4482,4174,3964,3824,3669,3500,3396,3381,3417,3448,3499,3449,3234,2915,2613,2305,2025,1802,1620,1427,1235,1063,916,790,674,570,474,382,296,220,153,104,74,57,49,42,34,25,15,9,7,5,3,4
1957,28158,26450,25295,23323,21437,19654,17992,16462,15075,13884,12923,12187,11542,10897,10813,11517,12695,13869,15213,15923,15574,14558,13636,12591,11923,11939,12343,12602,12902,12706,11719,10248,8889,7516,6429,5832,5582,5291,4996,4908,5079,5417,5788,6226,6520,6550,6410,6303,6181,6078,6030,6004,5946,5882,5730,5445,5079,4724,4360,4051,3837,3691,3530,3357,3245,3219,3241,3260,3298,3242,3032,2724,2432,2136,1868,1655,1481,1298,1117,954,816,697,589,492,404,322,248,182,126,87,61,47,39,34,27,20,12,7,5,3,4
1958,29205,27757,26212,25051,23194,21391,19664,18036,16517,15120,13921,12965,12241,11597,10946,10856,11556,12729,13898,15235,15940,15589,14574,13652,12606,11938,11950,12350,12605,12900,12701,11713,10241,8881,7508,6420,5823,5571,5278,4981,4890,5057,5391,5755,6189,6476,6498,6349,6233,6103,5993,5936,5903,5837,5766,5608,5323,4958,4603,4240,3930,3712,3559,3393,3216,3097,3059,3067,3074,3099,3036,2830,2533,2253,1969,1711,1508,1342,1170,999,846,717,605,504,414,334,263,200,144,99,69,49,36,29,25,20,15,9,5,3,4
1959,30272,29037,27656,26163,24805,23063,21343,19673,18077,16570,15163,13956,13006,12294,11651,10994,10898,11593,12762,13925,15255,15955,15603,14588,13666,12621,11952,11960,12355,12606,12897,12695,11705,10234,8874,7500,6411,5812,5559,5265,4966,4872,5035,5363,5723,6150,6431,6446,6288,6164,6025,5906,5842,5801,5728,5649,5486,5200,4836,4482,4120,3809,3587,3427,3256,3074,2947,2898,2893,2887,2900,2831,2629,2343,2073,1800,1555,1361,1204,1041,881,738,617,513,419,336,264,204,153,106,72,52,37,26,20,17,13,10,6,3,4
1960,31440,30331,29056,27647,26134,24549,22923,21287,19673,18112,16617,15201,13986,13041,12342,11700,11038,10935,11625,12790,13947,15269,15964,15610,14596,13675,12631,11960,11966,12356,12602,12889,12683,11693,10222,8862,7488,6399,5800,5545,5249,4949,4852,5011,5334,5688,6109,6383,6390,6224,6091,5944,5817,5745,5697,5617,5530,5362,5074,4712,4359,3998,3686,3460,3294,3117,2930,2797,2736,2717,2699,2699,2624,2426,2151,1892,1631,1397,1214,1065,912,763,630,517,420,334,258,194,144,105,68,44,35,25,15,10,8,7,5,2,4
1961,32774,31374,30227,28941,27543,26059,24520,22959,21368,19758,18176,16668,15241,14018,13070,12371,11727,11062,10955,11640,12799,13950,15267,15957,15604,14592,13672,12631,11960,11960,12341,12579,12856,12645,11655,10188,8830,7459,6372,5774,5519,5223,4924,4824,4974,5285,5627,6037,6300,6300,6129,5991,5839,5706,5626,5569,5482,5388,5215,4924,4562,4209,3847,3536,3310,3145,2969,2785,2651,2584,2556,2529,2521,2442,2249,1984,1734,1484,1261,1088,951,811,674,553,451,365,287,221,167,123,88,57,37,29,21,13,8,6,4,2,4
1962,34174,33020,31283,30097,28802,27417,25962,24471,22977,21432,19827,18225,16705,15269,14038,13088,12390,11744,11076,10966,11645,12798,13942,15251,15938,15584,14575,13659,12621,11950,11944,12315,12545,12813,12597,11608,10145,8792,7424,6339,5743,5488,5193,4894,4791,4933,5232,5562,5959,6211,6204,6028,5885,5729,5590,5503,5438,5342,5241,5062,4770,4408,4054.9999999999995,3694,3383,3158,2994,2819,2638,2503,2429,2392,2357,2341,2259,2070,1815,1575,1335,1123,962,837,709,585,476,385,309,240,183,140,103,71,45,30,23,17,10,6,4,2,4
1963,35481,34241,32927,31180,29956,28652,27280,25855,24413,22986,21487,19888,18266,16736,15291,14053,13101,12403,11757,11086,10972,11645,12791,13929,15230,15912,15559,14553,13640,12606,11935,11923,12285,12506,12765,12544,11556,10099,8749,7385,6304,5709,5456,5161,4863,4757,4890,5177,5495,5879,6120,6106,5926,5777,5616,5472,5377,5304,5201,5092,4909,4614,4252,3899,3539,3228,3004,2841,2668,2490,2354,2274,2227,2185,2160,2075,1891,1645,1416,1186,986,836,722,607,495,399,319,253,193,146,112,82,55,34,23,18,13,7,4,2,4
