Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02502916387232709,0.04124746521328586,0.06267198321448347,0.08830603031575843,0.11605491528938322,0.14308973189107962,0.16647179277945828,0.1838127363821746,0.19375135543154076,0.19626656708243528,0.19250646884724607,0.18421402747480187,0.17328436506140854,0.1614197175334483,0.14937628243787293,0.1371728106748171,0.12484452109750911,0.11247078614097268,0.1001717994536166,0.08815600005100671,0.07666948304790352,0.0659073769842074,0.05600965936874511,0.04705377111670327,0.038887660741862645,0.03131096488500953,0.024318585615574016,0.018039619986141897,0.012655284895733391,0.008321480094732981,0.0050881788017496125,0.0028702821071600474,0.001482021613294986,6.948955419397465e-4,2.935532201220108e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025909927187570677,0.043525740441156605,0.06706478381858796,0.09537971966492091,0.126001429319045,0.15559569784933713,0.1807453557175657,0.19875997050854124,0.20823045249572741,0.20934151186851074,0.2036035939966715,0.19314089131294018,0.18016128397101097,0.16657279735750016,0.15319845013625882,0.14004255747860306,0.12711182143245528,0.11444504003415278,0.10210745820875482,0.09018185783729439,0.07876283041416056,0.06795204476612786,0.057849748937845086,0.048538359842324526,0.03993657305094064,0.031939378245705974,0.02460640959709071,0.018098072969784,0.012594740521071254,0.00822544366180193,0.005003950181366525,0.002814717564656243,0.0014531469454179904,6.83473642041114e-4,2.9070747493492306e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02633532405055534,0.045068510904873446,0.07041149350186462,0.1011104379394576,0.13436210442293267,0.16635362023471367,0.19320068061541035,0.21191039769551537,0.22101745701883974,0.22089736996520162,0.21340206144038276,0.20101219673604637,0.18622311189277407,0.1711267026502878,0.1565969394192054,0.1426135810205933,0.1291503229803477,0.11620691518522108,0.1038017114231519,0.09191829641441533,0.08053187706803717,0.0696682502684191,0.05939310556162946,0.049790532989414965,0.04083434797960033,0.03249481161888563,0.02488262217225,0.018182607556312475,0.012574470663856292,0.00816687344034283,0.004946260190046362,0.002773875817397107,0.0014302761596059073,6.733014021030912e-4,2.8733582475695495e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026349157660970898,0.04589209261876077,0.07266878129532992,0.1053698664307753,0.1409169278761254,0.1750683889040114,0.2035025156305174,0.22293022533136425,0.2318156294330059,0.2306950178140262,0.22172380134511735,0.20770152372966935,0.19137930981494766,0.1750103862913087,0.15950831100807494,0.14482451777672511,0.13090001934699105,0.11769980373747381,0.1052039205126477,0.09332119727928574,0.08193759063109336,0.07102072331073142,0.06060807792475842,0.05078278624382281,0.04155749174117144,0.03295673898641548,0.0251286481847177,0.018276452126451636,0.012580268348787515,0.008135021573097272,0.00490808446351249,0.0027439302721687514,0.0014117735707485856,6.639129899888532e-4,2.8342270334337873e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026016769721847927,0.046057419181654846,0.07386434446613566,0.10812436599723728,0.14555603953019883,0.18155962215413257,0.2114244197554046,0.23158067474890714,0.24040506313428614,0.2385528942032378,0.22843046961082855,0.2131073847375258,0.19555321117054514,0.17815923279811144,0.1618711628934998,0.14661390104425592,0.132300091135413,0.11886644928077582,0.10626371623538751,0.09434833564441246,0.0829446825278031,0.07197920338347744,0.06146796308581721,0.05149100891575547,0.042083797184475955,0.03330444245105379,0.025325283564281084,0.018362530755861865,0.012598136802679856,0.008119637349967566,0.004882878394363197,0.0027213531697958216,0.0013961252679297008,6.548700197922335e-4,2.7895736399728347e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02541566920235337,0.04565810622783535,0.07408526293140935,0.10942678576535211,0.14827694824406693,0.18576423860905378,0.21685495879472297,0.2377254468720427,0.24664949285680118,0.24435222133444942,0.2334270800112376,0.21715573820433254,0.19868393547234442,0.18051672456444315,0.1636276736511473,0.14792158726828666,0.13329024107214948,0.11965025885938413,0.10693233330251992,0.09496068750347536,0.08352279778237931,0.07251947985802301,0.06195193532835432,0.051895351640055515,0.04239312370996671,0.03351759988079997,0.025452992094517176,0.018423456439988415,0.012614076861405837,0.00811069829478865,0.0048643668628547175,0.002702803272950213,0.0013819022705178934,6.457579227327143e-4,2.739342993561551e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02462715462197131,0.04480765556086596,0.07346257886737916,0.10940139351660445,0.1491725946226354,0.18772906182130375,0.21979460227625788,0.24133057816100084,0.25049757364136344,0.24803864069108994,0.2366635673930176,0.21980145516921423,0.2007278626622427,0.18203600142667373,0.1647252211235864,0.14869036107780761,0.13381225823872434,0.11999684095906796,0.1071641091457868,0.0951237979712368,0.08364765583300102,0.07262430138197107,0.06204582907355778,0.051981014667050934,0.042468199009119266,0.03357697365152338,0.025492347418700788,0.018441686613554237,0.012614030596914754,0.00809826904578972,0.004846419324650693,0.0026850573883369032,0.0013677391794321813,6.36185059696886e-4,2.68353608427692e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02372981806272003,0.04362767338550096,0.07215480133940326,0.10822495791916319,0.14841305157596762,0.18759562845433905,0.22034477322887425,0.24245753395353575,0.2519790648985833,0.24962045262859628,0.23813433442332932,0.2210287204059687,0.20165961880555153,0.18268125760237416,0.16511802745847357,0.1488676802076956,0.13381177820408752,0.11985573442314192,0.10691810355591987,0.0948091597840893,0.08330209134690668,0.07228411034741444,0.061742736876982514,0.051738917390306866,0.04229540744734106,0.03346517988913058,0.025424615853038852,0.018399843580117887,0.012583981108815725,0.008072483130148434,0.004823004078776129,0.0026649816905694886,0.001352326847148598,6.257843141686368e-4,2.6222129705725096e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022797509188758606,0.042241784099406,0.07033704920164022,0.10611169364415034,0.14622772646602317,0.1855811061683561,0.21868828094521323,0.2412432402336277,0.25118424323068056,0.24914735077412867,0.2378565838203764,0.22082946525541414,0.20145113673223802,0.1824078470177533,0.16474868435965212,0.14838906508665306,0.13322401830976888,0.11916892630721883,0.10614968402396877,0.09398876465081897,0.08247307153069472,0.07149587041177911,0.06104300092867539,0.05116626741341288,0.04186546996315112,0.03316718622527588,0.025231961071973303,0.0182806820515435,0.012509830992543144,0.008023463279129766,0.0047882021126418334,0.0026396199703402705,0.0013345253041229213,6.143089541651183e-4,2.5561106671598955e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021903221851098064,0.040778311428517476,0.06820073899907358,0.10330822187716339,0.14289400686199605,0.1819591174323971,0.21506100274156106,0.2378619124858848,0.2482162826319268,0.24665500299389437,0.23580962421533158,0.21914020403542572,0.20000853909772828,0.18110111270257992,0.16349056536863843,0.14712581659586957,0.13192845312547852,0.11783389331200078,0.10478292086626508,0.09261676180278634,0.08114126351507314,0.07025849578373919,0.05995324056080503,0.05026704443653725,0.04117392493838002,0.03267021465325586,0.024896792233967,0.018066223386683487,0.012376708250576742,0.007941009367411104,0.004736262632545452,0.0026064682112593657,0.0013136895650411428,6.018992518357429e-4,2.4883568768644965e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
