Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,3762565,3600427,3442344,3289294,3142257,3002214,2870142,2747022,2633833,2531556,2439447,2356765,2293097,2252869,2231893,2218680,2212072,2223738,2257211,2305335,2355916,2409587,2458729,2497712,2527781,2558211,2590022,2600825,2581308,2541674,2500721,2453830,2415062,2393038,2380817,2362805,2342083,2317631,2287369,2252630,2217907,2183592,2143432,2095179.9999999998,2042126,1988997,1933870,1886159,1850715,1822949,1793749,1765334,1733059,1693823,1650245,1607563,1564148,1523265,1486873,1452860,1416357,1377389,1337825,1297795,1255892,1212765,1170903,1114949,1038159.0000000001,948669,860624,770323,691535,632268,585968,538797,494388,447678,395038,340090,289441,241003,200847,172412,152341,133790,118074,102949,86587,70132,54924,44055,36962,28573,18885,13112,11180,8962,6460,3671,6267
1951,3712154,3735754,3585379,3435738,3288229,3144248,3004990,2871652,2746636,2631745,2527770,2433032,2347058,2280585,2238543,2216525,2202103,2194055,2205661,2241083,2292398,2346092,2403156,2454607,2494036,2523336,2553201,2584357,2594645,2575011,2535467,2494281,2446838,2407646,2385464,2373117,2355171,2335315,2309423,2274093,2232427,2191037,2148722,2106682,2066217,2026628,1985967,1944683,1903524,1862690,1822132,1781463,1740587,1700580,1661881,1623958,1585479,1546279,1507490,1469405,1431229,1391367,1349521,1306317,1261703,1214857,1166900,1119874,1061408,986187,900901,816914,731174,655849,597903,551612,504983,461241,415594,364726,311992,263434,217076,178903,152257,133844,116978,103055,89539,74795,59735,46388,37331,31240,24063,15801,11365,9132,6589,3736,6326
1952,3706920,3664586,3717917,3578920,3437346,3295013,3153737,3014931,2880009,2752805,2635941,2530025,2432436,2342972,2273539,2229589,2206478,2190814,2181310,2192882,2230331,2284948,2341874,2402456,2456333,2496299,2524902,2554277,2584852,2594652,2574853,2535305,2493789,2445682,2405974,2383581,2371078,2353156,2334116,2306727,2266255,2217580,2169440,2119042,2075024,2042235,2015988,1987669,1960100,1925382,1879070,1825652,1773441,1720035,1672216,1633961,1601591,1567214,1532124,1495335,1455470,1413051,1369742,1324926,1277987,1228691,1176798,1123904,1071608,1010497,936661,855371,775232,693841,621795,565027,518635,472436,429254,384562,335339,284693,238106,193713,157429,132504,115702,100477,88309,76367,63203,49498,37979,30707,25600,19618,12761,9108,6577,3744,6395
1953,3740841,3732649,3695538,3702725,3575018,3441417,3304164,3165494,3027041,2890439,2760952,2642029,2534092,2433579,2340557,2268113,2222218,2197996,2181077,2170107,2181655,2221159,2279120,2339322,2403468,2459811,2500344,2528269,2557173,2587189,2596506,2576528,2536947,2495072,2446267,2406014,2383395,2370726,2352814,2334578,2305670,2260025,2204298,2149368,2090844,2044818,2019686,2006773,1990790,1976927,1948629,1896803,1830474,1766674,1700686,1645015,1607177,1580342,1550047,1519046,1484231,1442555,1395859,1349070,1301249,1250538,1196519,1139537,1081664,1024055.0000000001,960251,887750,810401,734058,656962,588147,532520,485991,440190,397539,353770,306161,257567.99999999997,212922,170466,136047,112827,97626,84030,73611,63236,51641,39285,29587,24099,19973,15182,9726,6489,3719,6450
1954,3807931,3814680,3790572,3739248,3687415,3571017,3445406,3313244,3177188,3039093,2900811,2769040,2648058,2538100,2434660,2338077,2262617,2214775,2189440,2171264,2158824,2170346,2211908,2273219,2336700,2404415,2463228,2504327,2531572,2560003,2589458,2598292,2578137,2538523,2496288,2446785,2405989,2383143,2370309,2352407,2334977,2304548,2253721,2190935,2129205,2062543.0000000002,2014506,1997045,1997489,1993860,1993726,1971861,1914511,1835252,1759846,1681259,1617723,1580304,1559014,1532807,1505903,1473067,1429578,1378600,1328325,1277495,1223008,1164260,1102181,1039320.9999999999,976392,909892,838732,765333,692795,620003,554426,499943,453282,407878,365760,322917,276926,230391,187692,147176,114627,93115,79516,67555,58887,50082,40061,29055,21181,17478,14336,10738,6686,3679,6477
1955,3900891,3904760,3880678,3831729,3760996,3671561,3566506,3448914,3321868,3188450,3050732,2910788,2776750,2653721,2541754,2435397,2335260,2256790,2207004,2180558,2161124,2147215,2158708,2202326,2266983,2333741,2405023,2466301,2507962,2534522,2562475,2591363,2599712,2579381,2539742,2497153,2446957,2405622,2382552,2369556,2351667,2335045,2303099,2247090,2177241,2108711,2033909,1983865,1974088,1987907,1996651,2010265,1994844,1931971,1839775,1752756,1661562,1590161,1553167,1537432,1515323,1492526,1461675,1416378,1361117,1307360,1253523,1195262,1131787,1064613,996769,928522,859333,789523,720090,651373,582904,520578.99999999994,467250,420460,375463,333884,291974,247610,203144,162398,123832,93160,73362,61371,51047,44134,36901,28459,18807,12761,10847,8689,6287,3641,6468
1956,4010528,3919567,3911490,3880458,3828620,3758120,3672370,3574773,3461180,3331220,3190820,3048157,2903855,2767690,2646122,2537978,2435006,2338108,2263221,2217241,2194528,2178861,2169056,2182323,2224171,2284774,2347617,2414576,2472516,2512745,2539077,2566416,2594656,2602183,2580637,2539584,2495892,2444917,2402740,2378659,2364715,2345808,2327562,2296235,2244315,2180426,2117438,2048851.9999999998,2000812,1986369,1991372,1991846,1996456,1974897,1910910,1820711,1734837,1644860,1573307,1533722,1513851,1488181,1462157,1427907,1379057,1320331,1263205,1205837,1145823,1083257,1018708,953480,888312,821216,751665,681400,612355,543743,481781,429640,384648,341403,301513,261942,220805,180090,142291,107524,81342,63816,52490,43343,37430,31217,23990,15749,10735,8603,6228,3611,6428
1957,4117795,4080940,3934763,3914739,3876777,3822092,3751891,3669903,3579859,3470371,3337611,3190346,3042862,2894327,2756154,2636155,2531935,2432444,2338874,2267641,2225508,2206553,2194670,2188981,2204013,2244050,2300543,2359411,2421983,2476532,2515291,2541371,2568071,2595639,2602336,2579593,2537162,2492404,2440696,2397711,2372642,2357761,2337852,2317997,2287319,2239537,2181670,2124285,2061982,2015992,1996891,1993067,1985263,1980855,1953172,1888127,1800007,1715356,1626677,1555036,1512893,1488900,1459688,1430458,1392835,1340473,1278333,1217885,1157034,1095319,1033718.0000000001,971855,909303,847273,782334,713103,642067,572756,504062,442519,391613,348460,307007,268845,231649,193778,156855,122038,91107,69441,54204,43556,35594,30687,25499,19495,12675,8552,6193,3585,6351
1958,4207412,4147660,4084902,3948444,3916481,3871609,3814098,3744222,3666028,3583568,3478225,3342717,3188647,3036398,2883690,2743564,2625180,2524923,2428949,2338741,2271187,2232917,2217724,2209628,2208055,2224844,2263058,2315419,2370293,2428455,2479593,2516870,2542688,2568738,2595622,2601488,2577557,2533765,2487958,2435536,2391764,2365715,2349903,2328999,2307544,2277525,2233898,2182075,2130312,2074313.9999999998,2030390,2006641,1993993,1977918,1964498,1930704,1864627,1778618,1695222,1607874,1536173,1491488,1463384,1430644,1398219,1357240,1301388,1235857,1172113,1107804,1044410.0000000001,983799,924644,864791,805922,743163,674281,602500,532950,464202,403101,353449,312152,272506,236085,201277,166687,133568,101745,74659,57516,44576,34607,27833,23934,19774,14994,9597,6163,3556,6249
1959,4262716,4190723,4122198.0000000005,4055860,3962296,3918403,3866621,3806286,3736730,3662324,3587440,3486234,3347973,3187096,3030080,2873194,2731109,2614332,2518029,2425566,2338713,2274832,2240420,2228987,2224674,2227215,2245760,2282153,2330388,2381273,2435032,2482764,2518559,2544117,2569519,2595722,2600755,2575637,2530481,2483627,2430488,2385926,2358897,2342156,2320256,2297200,2267840,2228361,2182574,2136428,2086726,2044867,2016472,1995005,1970664,1948238,1908336,1841223,1757321,1675175,1589153,1517388,1470162,1437948,1401680,1366063,1321728,1262384,1193462,1126422,1058653,993580,933955,877502,820343,764631,704048,635509,562984,493193,424386,363725,315326,275880,238038,203355,170934,139619,110301,81471,58226,45603,34955,25666,20079,17188,14053,10498,6520,3512,6135
