Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,823612,660963,551331,487945,464039,472845,507593,561518,627849,699818,785102,891378,939654,894276,791808,697972,591826,537473,570939,657376,729390,804631,840900,811748,740603,679984,622564,565999,515432,471844,425804,372871,356113,394012,465458,533084,607038,652470,649110,614183,584908,553513,527214,513232.99999999994,506303,494772,481977,464592,440125,411634,384197,356232,334021,321025,314149,306767,300120,293033,284227,274437,265683,257565.99999999997,249239,240481,231446,222514,213613,204682,195730,186757,177624,168210,159166,150755,142592,134430,126798,117059,104030,89169,74936,60623,49014,41675,37261,32845,28994,25285,21208,17076,13313,10653,8920,6880,4534,3138,2671,2137,1538,873,1488
1951,893062,788895,650907,556841,501431,479408,484032,508561,555091,621301,697502,783989,889889,937958,892667,790459,696838,590933,536648,569895,655944,727613,802491,838556,809460,738538,678102,620846,564451,514039.99999999994,470583,424678,371906,355134,392757,463762,530962,604452,649536,646033,611091,581772,550343,523972,509838,502710,491000,478017,460511,436030,407585,380176,352243,329989,316826,309701,302074,295169,287826,278779,268756,259752,251374,242776,233737,224414,215197,206022,196797,187518,178206,168781,159140,149845,141130,132669,124266,116388,106759,94363,80472,67202,53922,43182,36400,32341,28305,24917,21647,18034,14331,11080,8884,7421,5706,3740,2538,2041.9999999999998,1473,829,1381
1952,949331,811930,755347,641750,563073,515534.99999999994,495359,495821,510201,549426,615601,696121,783922,889588,937515,892248,790165,696631,590826,536537,569612,655389,726810,801430,837340,808263,737471,677138,619973,563673,513349.00000000006,469964,424130,371446,354638,392037,462701,529566,602695,647494,643842,608838,579435,547930,521447,507143,499810,487906,474719,457069,432539,404103,376685,348745,326416,313069,305687,297806,290635,283025,273728,263460,254193,245544,236665,227333,217711,208198,198737,189207,179589,169927,160198,150320,140762,131728,122959,114305,106172,96639,84856,71913,59585,47316,37428,31191,27481,23818,20888,18050,14897,11616,8868,7132,5936,4544,2953,1906,1374,773,1283
1953,982434,859342,757066,722709,633345,569947,530220,511863,508169,512424.99999999994,544398,610617,695543,784756,890312,938150,892859,790783,697231,591404,537048,569987,655587,726840,801282,837076,807980,737233,676927,619782,563509,513216,469856,424045,371394,354531,391747,462144,528744,601591,646153,642351,607248,577733,546118,519500,505007,497460,485347,471939,454125,429523,401063,373607,345632,323205,309661,302013,293870,286425,278541,268982,258454.99999999997,248917,239986,230815,221181,211247,201428,191672,181824,171858,161834,151791,141663,131832,122471,113384,104469,96071,86624,75443,63435,52035,40765,31717,26017,22652,19358,16882,14473,11774,8913,6666,5388,4458,3386,2169,1262,712,1192
1954,987304,885704,797063,721176,690974,625757,577576,545615,529056,521193,515317,540068,606416,695865,786611,892191,940006,894631,792432,698743,592758,538263,571103,656631,727801,802157,837874,808712,737907,677543,620333,564009,513684.99999999994,470302,424462,371782,354848,391921,462130,528542,601187,645564,641609,606371,576713,544958,518173,503475,495698,483357,469708,451707,427002,398491,370966,342924,320375,306618,298696,290280,282552,274385,264550,253750,243926,234699,225224,215274,205016,194878,184815,174637,164308,153911,143541,133152,123035,113336,103919,94733,86060,76688,66098,55012,44529,34247,26032,20865,17841,14913,12888,10906,8661,6215,4467,3647,2983,2230,1387,654,1106
1955,962770,891329,824630,763342,708134,659677,618638,585686,561492,546724,534670,518621,536145,602673,696733,789086,894776,942604,897112,794710,700811,594586,539908,572671,658189,729326,803647,839307,810050,739125,678646,621317,564893,514501.99999999994,471069,425170,372430,355411,392363,462428,528691,601183,645402,641293,605900,576083,544170,517201,502284,494268,481688,467784,449580,424757,396176,368566,340441,317754,303775,295572,286877,278862,270402,260283.00000000003,249201,239080,229548,219760,209485,198896,188430,178050,167535,156837,146057,135352,124695,114284,104238,94486,85021,76067,66764,56759,46595,37027,27730,20345,15710,13026,10463,8889,7334,5542,3513,2265,1903,1505,1072,604,1022
1956,908069,946065,887138,829670,774704,723277,676402,635090,600523,573799,555872,539733,518544,532734,599068,694927,788582,895576,944271,898746,795719,701503,595230,540031,571570,655510,725137,797736,832865,804948,736510,678221,623031,568178,518376,474762,428817,376308,358100,391789,457401,519359.00000000006,587184,628691,625033,592114,564507,535082,509812,495069,486304,473312,458987,440872,417002,389874,363534,336670,314756,300762,292011,282794,274179,265091,254397,242751,231978,221752,211189,200044,188536,177230,166132,154854,143301,131701,120289,108904,98543,89686,81858,74286,67354,59745,50799,41274,32133.000000000004,23599,17408,13396,10923,8730,7411,6102,4596,2897,1791,1412,1002,561,939
1957,839852,847213,932331,885708,837273,788441,740625,695181,653465,617177,587844,566709,546441,520056.00000000006,530959,597304,695250,790492,899114,948828,903131,799169,704349,597703,541815,572222,654835,723160,794251,828949,802272,736095,679802,626564,573105,523740,479824,433704,381277,361830,392356,453707,511543,574902,613818,610602,580063,554591,527571,503927,489312,479768,466320,451528,433447,410460,384708,359561,333882,312676,298628,289306,279540,270302,260560,249258,237015,225556,214604,203236,191188,178729,166550,154702,142632,130191,117739,105587,93445,83101,75407,69477,63774,58840,52898,44988,36076,27337,19540,14525,11122,8854,7022,5955,4887,3664,2288,1350,954,528,862
1958,768987,814858,841179,919446,885108,845680,802950,758708,714656,672497,634448,602474,578102,553678,522059.99999999994,529679,596095,696225,793144,903500,954278,908367,803371,707859,600742,544110,573410,654766,721845,791490,825783,800323,736347,681999,630664,578551,529582,485325,438987,386599,365891,393274,450408,504161,563098,599454,596679,568500,545145,520515,498480,483979,473644,459727,444452,426387,404263,379868,355894,331380,310866,296752,286848,276524,266654,256247,244327,231473,219318,207629,195445,182482,169058,155996,143387,130508.99999999999,117169,103853,90950,78037,67704,61166,57133,53296,50359,46084,39202,30897,22554,15490,11648,8854,6788,5318,4501,3673,2733,1680,922,502,794
1959,709727,784218,834731,864038,905826,883832,853462,816883,776258,733636,691065,651283,616685,589089,560516,523678,528001,594438,696681,795210,907219,959027,912935,806981,710845,603335,546001,574170,654211,719995,788141,822007,797790,736072,683720,634337,583614,535075,490505,443980,391665,369710,393924,446795,496422,550890,584654,582323,556526,535307,513083.99999999994,492675,478300,467182,452805,437059,419023,397782,374760,351978,328646,308840,294668,284189,273313,262814,251748,239218,225763,212919,200500,187507,173635,159255,145316,131953,118276,104043,89870,76224,62548,52230,46857,44728,42763,41830,39228,33381,25689,17747,11423,8758,6576,4714,3607,3042,2456,1799,1070,481,735
1960,675668,762325,824657,865195,886479,891043,881423,860156,829777,792822,751685,708757,667293,630115,599329,566644,524631,525652,592029,696260,796277,909804,962576,916360,809577,712937,605165,547202,574212,652843,717257,783827,817232,794296,734922,684638,637278,588013,539962,495126,448465,396280,373100,394122,442675,488123,538064,569201,567313,543921,524859,505064,486301,472071,460187,445372,429177,411195,390858,369236,347671,325547,306468,292255,281213,269797,258683,246971,233843,219802,206283,193148,179362,164596,149276,134475,120371,105910,90800,75785,61409,46985,36695,32493.000000000004,32270.000000000004,32182.000000000004,33256,32330,27525,20452,12922,7341,5859,4290,2635,1892,1579,1236,863,459,689
1961,677299,697936,770335,823617,859461,879545,886380,882475,865355,835040,795699,753914,711285,669889,632396,601077,567904,525333,526148,592890,697824,798477,912716,965803,919244,811713,714405,605917,547518,574578,653565,718252,785092,818665,795706,736181,685787,638347,588915,540574,495383,448368,395790,372398,393489,442287,487931,538046,569306,567445,543994,524872,505043,486014,471181,458483,442860,425793,407142,386485,364758,343048,320812,301488,286794,275135,263181,251580,239452,226018,211774,198076,184759,171040,156699,142029,127877,114479,100569,85733,70810,56589,42359,32189.999999999996,28012,27772,28127,28845,27799,23479,17180,10739,6195,4934,3602,2198,1536,1193,828,439,659
1962,707317,762527,718376,776276,820337,851375,870203,879296,881133,868221,838052,796423,754104,711889,670676,632970,601201,567630,524614,525223,592155,697513,798541,913191,966451,919670,811676,713958,605037,546359,573406,652549,717348,784294,817957,795048,735539,685179,637799,588336,539828,494389,447135,394293,370744,391858,440790,486523,536698,568006,566173,542712,523571,503748,484497,469098,455625,439235,421345,402074,381148,359368,337564,315270,295747,280608,268361,255899,243838,231323,217616,203204,189360,175892,162276,148397,134415,120950,108291,94967,80443,65649,51617,37616,27594,23451,23196,23995,24356,23190,19368,13858,8526,5030,3995,2903,1755,1147,792,420,641
1963,750767,773083,793099,737655,780984,815765,841953,859495,870831,878399,869708,839732,795887,753098,711367,670401,632542,600374,566458,523067,523470,590488,696108,797350,912235,965585,918656,810365,712389,603206,544343,571338,650518,715335,782286,815993,793174,733781,683539,636297,586883,538282,492661,445236,392205,368534,389644,438642,484400,534563,565877,564073,540634,521499,501709,482261,466322,452097,434971,416285,396425,375261,353460,331595,309275,289581,274018,261202.99999999997,248251,235749,222867,208908,194348,180380,166782,153288,139889,126616,113857,101954,89235,75043,60400,46575,32823,22962,18862,18591,19833,19836,18554,15235,10522,6302,3859,3051,2202,1309,766,408,633
1964,785885,779481,779127,783574,757024,785826,811360,832715,848979,862552,875838,871355,841567,795500,752237,710978,670251,632232,599661,565395,521620,521818,588933,694832,796306,911444,964894,917808,809204,710953,601489,542431,569377,648606,713448,780413,814167,791431,732139,682003,634889,585514,536812,491004,443404,390178,366383,387490,436557,482346,532502,563824,562049,538631,519501.99999999994,499744,480098,463618,448638,430772,411291,390839,369434,347610,325680,303332,283465,267480,254094,240652,227707,214458,200244,185536,171441,157712,144339,131418,118850,106793,95645,83529,69666,55170,41552,28047,18344,14284,13998,15684,15330,13931,11111,7192,4085,2692,2110,1502,865,408,631
1965,797442,775169,763763,761450,766456,777008,791333,807655,824205,839206,855026,874033,873749,844122,795799,752024,711202,670678,632466,599464,564819,520624,520615,587882,694145,795936,911421,965013,917733,808727,710120,600286,540982,567896,647234,712148,779177,812998,790320,731074,680996,633962,584582,535743,489717,441907,388451,364516,385630,434797,480643,530825,562175,560431,537020,517885.99999999994,498151,478295,461259,445513,426892,406597,385538,363877,342015,320005,297613,277561,261140,247176,233236,219840,206213,191735,176868,162637,148766,135503,123050,111178,99814,89409,77886,64343,49986,36565,23297,13746,9725,9423,11550,10839,9324,7002,3874,1873,1528,1172,803,422,632
1966,777593,788659,774079,767702,768156,774070,783743,795468,809548,825281,840297,855282,872930,871551,841312,792700,748579,707427,666634,628199,595027,560272,516008.00000000006,516033,583462,689975,792062,907937,961768,914458,805287,706544,596476,537382,565213,645865,711982,780261,814775,791900,731869,681100,633385,583275,533712,487006,438448,384087,359818,381489,431738,478576,529861,561681,559365,534722,514461,493518,472745,455333,439541,420770,400338,378955,356651,333961,311214,288136,267495,250642,236385,222168,208489,194866,180801,166604,153084,140077,127354,114879,102673,91077,80368,69077,56619,43865,31617,19900,11982,8525,8082.000000000001,9746,9120,7823,5859,3225,1668,1290,885,454,632
