Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,468048.0,444660.0,423899.0,405621.99999999994,389681.99999999994,375935.0,364235.0,354438.00000000006,346399.0,339973.0,335140.0,331879.0,329421.0,327371.0,325960.0,325762.0,326605.0,328486.0,331440.0,335363.00000000006,339353.0,342676.99999999994,348876.0,359323.00000000006,371836.0,384096.0,398056.99999999994,403661.0,396144.0,380753.00000000006,366540.0,350549.00000000006,343001.0,349529.0,364786.0,377972.0,391461.0,400825.0,402842.0,399960.0,397923.0,395674.00000000006,392775.0,389611.0,386051.99999999994,381635.99999999994,376518.0,370991.0,365176.0,359082.0,352648.0,345952.0,339069.0,332056.0,324962.99999999994,317725.0,310276.0,303263.0,296975.0,291110.0,285010.0,278730.0,272323.0,265726.0,258870.99999999997,251749.00000000003,244349.00000000003,236327.0,227505.99999999997,217989.0,208222.0,198315.99999999997,187321.0,174872.0,161491.0,148143.0,134728.99999999997,121685.0,109357.99999999999,97648.0,86148.0,74986.0,64526.00000000001,54924.0,46141.99999999999,37921.0,30237.0,23682.0,18498.0,14418.0,10290.0,7414.0,5947.0,4273.0,2393.0000000000005,1351.0,1115.0,855.0,570.0,262.0,265.0
1951,378448.00000000006,458892.0,440334.0,422764.0,406296.99999999994,391050.0,376885.99999999994,363668.0,352784.0,344859.00000000006,339249.0,334668.0,331361.99999999994,328814.0,326632.0,325060.0,324677.0,325305.0,327014.0,329876.99999999994,333756.99999999994,337691.99999999994,340968.0,347086.0,357397.0,369741.99999999994,381847.0,395652.0,401145.99999999994,393592.0,378210.0,363999.0,348010.0,340460.0,346975.0,362209.0,375379.0,388866.0,398176.99999999994,400059.0,396995.0,394779.0,392325.0,389313.00000000006,386188.00000000006,382756.0,378445.99999999994,373455.0,367936.0,361936.99999999994,355540.0,348819.0,341808.00000000006,334709.0,327647.0,320605.0,313378.0,305930.0,298849.0,292383.0,286259.0,279901.0,273356.0,266632.0,259649.99999999997,252367.00000000003,244821.0,237012.0,228559.00000000003,219278.0,209302.00000000003,199110.0,188805.0,177537.0,164995.99999999997,151662.0,138407.0,125149.0,112320.0,100252.99999999999,88857.99999999999,77725.0,66955.0,57033.0,48166.00000000001,40241.0,32751.999999999996,25974.0,20384.0,15835.0,12114.0,8557.0,6202.000000000001,4965.0,3557.0,1979.0,1183.0,907.9999999999999,607.0,280.0,288.00000000000006
1952,322384.0,365974.0,451345.0,437553.00000000006,423110.0,408395.0,393788.0,379159.0,364375.0,352365.0,344528.0,339713.0,335370.0,332006.99999999994,329359.00000000006,327038.0,325299.00000000006,324731.0,325145.99999999994,326690.0,329470.0,333320.99999999994,337215.0,340455.0,346514.0,356724.0,368944.0,380938.00000000006,394634.0,400038.0,392420.0,376993.00000000006,362734.00000000006,346690.0,339111.99999999994,345638.00000000006,360903.0,374102.0,387635.99999999994,396925.0,398678.00000000006,395423.0,393019.0,390351.0,387217.0,384119.0,380801.0,376584.0,371700.99999999994,366171.0,359967.0,353245.0,346214.0,338864.00000000006,331523.0,324388.0,317371.0,310130.0,302657.0,295484.00000000006,288816.0,282412.00000000006,275774.0,268942.0,261875.0,254485.0,246748.0,238753.0,230507.0,221593.0,211820.0,201349.00000000003,190697.99999999997,179956.0,168375.99999999997,155700.0,142367.00000000003,129157.00000000001,116010.0,103350.0,91501.0,80380.0,69576.00000000001,59160.0,49741.00000000001,41578.0,34483.00000000001,27699.0,21802.0,17158.0,13228.0,9853.0,6855.0,5011.0,4000.0,2853.9999999999995,1571.9999999999998,952.0000000000001,637.0,296.00000000000006,311.0
1953,293597.0,349230.0,389994.0,443510.0,434504.0,423205.99999999994,410256.99999999994,396301.0,381212.0,364868.00000000006,351736.99999999994,343991.0,339977.0,335875.0,332457.0,329710.0,327251.0,325346.0,324591.0,324793.0,326170.0,328866.99999999994,332686.0,336536.0,339736.99999999994,345733.0,355837.0,367925.0,379799.00000000006,393379.0,398689.0,391010.99999999994,375549.00000000006,361250.0,345161.0,337560.0,344092.0,359378.00000000006,372599.0,386171.0,395433.00000000006,397056.99999999994,393611.0,391020.99999999994,388140.0,384884.0,381816.99999999994,378615.0,374491.99999999994,369722.0,364184.0,357778.0,350734.00000000006,343395.0,335710.0,328131.0,320926.0,313940.0,306689.0,299195.0,291933.0,285068.0,278387.0,271472.0,264355.0,256950.0,249155.0,240968.0,232525.99999999997,223847.99999999997,214477.0,204214.00000000003,193255.0,182149.0,170976.0,159090.0,146285.0,132961.0,119805.0,106776.00000000001,94294.0,82670.0,71831.0,61363.0,51309.0,42398.99999999999,34946.99999999999,28688.000000000004,22615.0,17605.999999999996,13912.0,10606.0,7580.0,5144.0,3813.9999999999995,3031.0,2147.0,1163.0,665.0,311.0,332.0
1954,287337.99999999994,342976.0,384245.0,412667.0,435071.99999999994,430869.0,422734.00000000006,411570.0,398283.0,382756.0,364871.0,350635.0,342991.99999999994,339785.0,335929.00000000006,332460.0,329620.0,327024.0,324957.0,324015.99999999994,324003.0,325212.0,327820.99999999994,331603.0,335405.0,338563.00000000006,344489.00000000006,354472.0,366412.0,378150.0,391596.0,396803.00000000006,389075.99999999994,373600.0,359280.0,343167.0,335553.00000000006,342083.0,357369.0,370595.0,384186.99999999994,393409.0,394902.0,391269.0,388496.0,385406.0,382033.0,379000.0,375919.00000000006,371895.99999999994,367245.0,361705.99999999994,355106.0,347749.0,340113.00000000006,332102.0,324296.0,317032.0,310085.0,302832.99999999994,295328.0,287988.0,280934.0,273985.0,266801.0,259409.0,251675.0,243485.0,234858.0,225982.0,216882.0,207065.99999999997,196329.0,184895.0,173347.99999999997,161759.0,149582.0,136666.0,123369.0,110283.99999999999,97391.0,85103.0,73720.0,63178.99999999999,53061.00000000001,43381.0,34994.0,28263.0,22849.0,17497.0,13382.0,10645.999999999998,7968.0,5295.0,3425.0,2611.0,2056.0,1436.0,752.0,325.0,353.0
1955,299149.0,345066.0,379588.0,403880.0,419109.00000000006,426439.0,427035.0,422063.00000000006,412689.0,400077.0,384118.00000000006,364704.0,349371.0,341833.0,339433.00000000006,335825.0,332308.00000000006,329374.0,326645.0,324415.0,323289.0,323063.0,324102.00000000006,326623.0,330366.0,334116.99999999994,337232.0,343083.0,352941.0,364728.0,376324.0,389630.0,394734.00000000006,386961.0,371477.0,357143.0,341014.0,333390.0,339915.0,355195.0,368419.00000000006,382024.0,391203.00000000006,392563.00000000006,388746.0,385791.0,382494.0,379006.0,376008.00000000006,373050.0,369128.00000000006,364598.0,359061.0,352270.99999999994,344605.0,336674.00000000006,328342.0,320312.0,312992.0,306087.99999999994,298839.0,291327.0,283911.0,276673.0,269459.0,262010.0,254347.0,246287.99999999997,237707.0,228645.0,219338.0,209821.0,199565.99999999997,188359.0,176455.0,164475.0,152475.0,140013.0,126992.0,113728.0,100720.0,87969.0,75882.0,64745.00000000001,54505.0,44742.0,35441.0,27580.0,21572.0,17005.0,12376.0,9156.0,7377.000000000001,5327.999999999999,3009.0,1705.0,1408.0000000000002,1081.0,726.0,341.0,373.0
1956,325127.0,310462.99999999994,347818.00000000006,377004.0,398654.0,413398.0,422389.0,426777.0,424597.0,415441.99999999994,401501.0,385267.0,366114.00000000006,350959.0,343467.0,341019.0,337360.0,333780.0,330741.99999999994,327866.0,325459.0,324143.0,323715.0,324552.0,326879.0,330436.99999999994,334010.0,336958.0,342665.0,352409.0,364111.0,375626.99999999994,388834.0,393955.0,386366.0,371161.0,357094.0,341260.0,333768.0,340163.0,355145.99999999994,368094.0,381398.0,390350.0,391621.0,387801.0,384808.00000000006,381464.0,377895.0,374756.99999999994,371620.0,367520.99999999994,362801.0,357082.0,350129.0,342306.0,334199.0,325675.0,317426.0,309851.0,302662.00000000006,295111.0,287278.0,279515.0,271900.0,264283.0,256430.99999999997,248386.0,239858.0,230675.0,220947.0,211016.0,200894.0,190171.0,178701.0,166692.99999999997,154652.00000000003,142661.0,130281.0,117405.0,104360.0,91636.00000000001,79200.0,67618.0,57246.0,47937.0,38939.0,30631.999999999996,23899.0,18590.999999999996,14376.0,10357.999999999998,7702.999999999999,6193.0,4459.0,2501.0,1482.0,1139.0,765.9999999999999,360.0,395.0
1957,358861.0,367444.0,321047.0,349740.0,373515.0,392466.0,406691.0,417323.00000000006,425496.0,426116.99999999994,417203.00000000006,401966.0,385495.0,366650.0,351709.0,344281.0,341789.0,338089.0,334454.0,331320.0,328304.00000000006,325725.0,324221.0,323592.0,324225.0,326352.00000000006,329717.0,333104.00000000006,335876.99999999994,341426.99999999994,351031.0,362621.0,374029.0,387107.0,392231.0,384845.0,369957.0,356190.0,340689.0,333347.0,339597.0,354246.0,366886.99999999994,379858.0,388561.0,389741.0,385926.0,382902.0,379519.0,375876.99999999994,372608.0,369299.00000000006,365031.0,360133.00000000006,354245.0,347145.99999999994,339185.0,330920.0,322224.0,313776.0,305964.0,298507.0,290672.0,282537.00000000006,274444.0,266471.0,258468.00000000003,250231.0,241824.0,232845.0,223083.0,212710.0,202179.0,191476.0,180309.00000000003,168605.0,156520.0,144447.0,132493.0,120223.99999999999,107525.0,94731.00000000001,82322.0,70230.0,59183.0,49602.0,41246.0,33035.0,25744.0,20156.0,15561.0,11710.0,8314.0,6230.0,4994.0,3578.9999999999995,1986.9999999999998,1202.0,807.9999999999999,381.0,417.00000000000006
1958,395980.0,383298.0,375426.0,331435.0,351467.0,369825.99999999994,386074.0,399770.99999999994,412036.0,423984.00000000006,427400.0,418732.0,402209.0,385510.99999999994,366983.0,352265.0,344904.0,342371.0,338631.0,334943.00000000006,331714.0,328561.0,325812.0,324121.0,323292.00000000006,323720.0,325645.99999999994,328816.99999999994,332015.0,334614.00000000006,340001.99999999994,349464.0,360935.0,372229.00000000006,385170.0,390295.0,383115.0,368551.0,355091.0,339931.0,332744.0,338844.0,353153.0,365480.0,378111.99999999994,386561.99999999994,387650.0,383842.0,380788.0,377369.0,373657.0,370256.99999999994,366779.0,362345.0,357270.99999999994,351219.0,343978.0,335881.99999999994,327465.0,318603.0,309960.0,301916.0,294195.0,286080.99999999994,277647.99999999994,269232.0,260904.0,252521.0,243905.0,235140.0,225717.0,215382.0,204372.0,193245.99999999997,181968.0,170366.0,158433.0,146279.0,134180.0,122270.0,110120.0,97603.0,85067.0,72979.0,61238.0,50730.0,41943.99999999999,34544.00000000001,27124.000000000004,20850.0,16409.000000000004,12527.999999999998,9041.0,6269.0,4755.0,3793.0,2699.0,1472.0,853.0,402.0,441.0
1959,432298.0,401176.0,379566.99999999994,366240.0,342037.0,353434.0,366399.0,379959.0,393140.0,407043.0,422768.0,428976.0,420548.0,402730.0,385794.00000000006,367570.0,353064.0,345765.0,343188.00000000006,339406.0,335664.0,332338.0,329045.0,326124.0,324246.0,323216.0,323440.0,325167.00000000006,328147.0,331159.0,333584.0,338816.0,348140.0,359501.99999999994,370689.0,383503.00000000006,388633.00000000006,381653.0,367403.0,354240.0,339410.0,332371.99999999994,338328.00000000006,352306.99999999994,364329.0,376630.0,384833.0,385830.99999999994,382027.0,378941.99999999994,375484.00000000006,371699.0,368167.0,364517.0,359914.0,354662.0,348441.0,341051.99999999994,332818.00000000006,324243.0,315207.99999999994,306365.0,298084.0,290094.0,281695.99999999994,272960.0,264214.0,255528.0,246759.0,237757.99999999997,228629.00000000003,218757.0,207840.99999999997,196188.0,184460.99999999997,172602.0,160557.00000000003,148387.0,136155.0,124022.0,112149.0,100107.00000000001,87765.0,75478.00000000001,63702.0,52302.0,42326.0,34327.0,27877.0,21241.0,15978.0,12679.0,9508.0,6382.999999999999,4231.0,3286.0,2597.0,1821.0,959.0000000000001,425.0,467.0
