Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,496900.0,468448.00000000006,444059.0,423358.0,405971.0,391522.0,379635.99999999994,369938.00000000006,362053.00000000006,355605.0,351087.0,348989.00000000006,344605.0,335827.0,324879.0,315782.0,307358.0,303241.0,305526.0,312298.0,318670.0,324566.0,333316.0,345746.99999999994,359844.0,374108.0,390450.99999999994,397454.0,389793.0,373256.0,358006.99999999994,340881.99999999994,332434.0,338577.0,353796.0,366711.0,379661.0,389010.99999999994,391827.0,390152.0,389030.0,387535.0,384644.0,380378.00000000006,374836.0,368380.0,361275.0,352500.0,341695.99999999994,329571.99999999994,317209.0,304397.99999999994,292586.0,282609.00000000006,273920.0,265015.0,256046.0,247950.0,240998.0,234801.0,228682.00000000003,222753.0,216499.00000000003,209587.00000000003,202206.0,194852.99999999997,187405.0,179736.0,171825.0,163653.0,155317.99999999997,146922.0,137840.0,127809.0,117171.0,106661.0,96291.0,85883.0,75473.99999999999,65257.99999999999,55367.0,45745.0,37275.0,30401.0,24787.0,19570.999999999996,14835.0,10964.0,8032.999999999999,5865.0,3878.9999999999995,2694.0,2108.0,1459.0,746.0,359.0,292.0,220.0,143.00000000000003,61.0,50.0
1951,400950.0,485611.99999999994,462953.00000000006,442336.0,423705.99999999994,407008.00000000006,391931.0,378167.0,366935.0,358689.0,352609.00000000006,347821.99999999994,344982.0,340484.00000000006,332600.0,323149.0,315406.0,308385.0,305150.0,307447.0,313656.0,319549.00000000006,324948.0,333149.0,345036.0,358597.0,372264.0,387941.99999999994,394450.99999999994,386575.99999999994,370006.0,354703.00000000006,337543.0,329029.0,335031.0,350064.0,362838.0,375695.0,384895.0,387468.0,385510.0,384109.00000000006,382274.0,379301.0,375355.0,370363.00000000006,364411.0,357871.99999999994,349292.0,338080.99999999994,325177.0,312086.0,298485.0,286120.0,276008.0,267441.0,258584.0,249674.0,241491.0,234199.0,227507.99999999997,220940.0,214563.0,207926.0,200745.99999999997,193173.0,185636.0,178040.0,170197.99999999997,162055.0,153636.0,145117.00000000003,136580.0,127482.99999999999,117613.99999999999,107277.0,97103.0,87105.0,77185.0,67403.0,57911.0,48763.00000000001,39902.0,32186.999999999996,26037.0,21110.0,16511.0,12462.0,9238.0,6747.999999999999,4852.0,3177.0,2215.9999999999995,1732.0,1197.0,609.0,301.0,226.99999999999997,148.00000000000003,64.0,52.00000000000001
1952,340527.0,384477.0,476723.0,459736.99999999994,442784.0,426130.0,410038.0,394261.99999999994,378555.0,365735.0,357088.0,351346.0,346267.0,342671.99999999994,338039.0,331009.0,323006.0,316575.99999999994,310922.0,308551.0,310873.0,316548.0,321992.0,326922.0,334615.0,346018.0,359110.0,372246.0,387338.0,393386.99999999994,385259.0,368575.0,353143.0,335864.00000000006,327242.0,333134.0,348053.00000000006,360749.0,373577.0,382673.0,385015.0,382764.0,381078.00000000006,378894.0,375824.0,372180.0,367713.0,362234.00000000006,356230.0,347801.0,336130.0,322383.0,308501.0,294045.0,281067.0,270770.99999999994,262282.0,253430.0,244535.0,236225.0,228560.0,221342.0,214292.0,207438.0,200386.0,192902.00000000003,185102.0,177344.00000000003,169563.0,161509.0,153094.0,144388.0,135644.0,126922.99999999999,117767.99999999999,108012.99999999999,97925.0,88036.0,78360.0,68878.99999999999,59675.0,50860.0,42407.0,34264.0,27265.0,21807.0,17543.0,13537.0,10152.999999999998,7560.0,5499.0,3864.0,2492.0,1750.0,1365.9999999999998,941.0,475.0,234.0,152.0,66.0,54.00000000000001
1953,309095.0,366825.0,409108.0,467735.0,456443.00000000006,443169.00000000006,428500.0,413018.0,396542.0,378889.0,364479.00000000006,355431.0,350028.0,344657.0,340305.0,335537.0,329365.0,322815.0,317704.0,313423.0,311918.0,314264.0,319405.0,324397.0,328856.0,336037.0,346952.0,359573.00000000006,372175.0,386675.0,392261.99999999994,383881.0,367085.0,351526.0,334130.0,325402.0,331181.99999999994,345986.0,358601.0,371397.0,380386.99999999994,382498.00000000006,379954.0,377981.0,375448.00000000006,372282.0,368941.0,365000.0,359998.00000000006,354530.0,346255.0,334123.00000000006,319532.0,304859.00000000006,289547.0,275955.99999999994,265477.00000000006,257070.0,248222.99999999997,239345.0,230909.00000000003,222869.00000000003,215124.00000000003,207593.0,200260.0,192793.0,185005.99999999997,176979.0,168999.00000000003,161034.0,152768.0,144082.0,135089.0,126120.0,117217.00000000001,108005.0,98365.0,88527.99999999999,78926.99999999999,69576.00000000001,60536.0,51913.99999999999,43778.0,36025.99999999999,28603.0,22324.0,17560.0,13962.0,10552.0,7835.0,5876.0,4245.0,2872.0,1804.0,1281.9999999999998,997.0,684.0,341.0,157.0,68.0,55.99999999999999
1954,301938.0,360452.0,403796.0,433556.99999999994,458131.0,452556.99999999994,442986.0,430323.00000000006,415473.0,398316.0,378736.0,362751.99999999994,353314.0,348258.00000000006,342601.0,337496.0,332600.0,327294.00000000006,322209.0,318426.0,315524.0,314890.99999999994,317258.0,321855.0,326389.0,330370.0,337030.0,347441.99999999994,359574.0,371625.0,385515.0,390631.0,382008.00000000006,365121.0,349455.0,331964.0,323140.99999999994,328800.0,343470.0,355989.00000000006,368736.0,377608.0,379485.0,376651.0,374394.0,371514.0,368256.0,365221.0,361814.0,357296.0,352371.99999999994,344260.99999999994,331684.0,316267.0,300820.0,284670.0,270482.0,259832.99999999997,251517.0,242688.0,233838.0,225285.99999999997,216882.0,208619.00000000003,200614.0,192812.0,184938.0,176857.0,168613.0,160422.0,152283.0,143816.0,134869.0,125601.0,116417.0,107342.99999999999,98085.0,88573.0,79001.0,69701.00000000001,60687.0,52101.00000000001,44073.0,36628.0,29586.0,22895.0,17345.0,13284.0,10356.0,7547.999999999999,5502.999999999999,4181.0,2983.0,1876.0,1112.0,812.0,627.0,426.0,207.0,70.0,57.99999999999999
1955,314574.0,363142.0,399577.0,425103.0,440945.0,448327.0,448474.0,442610.0,431960.0,417746.99999999994,399918.0,378419.00000000006,360866.99999999994,351043.0,346337.0,340395.99999999994,334541.0,329518.0,325080.99999999994,321462.99999999994,319009.0,317489.00000000006,317727.00000000006,320114.00000000006,324166.0,328239.00000000006,331740.0,337876.99999999994,347781.0,359419.00000000006,370914.0,384186.99999999994,388830.99999999994,379969.0,362999.0,347232.0,329653.0,320739.00000000006,326276.0,340805.0,353221.0,365916.0,374666.0,376306.99999999994,373185.0,370644.0,367419.00000000006,364069.0,361343.0,358470.0,354438.00000000006,350061.0,342116.99999999994,329101.0,312864.00000000006,296650.0,279669.00000000006,264890.0,254076.0,245855.0,237047.0,228229.0,219565.0,210800.0,202023.0,193549.0,185280.0,177003.0,168632.0,160174.0,151775.0,143465.0,134801.00000000003,125597.00000000001,116058.0,106664.0,97422.00000000001,88122.99999999999,78743.0,69440.0,60443.99999999999,51771.0,43641.99999999999,36211.99999999999,29462.0,23134.0,17177.0,12359.000000000002,9001.0,6746.0,4540.0,3168.9999999999995,2484.0,1720.0,878.0,420.0,341.0,257.0,166.99999999999997,72.00000000000001,60.0
1956,342723.0,326476.0,365999.0,396825.0,419601.0,434978.0,444181.0,448438.00000000006,445501.0,434861.0,418903.0,400494.0,379028.0,361431.0,351443.00000000006,346525.0,340374.0,334224.0,329270.0,325469.0,322813.0,321247.0,320676.0,321407.0,323550.0,326885.0,330315.0,333149.0,338722.0,348290.0,359750.0,370999.0,383968.0,388478.0,379732.0,363024.0,347506.0,330221.0,321390.99999999994,326671.0,340725.0,352700.0,364921.99999999994,373306.0,374776.0,371598.0,368959.0,365633.00000000006,362111.99999999994,359099.0,355863.00000000006,351480.0,346741.0,338466.0,325177.0,308700.99999999994,292235.0,275005.0,259939.00000000003,248777.00000000003,240172.0,230991.0,221805.0,212798.0,203731.0,194683.0,185957.0,177470.0,168958.0,160312.0,151576.0,142946.0,134438.0,125690.0,116561.0,107221.0,98062.00000000001,89107.00000000001,80148.0,71157.0,62290.0,53763.99999999999,45568.99999999999,38019.0,31304.000000000004,25344.0,19694.000000000004,14530.999999999998,10505.0,7631.0,5622.999999999999,3746.0000000000005,2628.0,2057.0,1422.0,722.0,356.00000000000006,268.0,175.0,75.0,63.0
1957,379352.0,387815.0,337496.0,367855.0,392981.0,412944.0,427811.0,438811.99999999994,447171.99999999994,447174.00000000006,436574.0,418911.0,399973.0,378598.0,361005.0,350881.0,345763.00000000006,339418.0,332991.0,328119.0,324965.0,323278.0,322606.0,322988.0,324210.0,326104.00000000006,328710.0,331488.00000000006,333645.0,338639.0,347845.0,359095.0,370066.99999999994,382696.99999999994,387061.0,378454.0,362055.0,346828.00000000006,329883.00000000006,321163.0,326170.0,339711.0,351211.0,362926.99999999994,370921.0,372215.0,368990.0,366260.0,362842.0,359160.0,355866.99999999994,352278.0,347555.0,342467.0,333883.00000000006,320357.0,303687.0,287014.0,269580.99999999994,254269.0,242789.00000000003,233822.99999999997,224296.0,214765.0,205439.00000000003,196095.0,186802.00000000003,177845.99999999997,169164.00000000003,160441.0,151543.99999999997,142552.00000000003,133715.0,125031.0,116223.99999999999,107196.0,98080.0,89182.0,80536.99999999999,71945.0,63368.0,54961.99999999999,46928.99999999999,39235.0,32284.999999999996,26304.000000000004,21151.999999999996,16195.999999999998,11842.0,8621.0,6239.0,4482.0,2941.9999999999995,2078.0000000000005,1624.0,1119.0,565.0,281.0,183.0,79.0,66.0
1958,419496.0,404928.00000000006,395723.0,348298.0,369496.99999999994,388921.0,406063.00000000006,420415.0,433203.00000000006,445652.0,448587.0,438031.0,418679.00000000006,399223.0,377950.99999999994,360371.99999999994,350118.00000000006,344805.0,338270.0,331569.0,326783.0,324275.0,323557.0,323777.0,325109.00000000006,326820.99999999994,328464.0,330342.0,332468.0,333948.00000000006,338361.0,347200.99999999994,358235.0,368925.0,381209.0,385424.00000000006,376962.0,360879.0,345952.0,329357.0,320751.0,325483.0,338504.0,349524.0,360728.0,368329.0,369445.99999999994,366176.99999999994,363357.0,359850.0,356008.00000000006,352438.00000000006,348498.00000000006,343439.0,338005.0,329119.0,315365.0,298510.0,281639.0,264015.0,248465.99999999997,236676.0,227355.0,217486.0,207617.00000000003,197977.99999999997,188363.0,178830.0,169652.00000000003,160780.0,151850.0,142708.0,133466.0,124428.0,115574.0,106712.0,97790.0,88902.99999999999,80271.0,71941.0,63718.99999999999,55559.0,47618.0,40080.99999999999,32891.99999999999,26545.0,21300.0,16957.0,12697.000000000002,9152.999999999998,6735.0,4846.0,3341.0,2137.0,1529.0000000000002,1190.9999999999998,817.0000000000001,407.0,193.0,83.0,70.0
1959,458296.0,423936.99999999994,400034.0,385221.0,359407.0,371482.0,385233.0,399575.99999999994,413426.99999999994,428010.0,444553.00000000006,450418.0,439898.0,418841.0,398849.0,377661.0,360079.0,349684.0,344171.99999999994,337441.99999999994,330461.0,325755.0,323890.99999999994,324140.0,325250.0,327531.0,329733.0,331128.00000000006,332282.0,333759.0,334565.0,338402.0,346885.0,357713.0,368131.0,380080.99999999994,384152.0,375825.99999999994,360045.0,345402.0,329140.99999999994,320640.0,325102.00000000006,337616.99999999994,348168.0,358871.99999999994,366087.0,367029.0,363712.0,360800.0,357200.0,353196.99999999994,349346.0,345051.99999999994,339653.0,333869.0,324672.0,310677.0,293623.0,276539.0,258707.0,242907.0,230795.0,221111.0,210893.0,200678.0,190717.0,180822.0,171041.0,161631.0,152562.0,143417.0,134022.00000000003,124523.0,115274.0,106242.0,97317.0,88493.0,79826.00000000001,71450.0,63428.00000000001,55567.0,47817.0,40333.0,33284.0,26592.0,20840.999999999996,16326.0,12786.0,9216.000000000002,6477.0,4860.0,3460.0,2206.0,1335.9999999999998,982.0,760.0,515.0,250.0,88.00000000000001,74.00000000000001
1960,491267.0,443639.0,409455.0,387051.0,374765.99999999994,370936.0,373899.0,381991.99999999994,393551.99999999994,406917.0,423314.0,443971.0,452773.0,442276.0,419489.00000000006,398938.00000000006,377809.0,360204.0,349658.0,343938.00000000006,337005.0,329736.99999999994,325106.0,323884.0,325099.0,327101.0,330334.0,333030.0,334178.00000000006,334608.0,335436.99999999994,335570.0,338836.0,346971.0,357606.0,367765.0,379395.0,383325.0,375126.0,359628.00000000006,345254.0,329306.99999999994,320902.0,325100.0,337123.00000000006,347216.0,357431.99999999994,364270.0,365037.0,361669.00000000006,358663.0,354965.0,350794.00000000006,346659.0,342006.0,336260.99999999994,330120.0,320601.0,306349.0,289075.0,271759.0,253697.99999999997,237629.00000000003,225182.00000000003,215123.0,204543.0,193970.0,183676.0,173489.0,163448.99999999997,153796.0,144519.0,135149.0,125488.99999999999,115721.0,106252.00000000001,97031.0,88032.99999999999,79297.0,70839.0,62711.00000000001,54986.00000000001,47478.0,40128.0,33092.0,26524.0,20320.999999999996,15160.0,11369.000000000002,8628.0,5745.0,3807.0,2990.0,2078.0000000000005,1073.0,536.0,436.0,328.99999999999994,215.0,93.00000000000001,79.0
1961,513743.00000000006,481461.0,440650.0,410818.00000000006,390696.99999999994,379020.99999999994,374157.0,374469.0,380532.0,391814.0,405945.99999999994,422333.0,442587.0,451048.0,440321.99999999994,417413.0,396723.0,375378.00000000006,357935.0,348115.0,343449.0,337523.0,331352.0,327329.0,325919.00000000006,326441.0,327824.0,330375.0,332599.0,333673.0,334275.0,335186.0,335385.0,338639.0,346621.99999999994,357018.0,366964.0,378385.99999999994,382118.00000000006,373741.99999999994,358083.0,343532.0,327387.0,318834.0,322962.99999999994,334959.0,345000.0,355151.0,361854.00000000006,362381.99999999994,358694.0,355365.0,351349.0,346761.99999999994,342078.00000000006,336798.0,330434.0,323664.0,313605.0,298959.0,281397.0,263794.00000000006,245463.0,229175.0,216567.99999999997,206396.0,195736.0,185124.00000000003,174780.99999999997,164507.99999999997,154370.0,144662.99999999997,135367.00000000003,126025.0,116451.00000000001,106823.0,97530.0,88526.00000000001,79803.0,71406.0,63347.0,55643.0,48347.0,41383.99999999999,34736.0,28494.0,22607.0,17209.0,12885.0,9627.0,7178.0,4733.000000000001,3158.0,2477.0,1718.0000000000002,883.0,460.0,347.00000000000006,226.0,99.0,84.0
1962,526353.0000000001,477905.0,472355.0,438296.99999999994,412770.0,394900.0,383816.99999999994,377912.0,375577.0,379620.0,390640.99999999994,405560.0,421961.0,441841.0,449973.0,439003.00000000006,415940.0,395080.0,373489.00000000006,356183.00000000006,347075.0,343454.0,338525.0,333441.0,330020.0,328421.0,328251.0,329017.0,330890.99999999994,332647.0,333650.0,334423.0,335417.0,335681.0,338928.00000000006,346772.0,356944.0,366691.0,377923.0,381461.0,372895.99999999994,357053.00000000006,342305.0,325940.0,317227.00000000006,321293.0,333279.0,343281.0,353381.99999999994,359960.0,360251.0,356238.00000000006,352582.0,348241.0,343231.0,337991.99999999994,332078.00000000006,325087.0,317680.0,307067.0,292006.0,274131.0,256214.99999999997,237588.0,221059.00000000003,208275.0,197974.00000000003,187218.0,176553.0,166146.0,155771.00000000003,145522.00000000003,135747.0,126417.99999999999,117090.0,107588.0,98086.0,88956.0,80156.0,71695.0,63625.0,55953.99999999999,48662.0,41784.0,35355.0,29399.0,23941.999999999996,18725.0,14124.0,10630.999999999998,7900.0,5740.0,3728.9999999999995,2515.0,1968.0000000000002,1361.0,694.0000000000001,366.0,239.0,104.00000000000001,90.0
1963,530146.0,491588.0,460556.0,463556.0,436236.0,415001.99999999994,399375.0,388876.99999999994,381926.0,376939.0,378963.0,389730.0,405446.99999999994,421871.0,441390.99999999994,449199.0,437978.0,414745.0,393700.0,371849.0,354669.00000000006,346267.0,343690.0,339756.99999999994,335758.00000000006,332936.0,331145.99999999994,330284.0,330433.00000000006,331630.0,332919.00000000006,333850.0,334796.0,335873.00000000006,336204.0,339445.99999999994,347156.0,357110.0,366665.0,377713.0,381060.0,372299.00000000006,356261.99999999994,341308.00000000006,324709.0,315830.0,319837.0,331820.99999999994,341792.0,351848.0,358306.99999999994,358359.00000000006,354018.0,350033.0,345363.00000000006,339926.99999999994,334129.0,327575.99999999994,319953.0,311902.0,300727.00000000006,285241.0,267040.0,248800.0,229863.0,213082.0,200111.0,189675.0,178815.99999999997,168090.0,157612.0,147129.0,136761.0,126911.0,117544.0,108223.0,98787.0,89404.0,80432.0,71830.0,63625.0,55876.99999999999,48589.0,41705.0,35242.0,29342.0,24075.0,19400.0,14852.0,11045.0,8381.0,6176.0,4303.0,2726.0000000000005,1872.0,1460.0,1004.0,505.0,254.0,111.0,96.99999999999999
1964,527557.0,501138.00000000006,477953.00000000006,457866.0,454520.99999999994,433961.0,417036.0,403662.0,393756.0,385760.99999999994,378120.0,378121.0,388628.00000000006,405135.99999999994,421577.0,440727.0,448205.99999999994,436739.00000000006,413347.0,392128.00000000006,370027.0,352980.0,345290.0,343760.0,340825.0,337915.0,335695.0,333715.0,332160.0,331691.0,332209.0,333030.0,333889.0,335008.00000000006,336168.0,336565.0,339800.0,347371.99999999994,357103.0,366461.0,377320.0,380474.0,371522.0,355298.0,340144.0,323320.0,314279.0,318225.0,330200.99999999994,340134.0,350143.0,356478.0,356291.0,351624.0,347310.0,342315.0,336455.0,330099.0,322909.0,314657.0,305965.0,294233.0,278329.0,259810.0,241255.0,222017.0,204991.0,191839.00000000003,181272.00000000003,170315.99999999997,159535.0,148990.0,138404.0,127922.00000000001,118002.00000000001,108600.0,99292.0,89926.0,80668.0,71858.0,63458.0,55513.00000000001,48092.0,41190.0,34719.0,28673.0,23307.0,18732.0,14843.0,10966.0,7957.000000000001,6124.0,4447.0,2863.0,1720.9999999999998,1227.0,950.0,647.0,316.0,118.00000000000001,105.0
1965,520769.0,505765.99999999994,490384.0,474934.0,459728.0,445079.0,431296.99999999994,418695.99999999994,407587.0,398282.0,389250.0,378963.0,376940.0,387178.00000000006,404463.0,420906.0,439668.0,446811.99999999994,435109.00000000006,411579.0,390205.0,367871.99999999994,350976.0,344003.00000000006,343522.0,341588.0,339769.0,338153.0,335985.0,333738.00000000006,332651.0,332491.0,332843.0,333629.0,334919.00000000006,336161.0,336623.00000000006,339850.0,347276.0,356776.0,365928.00000000006,376589.0,379546.99999999994,370412.0,354015.0,338675.0,321640.99999999994,312447.0,316327.0,328285.0,338171.99999999994,348123.00000000006,354329.0,353904.0,348915.0,344276.0,338959.0,332680.0,325772.99999999994,317953.0,309078.0,299754.0,287476.0,271168.0,252347.0,233493.0,213972.0,196715.99999999997,183396.0,172708.0,161662.99999999997,150836.0,140235.0,129555.0,118967.99999999999,108987.00000000001,99559.0,90271.0,80984.0,71859.0,63218.99999999999,55028.0,47352.0,40264.0,33755.0,27701.0,22079.0,17252.0,13372.0,10272.0,7070.0,4861.000000000001,3862.0,2715.0,1420.0,713.0,581.0,440.0,288.00000000000006,127.0,114.0
