Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,949.0000000000001,897.0,850.0,807.9999999999999,769.0,735.0,703.0,675.0,650.0,626.0,605.0,586.0,568.0,547.9999999999999,528.0,510.0,492.00000000000006,475.0,457.99999999999994,442.0,426.0,411.00000000000006,396.0,382.0,368.0,355.0,342.0,328.99999999999994,317.0,305.0,293.0,282.0,271.0,261.0,251.0,241.00000000000003,231.0,222.0,214.0,206.00000000000003,198.0,191.0,184.0,176.00000000000003,168.99999999999997,162.0,156.0,149.0,144.00000000000003,138.0,132.0,127.0,122.0,115.99999999999999,111.0,106.0,100.99999999999999,96.0,91.0,87.0,81.99999999999999,77.0,73.0,70.0,68.0,65.0,63.0,60.0,55.99999999999999,52.00000000000001,48.0,44.00000000000001,40.0,36.00000000000001,33.0,30.0,27.000000000000004,24.0,20.0,17.0,13.000000000000002,10.0,6.999999999999999,6.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,975.0,922.9999999999999,874.0000000000001,830.0,790.0,755.0,722.0,694.0000000000001,667.0,643.0,619.0,599.0,580.0,561.0,541.0,522.0,503.0,485.0,468.0,452.0,435.0,420.0,403.99999999999994,390.0,376.0,362.00000000000006,349.0,336.0,324.0,312.0,300.0,288.00000000000006,276.99999999999994,267.0,256.0,246.00000000000003,236.00000000000003,226.99999999999997,218.0,210.0,201.99999999999997,193.99999999999997,187.0,180.0,173.00000000000003,166.0,159.0,152.0,146.0,140.0,135.0,129.0,124.0,118.00000000000001,113.0,108.00000000000001,103.00000000000001,98.0,93.00000000000001,88.00000000000001,83.0,79.0,74.00000000000001,70.0,67.0,64.0,62.0,59.00000000000001,57.0,53.0,49.0,45.0,40.0,37.00000000000001,33.0,30.0,27.000000000000004,24.0,21.0,18.000000000000004,15.0,12.0,9.000000000000002,6.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,1012.9999999999999,950.0,903.0,857.0,815.0,778.0,745.0,715.0,689.0,664.0,640.0,617.0,596.0,576.0000000000001,557.0,537.9999999999999,518.0,500.0,482.00000000000006,465.0,447.99999999999994,432.00000000000006,416.00000000000006,401.0,386.0,372.00000000000006,359.0,345.0,332.99999999999994,320.0,308.0,297.0,285.0,273.99999999999994,264.0,253.0,243.0,234.0,223.99999999999997,215.0,207.0,198.99999999999997,192.0,185.0,178.00000000000003,170.0,163.0,157.0,150.0,144.00000000000003,138.0,132.0,127.0,121.0,115.99999999999999,111.0,105.0,100.0,95.0,91.0,86.0,81.0,76.0,72.00000000000001,67.0,64.0,62.0,59.00000000000001,57.0,54.00000000000001,50.0,46.0,42.0,38.0,34.0,31.0,27.000000000000004,24.0,22.000000000000004,19.0,16.0,13.000000000000002,10.0,6.999999999999999,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,1056.0,988.0,927.9999999999999,885.9999999999999,842.0000000000001,802.9999999999999,769.0,738.0,710.0,686.0,662.0,639.0,616.0,595.0,575.0,556.0,536.0,517.0,498.0,480.0,462.0,445.0,429.0,414.0,398.99999999999994,384.0,370.0,356.00000000000006,343.0,331.0,318.0,306.0,295.0,283.00000000000006,272.0,262.0,251.0,241.00000000000003,231.99999999999997,222.0,213.0,205.0,196.99999999999997,190.0,183.0,176.00000000000003,168.99999999999997,162.0,155.0,148.00000000000003,142.0,136.0,130.0,125.0,119.00000000000001,114.0,108.00000000000001,103.00000000000001,98.0,93.00000000000001,88.00000000000001,83.0,79.0,74.00000000000001,69.0,65.0,62.0,59.00000000000001,55.99999999999999,54.00000000000001,51.0,47.0,43.0,39.0,35.0,31.0,27.999999999999996,25.0,22.000000000000004,19.0,16.0,13.000000000000002,11.000000000000002,8.0,6.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,1097.9999999999998,1028.0,965.0,910.0,870.0,829.0000000000001,792.0,760.0,731.0,706.0,684.0,662.0,639.0,616.0,595.0,575.0,555.0,535.0,516.0,497.00000000000006,478.0,460.0,444.0,428.0,412.00000000000006,397.0,382.0,368.0,355.0,341.0,328.99999999999994,317.0,304.0,293.0,282.0,271.0,260.0,250.0,240.0,230.0,221.0,212.0,204.0,196.0,188.0,181.00000000000003,174.0,166.99999999999997,160.0,153.0,147.0,140.0,134.0,129.0,123.00000000000001,117.0,111.99999999999999,106.0,100.99999999999999,96.0,91.0,86.0,81.0,76.0,71.0,67.0,63.0,59.00000000000001,55.99999999999999,54.00000000000001,51.0,48.0,44.00000000000001,40.0,36.00000000000001,32.0,28.999999999999996,25.0,22.000000000000004,19.0,17.0,13.999999999999998,11.000000000000002,9.000000000000002,6.999999999999999,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,1137.0,1065.9999999999998,1002.0,946.0,897.0,853.0,815.0,780.9999999999999,750.9999999999999,725.0,702.0000000000001,682.0,660.9999999999999,639.0,616.0,594.0,574.0,553.9999999999999,534.0,514.0,495.0,477.00000000000006,458.99999999999994,442.0,426.0,410.0,395.0,381.0,366.0,353.0,340.0,327.0,315.0,303.0,291.00000000000006,280.0,268.99999999999994,258.0,248.0,238.00000000000003,228.0,218.99999999999997,210.0,201.99999999999997,193.99999999999997,187.0,180.0,173.00000000000003,166.0,158.0,152.0,145.0,139.0,133.0,127.0,121.0,115.0,110.0,104.00000000000001,99.0,94.0,89.00000000000001,84.0,79.0,74.00000000000001,69.0,64.0,60.0,57.0,54.00000000000001,51.0,48.0,45.0,42.0,38.0,34.0,30.0,26.000000000000004,23.0,20.0,17.0,13.999999999999998,11.000000000000002,9.000000000000002,6.999999999999999,5.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,1165.0,1112.0,1047.0,988.0,936.0,889.0,847.0,810.0,777.0,748.0,722.0,698.0,677.9999999999999,657.9999999999999,635.0,612.0,590.0,570.0,550.0,530.0,510.0,491.0,473.0,455.0,437.99999999999994,422.00000000000006,407.0,392.0,377.0,363.0,350.0,336.0,324.0,312.0,300.0,288.00000000000006,276.99999999999994,266.0,255.0,245.0,235.0,226.0,216.00000000000003,208.00000000000003,198.99999999999997,192.0,184.0,177.0,170.0,163.0,156.0,149.0,142.0,136.0,130.0,124.0,118.00000000000001,113.0,107.0,102.0,96.0,91.0,86.0,81.0,76.0,71.0,66.0,61.0,57.0,54.00000000000001,51.0,48.0,45.0,42.0,39.0,35.0,31.0,27.000000000000004,24.0,20.0,17.0,15.0,12.0,10.0,8.0,6.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,1190.0,1125.0,1088.0,1029.0000000000002,974.0000000000001,925.0,880.9999999999999,841.0,805.0,773.0,744.0000000000001,719.0000000000001,696.0,675.0,654.0,632.0,608.0,587.0000000000001,566.0000000000001,546.0,526.0,506.0,487.00000000000006,469.0,451.0,435.0,419.0,402.99999999999994,387.99999999999994,374.0,360.0,346.00000000000006,332.99999999999994,321.0,309.0,297.0,285.0,273.99999999999994,263.0,253.0,243.0,233.0,223.0,214.0,205.0,196.99999999999997,188.99999999999997,182.0,175.0,168.0,161.0,154.0,147.0,140.0,133.0,127.0,121.0,115.99999999999999,110.0,104.00000000000001,99.0,93.00000000000001,88.00000000000001,83.0,78.0,73.0,68.0,63.0,59.00000000000001,54.00000000000001,51.0,48.0,45.0,42.0,39.0,36.00000000000001,32.0,27.999999999999996,24.0,21.0,18.000000000000004,15.0,13.000000000000002,10.0,8.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,1214.0,1153.0,1095.9999999999998,1065.0,1010.9999999999999,961.0,915.9999999999999,874.0000000000001,836.0,800.0,769.0,741.0,716.0,693.0,672.0,650.9999999999999,629.0,605.0,583.0,563.0,542.0,522.0,503.0,484.0,466.0,447.99999999999994,432.00000000000006,416.00000000000006,400.0,385.0,371.0,357.00000000000006,344.0,331.0,318.0,306.0,294.0,282.0,271.0,261.0,250.0,240.0,230.0,221.0,212.0,203.0,195.0,187.0,180.0,173.00000000000003,166.0,158.0,151.0,144.00000000000003,136.99999999999997,131.0,125.0,119.00000000000001,113.0,107.0,102.0,96.0,90.0,85.0,80.0,75.0,70.0,65.0,60.0,55.99999999999999,52.00000000000001,48.0,45.0,42.0,39.0,36.00000000000001,33.0,28.999999999999996,25.0,22.000000000000004,18.000000000000004,15.0,13.000000000000002,11.000000000000002,8.0,6.0,5.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,1240.9999999999998,1184.0000000000002,1129.0,1078.0,1043.0,994.0000000000001,949.0000000000001,907.0,867.0,831.0,797.0,765.9999999999999,739.0000000000001,714.0000000000001,691.0,670.0,649.0,626.0,603.0,581.0,560.0,539.0,519.0,500.0,481.00000000000006,462.99999999999994,445.0,429.0,413.0,397.99999999999994,382.99999999999994,368.0,354.0,341.0,327.99999999999994,316.0,303.0,292.0,280.0,268.99999999999994,258.0,248.0,238.00000000000003,228.0,218.99999999999997,210.0,201.0,193.0,185.0,178.00000000000003,171.0,163.0,156.0,149.0,142.0,135.0,129.0,122.0,115.99999999999999,110.0,105.0,99.0,93.00000000000001,88.00000000000001,81.99999999999999,77.0,72.00000000000001,67.0,62.0,57.99999999999999,53.0,49.0,45.0,42.0,39.0,36.00000000000001,33.0,30.0,26.000000000000004,22.000000000000004,19.0,16.0,13.000000000000002,11.000000000000002,8.0,6.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
