Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,1049.0000000000002,990.0,937.0,889.0,847.0,807.9999999999999,774.0,743.0,715.0,689.0,665.9999999999999,645.9999999999999,626.0,604.0,582.0000000000001,562.0,542.9999999999999,524.0,506.0,488.0,471.00000000000006,455.0,439.0,423.0,407.0,392.0,377.0,363.0,350.0,337.0,324.0,312.0,300.0,289.0,278.0,267.0,257.0,247.0,237.0,228.0,220.0,211.00000000000003,203.0,193.99999999999997,186.00000000000003,178.00000000000003,170.0,162.0,155.0,148.00000000000003,141.0,135.0,129.0,123.00000000000001,117.0,111.99999999999999,107.0,102.0,96.0,90.0,84.0,78.0,73.0,69.0,66.0,63.0,60.0,57.0,53.0,49.0,45.0,40.99999999999999,38.0,34.0,31.0,27.000000000000004,24.0,21.0,18.000000000000004,15.0,12.0,10.0,6.999999999999999,6.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,1036.0,1022.9999999999999,969.0000000000001,920.9999999999999,877.0,837.0000000000001,800.9999999999999,769.0,739.0000000000001,712.0000000000001,687.0,664.0,643.0,623.0,601.0,579.0,558.9999999999999,539.0,520.0,502.0,485.0,468.0,451.0,435.0,419.0,403.99999999999994,389.0,374.0,360.0,346.00000000000006,332.99999999999994,321.0,309.0,297.0,286.00000000000006,275.0,264.0,253.0,243.0,234.0,225.0,216.00000000000003,208.00000000000003,200.0,191.0,183.0,174.0,166.0,159.0,152.0,145.0,138.0,132.0,125.0,120.0,114.0,109.0,104.00000000000001,98.0,92.0,86.0,80.0,75.0,70.0,66.0,63.0,60.0,57.0,54.00000000000001,50.0,46.0,42.0,38.0,35.0,31.0,27.999999999999996,25.0,22.000000000000004,19.0,16.0,13.000000000000002,11.000000000000002,8.0,6.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,1042.0,999.0000000000001,998.0,949.0000000000001,905.0,865.0,828.0,795.0,764.0,736.0,710.0,685.0,662.0,640.9999999999999,620.0,599.0,577.0000000000001,556.0,536.0,517.0,499.0,481.00000000000006,463.99999999999994,447.99999999999994,432.00000000000006,416.00000000000006,400.0,385.0,371.0,357.00000000000006,343.0,330.0,318.0,306.0,294.0,283.00000000000006,271.0,261.0,250.0,240.0,231.0,222.0,213.0,205.0,196.99999999999997,188.0,180.0,171.0,163.0,156.0,148.00000000000003,142.0,135.0,129.0,122.0,117.0,111.0,105.0,100.0,95.0,89.00000000000001,83.0,77.0,71.0,66.0,63.0,60.0,57.0,54.00000000000001,51.0,47.0,43.0,39.0,35.0,32.0,28.999999999999996,25.0,22.000000000000004,19.0,17.0,13.999999999999998,11.000000000000002,9.000000000000002,6.999999999999999,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,1062.0,1020.9999999999999,983.0,973.0,929.0,889.0,853.0,819.0000000000001,787.9999999999999,760.0,733.0,708.0,682.9999999999999,660.0,639.0,617.0,596.0,574.0,552.9999999999999,532.9999999999999,513.0,495.0,478.0,461.0,444.0,428.0,412.00000000000006,397.0,382.0,368.0,354.0,340.0,327.0,315.0,303.0,291.00000000000006,278.99999999999994,268.0,258.0,247.0,237.0,228.0,218.99999999999997,210.0,201.99999999999997,193.99999999999997,185.0,177.0,168.0,160.0,152.0,145.0,139.0,132.0,125.0,119.00000000000001,113.0,108.00000000000001,102.0,96.99999999999999,92.0,86.0,80.0,74.00000000000001,68.0,63.0,59.00000000000001,55.99999999999999,53.0,51.0,48.0,44.00000000000001,40.0,36.00000000000001,32.0,28.999999999999996,26.000000000000004,23.0,20.0,17.0,13.999999999999998,12.0,10.0,6.999999999999999,5.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,1093.0,1050.0,1009.0000000000001,971.0,947.0000000000001,907.9999999999999,873.0,840.0,810.0,780.9999999999999,755.0,730.0,705.0,680.9999999999999,657.9999999999999,636.0,614.0,592.0000000000001,571.0000000000001,550.0,529.0,510.0,491.0,474.0,457.0,440.0,424.0,409.0,392.99999999999994,379.0,364.0,350.0,337.0,324.0,311.0,299.0,288.00000000000006,276.0,265.0,254.0,244.0,234.0,225.0,216.00000000000003,207.0,198.99999999999997,191.0,182.0,173.00000000000003,165.0,157.0,149.0,142.0,135.0,129.0,122.0,115.99999999999999,110.0,104.00000000000001,99.0,94.0,88.00000000000001,81.99999999999999,76.0,71.0,65.0,60.0,55.99999999999999,53.0,50.0,47.0,44.00000000000001,40.99999999999999,37.00000000000001,33.0,28.999999999999996,26.000000000000004,23.0,20.0,17.0,15.0,12.0,10.0,8.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,1133.0,1084.0,1038.0,997.0,958.0,922.0,888.0,857.0,828.0,800.0,775.0,750.9999999999999,727.0,703.0,679.0,655.9999999999999,634.0,612.0,590.0,568.0,546.0,526.0,506.0,488.0,470.0,452.99999999999994,437.00000000000006,421.00000000000006,405.0,390.0,375.0,361.0,347.00000000000006,333.99999999999994,321.0,308.0,296.00000000000006,284.0,273.0,262.0,251.0,241.00000000000003,231.0,222.0,213.0,204.0,196.0,188.0,179.0,170.0,162.0,154.0,146.0,139.0,132.0,126.0,119.00000000000001,113.0,107.0,100.99999999999999,96.0,90.0,85.0,79.0,73.0,67.0,62.0,57.0,53.0,50.0,47.0,44.00000000000001,40.99999999999999,38.0,34.0,30.0,26.000000000000004,23.0,20.0,17.0,15.0,12.0,10.0,8.0,6.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,1175.0,1111.0,1064.0,1020.9999999999999,981.0,945.0,912.0,882.0,853.0,825.0,797.0,770.9999999999999,747.0,723.0,699.0000000000001,675.0,650.9999999999999,629.0,607.0,585.0,563.0,542.0,521.0,501.0,483.0,466.0,449.0,433.0,417.00000000000006,401.0,386.0,371.0,357.00000000000006,343.0,330.0,317.0,305.0,293.0,281.0,268.99999999999994,258.0,248.0,237.0,228.0,218.0,209.0,201.0,192.0,184.0,175.0,166.99999999999997,158.0,150.0,143.00000000000003,135.0,129.0,122.0,115.99999999999999,109.0,103.00000000000001,98.0,92.0,87.0,81.0,76.0,70.0,64.0,57.99999999999999,54.00000000000001,50.0,47.0,44.00000000000001,40.99999999999999,38.0,35.0,31.0,27.000000000000004,24.0,21.0,18.000000000000004,15.0,13.000000000000002,11.000000000000002,8.0,6.999999999999999,5.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,1222.0,1155.0,1090.0,1044.0,1004.0,967.0000000000001,934.0,903.0,877.0,850.0,822.0000000000001,795.0,768.0,744.0000000000001,720.0,695.0,670.9999999999999,648.0,625.0,603.0,581.0,558.9999999999999,537.9999999999999,517.0,497.00000000000006,479.0,462.0,445.0,429.0,413.0,397.99999999999994,382.99999999999994,368.0,354.0,340.0,327.0,314.0,301.0,289.0,276.99999999999994,266.0,255.0,244.0,234.0,223.99999999999997,215.0,206.00000000000003,196.99999999999997,188.99999999999997,181.00000000000003,172.0,163.0,155.0,147.0,139.0,132.0,125.0,118.00000000000001,111.99999999999999,106.0,100.0,94.0,88.00000000000001,83.0,78.0,72.00000000000001,66.0,61.0,55.0,51.0,47.0,44.00000000000001,40.99999999999999,38.0,35.0,32.0,27.999999999999996,25.0,21.0,18.000000000000004,16.0,13.000000000000002,11.000000000000002,9.000000000000002,6.999999999999999,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,1269.0000000000002,1193.0,1127.0,1070.0,1026.0,988.0,953.0,922.9999999999999,895.0,872.0,848.0,821.0,792.9999999999999,765.9999999999999,741.0,717.0000000000001,692.0000000000001,667.9999999999999,645.0,622.0,599.0,577.0000000000001,555.0,534.0,513.0,494.0,475.0,457.99999999999994,442.0,426.0,410.0,395.0,379.0,365.0,351.00000000000006,337.0,322.99999999999994,311.0,298.0,286.00000000000006,273.99999999999994,263.0,252.0,241.00000000000003,231.0,221.0,212.0,203.0,193.99999999999997,186.00000000000003,177.0,168.99999999999997,160.0,152.0,144.00000000000003,136.0,129.0,122.0,115.0,109.0,102.0,96.0,91.0,85.0,80.0,74.00000000000001,69.0,63.0,57.99999999999999,52.00000000000001,47.0,44.00000000000001,40.99999999999999,38.0,35.0,32.0,28.999999999999996,25.0,22.000000000000004,19.0,16.0,13.000000000000002,11.000000000000002,9.000000000000002,6.999999999999999,5.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,1315.9999999999998,1234.0,1162.0,1100.0,1051.0,1009.0000000000001,972.0,941.0,912.9999999999999,888.0,868.0,846.0,820.0,790.9999999999999,765.0,740.0,715.0,690.0,665.9999999999999,642.0,619.0,596.0,573.0,552.0,530.0,510.0,490.0,472.00000000000006,455.0,439.0,423.0,407.0,392.0,377.0,362.00000000000006,348.0,333.99999999999994,321.0,308.0,295.0,283.00000000000006,271.0,260.0,249.0,238.00000000000003,228.0,218.0,209.0,200.0,191.0,183.0,174.0,166.0,157.0,149.0,140.0,133.0,125.0,118.00000000000001,111.99999999999999,105.0,99.0,93.00000000000001,87.0,81.99999999999999,76.0,71.0,66.0,60.0,54.00000000000001,49.0,44.00000000000001,40.99999999999999,38.0,35.0,32.0,28.999999999999996,26.000000000000004,22.000000000000004,19.0,16.0,13.000000000000002,11.000000000000002,9.000000000000002,6.999999999999999,5.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
