Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,1998,1887,1787,1697,1616,1543,1477,1418,1365,1315,1271,1232,1194,1152,1110,1072,1035,999,964,930,897,866,835,805,775,747,719,692,667,642,617,594,571,550,529,508,488,469,451,434,418,402,387,370,355,340,326,311,299,286,273,262,251,239,228,218,208,198,187,177,166,155,146,139,134,128,123,117,109,101,93,85,78,70,64,57,51,45,38,32,25,20,14,12,10,8,6,5,4,3,2,2,1,0,0,0,0,0,0,0,0
1951,2011.0000000000002,1946,1843,1751,1667,1592,1523,1463,1406,1355,1306,1263,1223,1184,1142,1101,1062,1024,988,954,920,888,855,825,795,766,738,710,684,658,633,609,586,564,542,521,500,480,461,444,427,410,395,380,364,349,333,318,305,292,280,267,256,243,233,222,212,202,191,180,169,159,149,140,133,127,122,116,111,103,95,87,78,72,64,58,52,46,40,34,28,23,17,12,10,8,6,6,4,3,2,2,1,0,0,0,0,0,0,0,0
1952,2055,1949,1901,1806,1720,1643,1573,1510,1453,1400,1350,1302,1258,1217,1177,1137,1095,1056,1018,982,947,913,880,849,818,788,759,730,704,677,651,627,603,580,558,536,514,495,474,455,438,421,405,390,375,358,343,328,313,300,286,274,262,250,238,228,216,205,195,186,175,164,153,143,133,127,122,116,111,105,97,89,81,73,66,60,52,46,41,36,30,24,19,14,10,8,6,6,4,4,2,2,1,0,0,0,0,0,0,0,0
1953,2118,2009,1911,1859,1771,1692,1622,1557,1498,1446,1395,1347,1299,1255,1214,1173,1132,1091,1051,1012.9999999999999,975,940,907,875,843,812,782,753,725,699,672,646,622,598,575,553,530,509,490,469,450,433,416,400,385,370,354,339,323,308,294,281,269,257,244,233,221,211,200,190,180,169,159,148,137,128,121,115,109,105,99,91,83,75,67,60,54,48,42,36,30,25,21,15,11,8,6,4,4,4,2,2,2,0,0,0,0,0,0,0,0
1954,2191,2078,1974,1881,1817,1737,1665,1600,1541,1487,1439,1392,1344,1297,1253,1211,1169,1127,1087,1047,1006.9999999999999,970,935,902,869,837,806,777,748,720,693,667,641,617,593,570,548,526,505,484,465,446,429,412,395,380,365,349,333,318,304,289,276,264,252,239,228,216,205,195,185,174,163,152,142,132,123,115,109,104,98,92,85,77,69,61,55,48,42,36,32,26,21,17,13,9,5,4,3,2,2,2,2,0,0,0,0,0,0,0,0
1955,2270,2150,2040,1943,1855,1775,1703,1638,1579,1525,1477,1433,1388,1342,1295,1250,1208,1166,1124,1082,1041,1002.9999999999999,965,930,896,863,832,802,771,743,715,688,662,637,612,588,565,542,521,500,479,460,441,424,407,391,376,361,345,328,314,299,285,272,259,247,234,223,211,200,190,179,169,158,147,136,126,117,110,104,98,92,86,80,72,64,56,49,43,37,32,26,21,17,13,9,5,3,2,1,2,2,0,0,0,0,0,0,0,0,0
1956,2340,2223,2111,2009,1917,1834,1759,1692,1630,1573,1519,1469,1425,1381,1334,1287,1241,1199,1157,1115,1073,1033,994,956,921,888,856,825,794,764,736,707,681,655,630,605,582,559,536,514,493,474,453,436,417,401,385,369,354,338,323,307,292,279,265,253,240,229,216,205,194,183,173,162,152,141,130,119,111,104,98,92,86,80,74,66,58,51,45,38,32,28,23,18,15,11,7,5,3,2,1,2,0,0,0,0,0,0,0,0,0
1957,2412,2280,2178,2073,1978,1892,1815,1744,1682,1623,1566,1514,1464,1419,1374,1327,1279,1235,1191,1149,1107,1065,1025,986,948,914,881,848,817,787,758,729,701,675,649,624,599,575,552,530,509,488,467,448,429,412,395,379,364,349,333,317,302,287,272,259,246,234,222,210,199,187,176,166,156,145,134,124,114,105,98,92,86,80,74,68,60,53,45,39,34,28,24,19,15,11,9,6,4,2,1,1,0,0,0,0,0,0,0,0,0
1958,2483,2346,2223,2135,2037,1949,1869,1797,1731,1672,1617,1562,1509,1459,1413,1368,1321,1273,1228,1185,1141,1099,1058,1018,979,942,907,874,842,811,781,752,723,696,669,643,617,593,569,547,524,503,482,462,443,424,407,390,374,359,343,327,311,296,281,267,254,241,228,216,204,192,181,170,160,149,139,128,118,108,99,92,86,80,74,68,62,54,47,41,34,28,24,20,15,11,9,7,4,3,2,1,0,0,0,0,0,0,0,0,0
1959,2557,2418,2291,2178,2094,2003,1921,1848,1780,1719,1665,1612,1559,1505,1456,1410,1364,1316,1269,1223,1179,1135,1092,1052,1010.9999999999999,973,935,901,868,837,806,775,746,718,690,664,637,613,588,564,541,519,498,477,457,438,419,402,385,369,354,337,322,306,291,275,262,247,234,222,210,198,186,175,164,153,143,133,122,112,102,93,86,80,74,68,62,56,48,41,35,29,24,20,15,11,9,6,4,3,2,1,0,0,0,0,0,0,0,0,0
