Time,Births
1950,250987.0
1951,262593.0
1952,274667.0
1953,286909.0
1954,299121.0
1955,311322.0
1956,322338.0
1957,333401.0
1958,344704.0
1959,356456.0
1960,353007.0
1961,363935.0
1962,375787.0
1963,388410.0
1964,401582.0
1965,382920.0
1966,395975.0
1967,409520.0
1968,423692.0
1969,438751.0
1970,394811.0
1971,409143.0
1972,424513.0
1973,440842.0
1974,457928.0
1975,433874.0
1976,451107.0
1977,468568.0
1978,486360.0
1979,504703.0
1980,470083.0
1981,486724.0
1982,504083.0
1983,521801.0
1984,539325.0
1985,519008.0
1986,534966.0
1987,550233.0
1988,564968.0
1989,579541.0
1990,532987.0
1991,545363.0
1992,557978.0
1993,570663.0
1994,583135.0
1995,542972.0
1996,554408.0
1997,565412.0
1998,576203.0
1999,587103.0
2000,556433.0
2001,566803.0
2002,577302.0
2003,587790.0
2004,598023.0
2005,570560.0
2006,579021.0
2007,586937.0
2008,594395.0
2009,601546.0
2010,575735.0
2011,582664.0
2012,589382.0
2013,594682.0
2014,597106.0
2015,566484.0
2016,552060.0
2017,534177.0
2018,515661.0
2019,499735.0
2020,467756.0
2021,478486.0
2022,492580.0
2023,508693.0
2024,524889.0
2025,519774.0
2026,529148.0
2027,537535.0
2028,544540.0
2029,549725.0
2030,533019.0
2031,534562.0
2032,534584.0
2033,533298.0
2034,531155.0
2035,511256.0
2036,508652.0
2037,505455.0
2038,501986.0
2039,498626.0
2040,481076.0
2041,478921.0
2042,477131.0
2043,475671.0
2044,474416.0
2045,461827.0
2046,461176.0
2047,460693.0
2048,460268.0
2049,459754.0
2050,450232.0
2051,449725.0
2052,449062.0
2053,448185.0
2054,447044.0
2055,439159.0
2056,437938.0
2057,436436.0
2058,434635.0
2059,432532.0
2060,425521.0
2061,423372.0
2062,420946.0
2063,418269.0
2064,415382.0
2065,410047.0
2066,407309.0
2067,404426.0
2068,401417.0
2069,398314.0
2070,394097.0
2071,391325.0
2072,388539.0
2073,385736.0
2074,382898.0
2075,377935.0
2076,375473.0
2077,373027.0
2078,370558.0
2079,368019.0
2080,365439.0
2081,363215.0
2082,360941.0
2083,358593.0
2084,356142.0
2085,353434.0
2086,351234.0
2087,348965.0
2088,346585.0
2089,344063.0
2090,341690.0
2091,339421.0
2092,337049.0
2093,334559.0
2094,331943.0
2095,330784.0
2096,328448.0
2097,326037.0
2098,323537.0
2099,320936.0
