Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.2782401,0.03752946,0.03752946,0.03752946,0.03752946,0.00751145,0.00751145,0.00751145,0.00751145,0.00751145,0.00539462,0.00539462,0.00539462,0.00539462,0.00539462,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.01065525,0.01065525,0.01065525,0.01065525,0.01065525,0.01184892,0.01184892,0.01184892,0.01184892,0.01184892,0.01367164,0.01367164,0.01367164,0.01367164,0.01367164,0.01619933,0.01619933,0.01619933,0.01619933,0.01619933,0.01980111,0.01980111,0.01980111,0.01980111,0.01980111,0.02342088,0.02342088,0.02342088,0.02342088,0.02342088,0.03025268,0.03025268,0.03025268,0.03025268,0.03025268,0.03815956,0.03815956,0.03815956,0.03815956,0.03815956,0.05318281,0.05318281,0.05318281,0.05318281,0.05318281,0.07305296,0.07305296,0.07305296,0.07305296,0.07305296,0.10415161,0.10415161,0.10415161,0.10415161,0.10415161,0.15449077,0.15449077,0.15449077,0.15449077,0.15449077,0.22169633,0.22169633,0.22169633,0.22169633,0.22169633,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.42418895,0.42418895,0.42418895,0.42418895,0.42418895,0.55444016,0.55444016,0.55444016,0.55444016,0.55444016,0.67226719
1951,0.2782401,0.03752946,0.03752946,0.03752946,0.03752946,0.00751145,0.00751145,0.00751145,0.00751145,0.00751145,0.00539462,0.00539462,0.00539462,0.00539462,0.00539462,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.01065525,0.01065525,0.01065525,0.01065525,0.01065525,0.01184892,0.01184892,0.01184892,0.01184892,0.01184892,0.01367164,0.01367164,0.01367164,0.01367164,0.01367164,0.01619933,0.01619933,0.01619933,0.01619933,0.01619933,0.01980111,0.01980111,0.01980111,0.01980111,0.01980111,0.02342088,0.02342088,0.02342088,0.02342088,0.02342088,0.03025268,0.03025268,0.03025268,0.03025268,0.03025268,0.03815956,0.03815956,0.03815956,0.03815956,0.03815956,0.05318281,0.05318281,0.05318281,0.05318281,0.05318281,0.07305296,0.07305296,0.07305296,0.07305296,0.07305296,0.10415161,0.10415161,0.10415161,0.10415161,0.10415161,0.15449077,0.15449077,0.15449077,0.15449077,0.15449077,0.22169633,0.22169633,0.22169633,0.22169633,0.22169633,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.42418895,0.42418895,0.42418895,0.42418895,0.42418895,0.55444016,0.55444016,0.55444016,0.55444016,0.55444016,0.67226719
1952,0.2782401,0.03752946,0.03752946,0.03752946,0.03752946,0.00751145,0.00751145,0.00751145,0.00751145,0.00751145,0.00539462,0.00539462,0.00539462,0.00539462,0.00539462,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.01065525,0.01065525,0.01065525,0.01065525,0.01065525,0.01184892,0.01184892,0.01184892,0.01184892,0.01184892,0.01367164,0.01367164,0.01367164,0.01367164,0.01367164,0.01619933,0.01619933,0.01619933,0.01619933,0.01619933,0.01980111,0.01980111,0.01980111,0.01980111,0.01980111,0.02342088,0.02342088,0.02342088,0.02342088,0.02342088,0.03025268,0.03025268,0.03025268,0.03025268,0.03025268,0.03815956,0.03815956,0.03815956,0.03815956,0.03815956,0.05318281,0.05318281,0.05318281,0.05318281,0.05318281,0.07305296,0.07305296,0.07305296,0.07305296,0.07305296,0.10415161,0.10415161,0.10415161,0.10415161,0.10415161,0.15449077,0.15449077,0.15449077,0.15449077,0.15449077,0.22169633,0.22169633,0.22169633,0.22169633,0.22169633,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.42418895,0.42418895,0.42418895,0.42418895,0.42418895,0.55444016,0.55444016,0.55444016,0.55444016,0.55444016,0.67226719
1953,0.2782401,0.03752946,0.03752946,0.03752946,0.03752946,0.00751145,0.00751145,0.00751145,0.00751145,0.00751145,0.00539462,0.00539462,0.00539462,0.00539462,0.00539462,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.01065525,0.01065525,0.01065525,0.01065525,0.01065525,0.01184892,0.01184892,0.01184892,0.01184892,0.01184892,0.01367164,0.01367164,0.01367164,0.01367164,0.01367164,0.01619933,0.01619933,0.01619933,0.01619933,0.01619933,0.01980111,0.01980111,0.01980111,0.01980111,0.01980111,0.02342088,0.02342088,0.02342088,0.02342088,0.02342088,0.03025268,0.03025268,0.03025268,0.03025268,0.03025268,0.03815956,0.03815956,0.03815956,0.03815956,0.03815956,0.05318281,0.05318281,0.05318281,0.05318281,0.05318281,0.07305296,0.07305296,0.07305296,0.07305296,0.07305296,0.10415161,0.10415161,0.10415161,0.10415161,0.10415161,0.15449077,0.15449077,0.15449077,0.15449077,0.15449077,0.22169633,0.22169633,0.22169633,0.22169633,0.22169633,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.42418895,0.42418895,0.42418895,0.42418895,0.42418895,0.55444016,0.55444016,0.55444016,0.55444016,0.55444016,0.67226719
1954,0.2782401,0.03752946,0.03752946,0.03752946,0.03752946,0.00751145,0.00751145,0.00751145,0.00751145,0.00751145,0.00539462,0.00539462,0.00539462,0.00539462,0.00539462,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.007433400000000001,0.01065525,0.01065525,0.01065525,0.01065525,0.01065525,0.01184892,0.01184892,0.01184892,0.01184892,0.01184892,0.01367164,0.01367164,0.01367164,0.01367164,0.01367164,0.01619933,0.01619933,0.01619933,0.01619933,0.01619933,0.01980111,0.01980111,0.01980111,0.01980111,0.01980111,0.02342088,0.02342088,0.02342088,0.02342088,0.02342088,0.03025268,0.03025268,0.03025268,0.03025268,0.03025268,0.03815956,0.03815956,0.03815956,0.03815956,0.03815956,0.05318281,0.05318281,0.05318281,0.05318281,0.05318281,0.07305296,0.07305296,0.07305296,0.07305296,0.07305296,0.10415161,0.10415161,0.10415161,0.10415161,0.10415161,0.15449077,0.15449077,0.15449077,0.15449077,0.15449077,0.22169633,0.22169633,0.22169633,0.22169633,0.22169633,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.31368090000000004,0.42418895,0.42418895,0.42418895,0.42418895,0.42418895,0.55444016,0.55444016,0.55444016,0.55444016,0.55444016,0.67226719
1955,0.25521472,0.03421259,0.03421259,0.03421259,0.03421259,0.00693714,0.00693714,0.00693714,0.00693714,0.00693714,0.00499221,0.00499221,0.00499221,0.00499221,0.00499221,0.00690356,0.00690356,0.00690356,0.00690356,0.00690356,0.00989294,0.00989294,0.00989294,0.00989294,0.00989294,0.01097649,0.01097649,0.01097649,0.01097649,0.01097649,0.01265017,0.01265017,0.01265017,0.01265017,0.01265017,0.0150115,0.0150115,0.0150115,0.0150115,0.0150115,0.01839155,0.01839155,0.01839155,0.01839155,0.01839155,0.0218761,0.0218761,0.0218761,0.0218761,0.0218761,0.02838863,0.02838863,0.02838863,0.02838863,0.02838863,0.03609378,0.03609378,0.03609378,0.03609378,0.03609378,0.05049501,0.05049501,0.05049501,0.05049501,0.05049501,0.06972266,0.06972266,0.06972266,0.06972266,0.06972266,0.09985913,0.09985913,0.09985913,0.09985913,0.09985913,0.14847106,0.14847106,0.14847106,0.14847106,0.14847106,0.21408606,0.21408606,0.21408606,0.21408606,0.21408606,0.30447046,0.30447046,0.30447046,0.30447046,0.30447046,0.41395001,0.41395001,0.41395001,0.41395001,0.41395001,0.54411846,0.54411846,0.54411846,0.54411846,0.54411846,0.66330908
1956,0.25521472,0.03421259,0.03421259,0.03421259,0.03421259,0.00693714,0.00693714,0.00693714,0.00693714,0.00693714,0.00499221,0.00499221,0.00499221,0.00499221,0.00499221,0.00690356,0.00690356,0.00690356,0.00690356,0.00690356,0.00989294,0.00989294,0.00989294,0.00989294,0.00989294,0.01097649,0.01097649,0.01097649,0.01097649,0.01097649,0.01265017,0.01265017,0.01265017,0.01265017,0.01265017,0.0150115,0.0150115,0.0150115,0.0150115,0.0150115,0.01839155,0.01839155,0.01839155,0.01839155,0.01839155,0.0218761,0.0218761,0.0218761,0.0218761,0.0218761,0.02838863,0.02838863,0.02838863,0.02838863,0.02838863,0.03609378,0.03609378,0.03609378,0.03609378,0.03609378,0.05049501,0.05049501,0.05049501,0.05049501,0.05049501,0.06972266,0.06972266,0.06972266,0.06972266,0.06972266,0.09985913,0.09985913,0.09985913,0.09985913,0.09985913,0.14847106,0.14847106,0.14847106,0.14847106,0.14847106,0.21408606,0.21408606,0.21408606,0.21408606,0.21408606,0.30447046,0.30447046,0.30447046,0.30447046,0.30447046,0.41395001,0.41395001,0.41395001,0.41395001,0.41395001,0.54411846,0.54411846,0.54411846,0.54411846,0.54411846,0.66330908
1957,0.25521472,0.03421259,0.03421259,0.03421259,0.03421259,0.00693714,0.00693714,0.00693714,0.00693714,0.00693714,0.00499221,0.00499221,0.00499221,0.00499221,0.00499221,0.00690356,0.00690356,0.00690356,0.00690356,0.00690356,0.00989294,0.00989294,0.00989294,0.00989294,0.00989294,0.01097649,0.01097649,0.01097649,0.01097649,0.01097649,0.01265017,0.01265017,0.01265017,0.01265017,0.01265017,0.0150115,0.0150115,0.0150115,0.0150115,0.0150115,0.01839155,0.01839155,0.01839155,0.01839155,0.01839155,0.0218761,0.0218761,0.0218761,0.0218761,0.0218761,0.02838863,0.02838863,0.02838863,0.02838863,0.02838863,0.03609378,0.03609378,0.03609378,0.03609378,0.03609378,0.05049501,0.05049501,0.05049501,0.05049501,0.05049501,0.06972266,0.06972266,0.06972266,0.06972266,0.06972266,0.09985913,0.09985913,0.09985913,0.09985913,0.09985913,0.14847106,0.14847106,0.14847106,0.14847106,0.14847106,0.21408606,0.21408606,0.21408606,0.21408606,0.21408606,0.30447046,0.30447046,0.30447046,0.30447046,0.30447046,0.41395001,0.41395001,0.41395001,0.41395001,0.41395001,0.54411846,0.54411846,0.54411846,0.54411846,0.54411846,0.66330908
1958,0.25521472,0.03421259,0.03421259,0.03421259,0.03421259,0.00693714,0.00693714,0.00693714,0.00693714,0.00693714,0.00499221,0.00499221,0.00499221,0.00499221,0.00499221,0.00690356,0.00690356,0.00690356,0.00690356,0.00690356,0.00989294,0.00989294,0.00989294,0.00989294,0.00989294,0.01097649,0.01097649,0.01097649,0.01097649,0.01097649,0.01265017,0.01265017,0.01265017,0.01265017,0.01265017,0.0150115,0.0150115,0.0150115,0.0150115,0.0150115,0.01839155,0.01839155,0.01839155,0.01839155,0.01839155,0.0218761,0.0218761,0.0218761,0.0218761,0.0218761,0.02838863,0.02838863,0.02838863,0.02838863,0.02838863,0.03609378,0.03609378,0.03609378,0.03609378,0.03609378,0.05049501,0.05049501,0.05049501,0.05049501,0.05049501,0.06972266,0.06972266,0.06972266,0.06972266,0.06972266,0.09985913,0.09985913,0.09985913,0.09985913,0.09985913,0.14847106,0.14847106,0.14847106,0.14847106,0.14847106,0.21408606,0.21408606,0.21408606,0.21408606,0.21408606,0.30447046,0.30447046,0.30447046,0.30447046,0.30447046,0.41395001,0.41395001,0.41395001,0.41395001,0.41395001,0.54411846,0.54411846,0.54411846,0.54411846,0.54411846,0.66330908
1959,0.25521472,0.03421259,0.03421259,0.03421259,0.03421259,0.00693714,0.00693714,0.00693714,0.00693714,0.00693714,0.00499221,0.00499221,0.00499221,0.00499221,0.00499221,0.00690356,0.00690356,0.00690356,0.00690356,0.00690356,0.00989294,0.00989294,0.00989294,0.00989294,0.00989294,0.01097649,0.01097649,0.01097649,0.01097649,0.01097649,0.01265017,0.01265017,0.01265017,0.01265017,0.01265017,0.0150115,0.0150115,0.0150115,0.0150115,0.0150115,0.01839155,0.01839155,0.01839155,0.01839155,0.01839155,0.0218761,0.0218761,0.0218761,0.0218761,0.0218761,0.02838863,0.02838863,0.02838863,0.02838863,0.02838863,0.03609378,0.03609378,0.03609378,0.03609378,0.03609378,0.05049501,0.05049501,0.05049501,0.05049501,0.05049501,0.06972266,0.06972266,0.06972266,0.06972266,0.06972266,0.09985913,0.09985913,0.09985913,0.09985913,0.09985913,0.14847106,0.14847106,0.14847106,0.14847106,0.14847106,0.21408606,0.21408606,0.21408606,0.21408606,0.21408606,0.30447046,0.30447046,0.30447046,0.30447046,0.30447046,0.41395001,0.41395001,0.41395001,0.41395001,0.41395001,0.54411846,0.54411846,0.54411846,0.54411846,0.54411846,0.66330908
