Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,94666.0,87836.0,81882.0,76731.00000000001,72309.0,68542.0,65357.0,62681.00000000001,60438.99999999999,58556.99999999999,57027.0,55835.0,54595.0,53108.00000000001,51486.99999999999,50051.0,48739.0,47410.0,46026.0,44617.0,43253.0,41920.0,40617.0,39350.0,38116.0,36908.0,35726.0,34583.0,33483.00000000001,32423.0,31391.0,30388.0,29423.0,28499.000000000004,27611.0,26749.000000000004,25912.0,25099.0,24308.000000000004,23535.999999999996,22788.0,22066.0,21345.0,20616.0,19889.0,19179.000000000004,18473.0,17820.0,17242.0,16711.0,16190.999999999998,15703.0,15149.0,14481.0,13752.0,13050.0,12341.0,11748.0,11334.000000000002,11035.0,10722.999999999998,10427.999999999998,10081.0,9638.0,9133.0,8646.0,8158.999999999999,7678.0,7212.000000000001,6754.0,6292.000000000001,5837.000000000001,5352.0,4821.000000000001,4266.0,3731.0000000000005,3211.9999999999995,2723.9999999999995,2280.0,1878.0,1496.0,1130.0,840.0,652.0,537.0,442.0,374.0,313.0,243.0,171.0,115.0,84.0,67.0,48.0,27.000000000000004,15.0,12.0,9.000000000000002,6.0,3.0,4.0
1951,89283.99999999999,90038.0,84142.00000000001,78963.00000000001,74443.0,70521.0,67136.00000000001,64224.99999999999,61743.0,59636.0,57836.00000000001,56321.99999999999,55093.0,53809.0,52299.0,50667.0,49193.00000000001,47826.0,46453.99999999999,45050.0,43638.99999999999,42268.0,40928.00000000001,39629.0,38382.0,37178.00000000001,36001.99999999999,34856.0,33746.0,32671.999999999996,31633.000000000004,30625.0,29647.0,28704.0,27800.0,26929.000000000004,26083.000000000004,25261.999999999996,24464.000000000004,23688.000000000004,22932.0,22199.0,21490.0,20783.0,20066.0,19352.0,18653.0,17958.0,17315.0,16745.0,16221.0,15706.0,15222.999999999998,14674.000000000002,14014.000000000002,13293.0,12597.999999999998,11895.999999999998,11305.0,10886.0,10577.0,10255.999999999998,9951.0,9596.0,9147.0,8639.0,8148.0,7660.0,7178.999999999999,6713.999999999999,6257.999999999999,5801.0,5352.0,4881.0,4374.0,3850.0,3347.0,2861.0,2409.0000000000005,2004.0,1644.0000000000002,1301.9999999999998,978.0,722.0,555.0,453.99999999999994,372.00000000000006,315.0,263.0,203.0,141.0,95.0,70.0,55.0,39.0,22.000000000000004,12.0,10.0,6.0,3.0,4.0
1952,85902.0,82986.0,85895.0,80898.0,76464.0,72548.0,69104.0,66081.0,63428.99999999999,61128.0,59144.0,57413.99999999999,55911.0,54636.0,53303.00000000001,51763.00000000001,50111.00000000001,48593.0,47163.00000000001,45741.00000000001,44311.00000000001,42888.99999999999,41505.0,40150.99999999999,38849.00000000001,37615.0,36436.0,35286.0,34169.00000000001,33086.0,32031.999999999996,31010.0,30021.0,29061.0,28136.0,27247.0,26388.0,25555.0,24745.0,23958.000000000004,23194.000000000004,22449.0,21726.999999999996,21028.000000000004,20330.0,19622.0,18916.0,18225.0,17538.0,16901.0,16335.999999999998,15815.999999999998,15305.0,14823.0,14277.000000000002,13620.999999999998,12905.0,12213.0,11514.000000000002,10922.0,10495.999999999998,10175.0,9843.0,9527.000000000002,9163.0,8706.0,8191.000000000001,7695.0,7204.0,6720.0,6252.999999999999,5797.000000000001,5342.000000000001,4897.0,4437.0,3951.0,3456.0000000000005,2983.0,2526.0,2108.0,1740.0,1418.0000000000002,1115.9999999999998,831.0,608.0,462.0,373.0,305.0,259.0,215.0,165.0,113.0,75.0,55.0,44.00000000000001,31.0,17.0,10.0,6.0,3.0,4.0
1953,84419.0,82345.0,80157.0,81867.0,77764.0,74070.0,70753.99999999999,67783.99999999999,65120.00000000001,62722.0,60600.0,58736.00000000001,57075.0,55580.0,54258.0,52873.00000000001,51301.0,49626.99999999999,48061.00000000001,46567.0,45092.0,43633.99999999999,42200.0,40800.0,39430.0,38124.0,36902.0,35745.0,34620.0,33530.0,32472.0,31438.000000000004,30430.0,29458.000000000004,28517.0,27608.0,26732.0,25885.0,25061.999999999996,24261.999999999996,23485.0,22732.0,21998.0,21285.0,20595.0,19905.0,19206.0,18507.0,17823.0,17142.0,16511.0,15950.0,15433.0,14924.000000000002,14444.0,13900.0,13247.0,12534.0,11845.0,11148.0,10554.0,10120.0,9787.0,9443.999999999998,9117.0,8741.0,8276.0,7754.0,7252.000000000001,6756.0,6269.0,5798.999999999999,5343.0,4890.0,4448.0,3998.9999999999995,3534.0,3066.9999999999995,2622.0,2195.0,1809.0000000000002,1478.0000000000002,1195.0,930.9999999999999,686.0,494.0,369.0,293.0,239.0,201.99999999999997,166.99999999999997,127.0,85.0,55.0,40.99999999999999,32.0,23.0,13.000000000000002,6.0,3.0,4.0
1954,84785.0,82714.0,80551.99999999999,78317.0,77815.0,74609.0,71658.0,68944.0,66450.0,64146.0,62005.0,60061.00000000001,58318.00000000001,56727.0,55239.0,53871.0,52434.0,50830.0,49133.99999999999,47521.0,45963.0,44435.0,42948.0,41501.99999999999,40088.0,38701.0,37391.0,36180.0,35047.0,33946.0,32885.0,31851.999999999996,30837.0,29844.0,28889.0,27967.0,27074.0,26211.0,25375.999999999996,24564.0,23774.0,23008.000000000004,22265.0,21541.999999999996,20838.0,20157.0,19476.0,18785.0,18094.0,17417.0,16743.0,16117.0,15561.0,15047.0,14540.999999999998,14062.000000000002,13520.0,12870.0,12160.0,11472.999999999998,10780.0,10184.0,9741.0,9397.0,9042.0,8703.0,8317.0,7843.0,7314.0,6807.0,6307.0,5816.0,5343.999999999999,4887.0,4435.0,3997.0,3558.0000000000005,3114.0,2676.0,2259.0,1861.9999999999998,1509.0000000000002,1215.0,971.0,745.0,539.0,380.0,275.0,212.0,172.0,145.0,119.00000000000001,89.00000000000001,55.99999999999999,35.0,27.000000000000004,21.0,15.0,8.0,3.0,4.0
1955,86902.0,84036.0,81290.0,78660.0,76142.0,73732.0,71426.99999999999,69222.0,67113.0,65096.0,63155.0,61271.0,59507.0,57886.0,56365.0,54885.0,53471.0,51981.0,50346.0,48628.0,46968.99999999999,45345.0,43766.00000000001,42250.0,40793.0,39364.00000000001,37961.0,36647.0,35449.0,34338.0,33262.0,32229.0,31221.999999999996,30226.999999999996,29249.000000000004,28311.999999999996,27408.0,26533.0,25683.000000000004,24859.0,24059.0,23280.0,22524.0,21791.0,21079.0,20386.0,19714.000000000004,19042.0,18359.0,17676.0,17006.0,16339.000000000002,15718.0,15165.999999999998,14657.0,14152.999999999998,13675.999999999998,13135.0,12489.0,11783.0,11099.0,10407.0,9810.0,9359.0,9003.0,8637.0,8287.0,7890.0,7407.999999999999,6872.000000000001,6359.0,5854.0,5360.0,4886.0,4428.0,3978.0,3543.9999999999995,3116.0,2693.0,2282.0,1895.0,1528.0,1208.0,951.0,745.0,558.9999999999999,392.99999999999994,265.0,182.0,132.0,104.00000000000001,88.00000000000001,70.0,50.0,27.999999999999996,15.0,12.0,9.000000000000002,6.0,3.0,4.0
1956,90323.0,83975.0,81116.0,78544.0,76215.0,74087.0,72165.0,70456.0,68676.0,66686.0,64588.00000000001,62610.0,60692.0,58882.0,57220.0,55658.0,54117.0,52623.99999999999,51073.0,49405.0,47675.0,46001.00000000001,44361.00000000001,42781.00000000001,41284.0,39859.0,38463.0,37099.00000000001,35821.0,34650.0,33562.0,32510.999999999996,31505.0,30522.0,29548.0,28589.000000000004,27670.0,26783.0,25924.0,25092.0,24284.000000000004,23498.0,22733.0,21991.0,21270.0,20568.0,19885.0,19222.0,18558.0,17885.0,17211.0,16550.0,15890.0,15275.0,14724.0,14212.0,13706.0,13225.0,12682.0,12037.0,11335.0,10652.999999999998,9965.0,9367.0,8908.999999999998,8541.0,8166.0,7806.0,7405.0,6922.000000000001,6392.0,5885.0,5388.0,4906.000000000001,4448.0,4010.0,3581.0000000000005,3168.9999999999995,2768.0000000000005,2379.0,2005.9999999999998,1656.0,1325.9999999999998,1042.0,815.0,635.0,471.00000000000006,330.0,225.0,154.0,110.0,86.0,73.0,57.99999999999999,40.99999999999999,23.0,12.0,9.000000000000002,6.0,3.0,4.0
1957,94656.0,88527.0,80979.0,78131.0,75735.0,73708.0,71971.0,70538.0,69425.0,68070.0,66200.0,64024.0,62012.0,60062.0,58206.0,56505.0,54904.0,53303.00000000001,51733.99999999999,50121.0,48422.0,46681.99999999999,44994.0,43340.0,41760.0,40283.0,38891.0,37531.0,36205.99999999999,34965.0,33823.0,32758.000000000004,31733.0,30755.0,29796.999999999996,28844.0,27905.0,27005.0,26136.0,25294.0,24479.0,23688.000000000004,22918.000000000004,22168.000000000004,21439.0,20730.999999999996,20041.0,19367.0,18713.0,18059.0,17396.0,16732.0,16079.0,15427.999999999998,14819.0,14269.0,13755.999999999998,13247.0,12763.0,12219.000000000002,11575.999999999998,10878.0,10199.0,9516.0,8917.0,8452.0,8073.0,7688.0,7320.0,6914.0,6432.0,5907.0,5407.0,4919.0,4449.0,4006.9999999999995,3589.0,3182.0,2792.0,2419.0,2064.0,1729.0,1416.9999999999998,1124.0,874.0000000000001,677.9999999999999,524.0,384.0,268.0,184.0,127.0,89.00000000000001,68.0,57.99999999999999,46.0,33.0,18.000000000000004,9.000000000000002,6.0,3.0,4.0
1958,99402.0,91389.0,84772.0,78030.0,75192.0,72969.0,71243.0,69895.0,68949.0,68429.0,67498.0,65748.0,63491.00000000001,61445.0,59461.99999999999,57560.0,55818.00000000001,54178.99999999999,52516.99999999999,50870.0,49196.00000000001,47465.0,45714.0,44012.0,42342.0,40762.0,39303.00000000001,37944.0,36619.0,35333.0,34128.0,33014.0,31971.999999999996,30973.000000000004,30021.0,29088.0,28156.0,27237.0,26354.0,25503.0,24678.0,23880.0,23105.0,22351.0,21615.0,20900.0,20203.0,19524.0,18860.0,18215.0,17570.0,16916.0,16262.0,15618.0,14975.0,14370.999999999998,13822.000000000002,13307.0,12797.0,12309.000000000002,11763.0,11122.0,10427.0,9752.0,9071.0,8472.000000000002,8000.0,7610.0,7215.0,6838.999999999999,6427.000000000001,5946.000000000001,5427.000000000001,4933.0,4453.0,3995.0,3569.0,3171.0000000000005,2786.0,2418.0,2072.0,1750.0,1453.0,1178.0,922.9999999999999,708.0,542.0,414.0,297.0,205.0,144.00000000000003,99.0,67.0,50.0,43.0,34.0,24.0,13.000000000000002,6.0,3.0,4.0
1959,103987.00000000001,94397.0,86564.0,80304.0,75214.0,72380.0,70327.0,68899.0,67937.0,67476.0,67550.0,67040.0,65406.00000000001,63066.0,60981.0,58961.99999999999,57011.0,55226.00000000001,53544.0,51818.99999999999,50092.0,48354.0,46588.0,44824.0,43104.0,41416.00000000001,39832.0,38391.0,37061.0,35769.0,34520.0,33349.00000000001,32259.999999999996,31240.0,30264.0,29338.0,28428.0,27516.0,26614.0,25749.000000000004,24913.0,24104.0,23320.999999999996,22561.0,21820.999999999996,21099.0,20395.0,19710.0,19040.0,18385.0,17748.0,17111.0,16465.0,15819.0,15183.0,14548.0,13947.000000000002,13399.0,12880.999999999998,12368.0,11875.0,11327.0,10687.000000000002,9994.0,9320.0,8642.999999999998,8042.0,7561.0,7160.0,6755.0,6369.0,5951.000000000001,5471.0,4956.0,4467.0,3995.0,3548.0,3138.0,2758.0,2394.0,2048.0,1729.0,1440.0,1180.0,942.0000000000001,724.0000000000001,542.9999999999999,406.0,304.0,210.0,143.00000000000003,103.00000000000001,72.00000000000001,46.0,33.0,27.000000000000004,21.0,15.0,8.0,3.0,4.0
