Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15669113062072887,0.18435106267260432,0.20964055977654178,0.2312055347214612,0.24812996155671255,0.2600058220846064,0.2669188729323635,0.2694288895659268,0.2684484469680712,0.2650435982368078,0.2603162402444019,0.25531558755657724,0.25071239843799487,0.2468270133427436,0.24394993691644443,0.2423665202207713,0.24233239637740311,0.2432298584586638,0.24354828635075332,0.24173668216394117,0.23632835442703423,0.22614166491956908,0.21102971614798943,0.19184161573923922,0.1697326117905987,0.14601521391364009,0.12201648653620692,0.09889572941513218,0.07758896886113471,0.0588031795597452,0.042963038970766726,0.03019934331211685,0.020380897023517,0.01317914836365489,0.008149005744014351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15686209906893314,0.18454490227398496,0.20985596489331027,0.23144130382498262,0.2483852206665937,0.2602801327514184,0.26721213853118864,0.2697387393534772,0.26876771401193494,0.26536070983313326,0.26061595946126354,0.2555801234728652,0.25093357706704966,0.24701720344686007,0.24414123326135911,0.2426103737632333,0.24269873675501144,0.24376324939885205,0.24421998111121923,0.24243924031462963,0.23688082340511654,0.2263157290614056,0.21066846454780952,0.19094835601654547,0.1684424821502432,0.14454210302517084,0.12059259288357331,0.09771225062083186,0.07676092598881032,0.058363814827311344,0.04287546923486975,0.030379828842882258,0.02072633212591786,0.013591573856131951,0.008552177058990468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157447080877332,0.18522453988615706,0.21062291921843215,0.23228499358020852,0.24929314350401277,0.2612392327420847,0.2682099159588685,0.270761437735222,0.26979831731513837,0.26637977427856896,0.26160255540313365,0.2565129783384375,0.25180404203260803,0.2478408429004208,0.24495678685697955,0.24347932427626648,0.24370428813155048,0.2449577214222173,0.24556718431953567,0.24380801810286468,0.23805171590710011,0.22701344429487938,0.21070395247911608,0.19032296948301622,0.16731225416268852,0.1431538137922782,0.11921324793011048,0.09656190157703987,0.07597409302111861,0.05798418960562677,0.04286905799002197,0.030660165713589604,0.021183962160287246,0.014120430930181322,0.00906781606400227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15839479358192035,0.1863296928143154,0.2118728957891911,0.2336610152553719,0.250772548089902,0.262797940026283,0.2698245867469698,0.2724083529058695,0.2714518196131934,0.2680134866476683,0.2631905016763791,0.25803076196739305,0.25324254897977294,0.24921843560195475,0.24631805858770736,0.24489461665335502,0.24526857811465208,0.24673023166370905,0.2475050042229529,0.24575855454439358,0.23976082450934658,0.22816419373788058,0.21108029901319247,0.18992695030995582,0.1663201258370211,0.1418413850017541,0.11787647054311699,0.09544387053170732,0.07522482398411891,0.05765638601758414,0.04293264383753546,0.031028637956532264,0.021744705654303316,0.014761856468713863,0.009698530333395952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15965539753251007,0.18780177431323247,0.21353929485812753,0.23549590387923744,0.25274452901770106,0.264873453785424,0.27197097025967026,0.27459330526578374,0.27364221831762614,0.2701769390437472,0.265296622976962,0.26005239165046923,0.25517012118216087,0.25107271091200334,0.24814868476279203,0.24677960632738666,0.24731315294454262,0.24899962855001542,0.24995029188328172,0.24820799818747102,0.24192947397052939,0.22969887323196517,0.21174307392462954,0.18972301580722922,0.16544511677011953,0.14059623307727667,0.11658035939243092,0.09435737319643382,0.07450963159145547,0.05737279268819519,0.043055381629007745,0.031473689287858264,0.02239945743673073,0.015512002247551733,0.010447433413896276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1611793642072357,0.1895825680543074,0.21555594040313183,0.23771666127744526,0.25513067719561305,0.267383483458716,0.2745643940008922,0.27723060941343003,0.27628398790840547,0.2727856891014515,0.2678382115159171,0.26249727369598497,0.2575083011560924,0.2533269318452312,0.25037281134973705,0.24905807209708394,0.24975980380346563,0.2516847500242233,0.25281964481294644,0.2510731353167814,0.244478766166496,0.2315485618430382,0.2126384752441403,0.1896747001787558,0.16466691621734403,0.139410113849695,0.11532308861595088,0.09330165186945005,0.07382517319210255,0.057126044872741914,0.0432265769627776,0.03198357519381995,0.023138495179696614,0.016366191175183308,0.011317148160567291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16291651686602984,0.19161310490340427,0.21785580645978397,0.2402493526207656,0.2578515720665397,0.27024466412776327,0.277519059122853,0.2802334155064502,0.279290421552226,0.27575412384650705,0.27073143190812843,0.2652837642815976,0.26017767188247837,0.2559034651561437,0.25291368679312193,0.25165279102197263,0.2525290677637886,0.25470281457060595,0.2560277173314732,0.2542687240922204,0.24732810556242965,0.2336434163056865,0.2137126536689688,0.18974602291346743,0.1639657574685319,0.13827508935304442,0.11410290374635383,0.0922759745924966,0.073168238268365,0.056908974629711326,0.04343554942855653,0.03254606338435357,0.023950930561937624,0.017318061920035516,0.01230867619212451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16481523545607002,0.19383273253324948,0.2203699625292034,0.24301794465498044,0.2608255336269828,0.273371244972005,0.280746687539282,0.2835123363000849,0.2825722583486387,0.27899410553988657,0.2738900014514432,0.268327896866692,0.26309663521269255,0.25872260122646956,0.25569250166268304,0.2544843639887469,0.2555389924467097,0.2579680948609101,0.2594858285199031,0.2577061265940149,0.25039399794970035,0.23591178260222062,0.2149111780369764,0.18990122801406864,0.16332231689490864,0.13718349929704585,0.11291811788315913,0.09127963434033255,0.0725357373735017,0.0567145703909542,0.043671523311146744,0.033148181863578936,0.024824205787584243,0.018358698545381757,0.013420104466117837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16681178382266365,0.19616668151037106,0.22301354187952296,0.24592892523489235,0.2639522029341755,0.2766579714745136,0.28413904710238125,0.28695791396778714,0.28602031192359956,0.28239789480678024,0.27720845381114634,0.27152695466697185,0.2661652708477257,0.26168676591471396,0.2586131080818564,0.2574566889210612,0.25869170977507755,0.2613799389215012,0.2630916324372111,0.261284615445602,0.253582710360674,0.2382736608875036,0.21617276355997322,0.1900985187761778,0.16271148842109273,0.13612200425103171,0.11176171698167794,0.09030735471308737,0.07192103810013552,0.05653326441349409,0.043921785861873924,0.03377506913392449,0.025743367283601486,0.019476002819936115,0.014645769480035868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16879874994641206,0.19848931168686826,0.22564427798164738,0.24882586677241242,0.267064049324544,0.27992954548343746,0.2875163760831732,0.29038889263954704,0.2894542373763141,0.2857877951384592,0.28051278369578747,0.27471100583208985,0.26921769255105843,0.2646339137437288,0.2615169482884935,0.2604142178693052,0.26183414727929644,0.2647880614576322,0.26669960490113925,0.2648669009793695,0.2567697407540804,0.24062220031972104,0.21741111408056976,0.19027166434479656,0.1620840676410872,0.1350541327604606,0.1106056220622153,0.08933589743844238,0.0713032396497427,0.05634493462184854,0.04416627359266741,0.034406841182545736,0.02668977518691623,0.020654705165861792,0.015976989843669687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
