Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.12295976,0.0201134,0.0201134,0.0201134,0.0201134,0.00557622,0.00557622,0.00557622,0.00557622,0.00557622,0.00330226,0.00330226,0.00330226,0.00330226,0.00330226,0.00419455,0.00419455,0.00419455,0.00419455,0.00419455,0.00568259,0.00568259,0.00568259,0.00568259,0.00568259,0.00656359,0.00656359,0.00656359,0.00656359,0.00656359,0.00753136,0.00753136,0.00753136,0.00753136,0.00753136,0.00883541,0.00883541,0.00883541,0.00883541,0.00883541,0.0104084,0.0104084,0.0104084,0.0104084,0.0104084,0.01200423,0.01200423,0.01200423,0.01200423,0.01200423,0.01544928,0.01544928,0.01544928,0.01544928,0.01544928,0.01984914,0.01984914,0.01984914,0.01984914,0.01984914,0.02881783,0.02881783,0.02881783,0.02881783,0.02881783,0.04359732,0.04359732,0.04359732,0.04359732,0.04359732,0.06904063,0.06904063,0.06904063,0.06904063,0.06904063,0.10976868,0.10976868,0.10976868,0.10976868,0.10976868,0.18053288,0.18053288,0.18053288,0.18053288,0.18053288,0.29271276,0.29271276,0.29271276,0.29271276,0.29271276,0.46024812,0.46024812,0.46024812,0.46024812,0.46024812,0.62392598,0.62392598,0.62392598,0.62392598,0.62392598,0.78228078
1951,0.12295976,0.0201134,0.0201134,0.0201134,0.0201134,0.00557622,0.00557622,0.00557622,0.00557622,0.00557622,0.00330226,0.00330226,0.00330226,0.00330226,0.00330226,0.00419455,0.00419455,0.00419455,0.00419455,0.00419455,0.00568259,0.00568259,0.00568259,0.00568259,0.00568259,0.00656359,0.00656359,0.00656359,0.00656359,0.00656359,0.00753136,0.00753136,0.00753136,0.00753136,0.00753136,0.00883541,0.00883541,0.00883541,0.00883541,0.00883541,0.0104084,0.0104084,0.0104084,0.0104084,0.0104084,0.01200423,0.01200423,0.01200423,0.01200423,0.01200423,0.01544928,0.01544928,0.01544928,0.01544928,0.01544928,0.01984914,0.01984914,0.01984914,0.01984914,0.01984914,0.02881783,0.02881783,0.02881783,0.02881783,0.02881783,0.04359732,0.04359732,0.04359732,0.04359732,0.04359732,0.06904063,0.06904063,0.06904063,0.06904063,0.06904063,0.10976868,0.10976868,0.10976868,0.10976868,0.10976868,0.18053288,0.18053288,0.18053288,0.18053288,0.18053288,0.29271276,0.29271276,0.29271276,0.29271276,0.29271276,0.46024812,0.46024812,0.46024812,0.46024812,0.46024812,0.62392598,0.62392598,0.62392598,0.62392598,0.62392598,0.78228078
1952,0.12295976,0.0201134,0.0201134,0.0201134,0.0201134,0.00557622,0.00557622,0.00557622,0.00557622,0.00557622,0.00330226,0.00330226,0.00330226,0.00330226,0.00330226,0.00419455,0.00419455,0.00419455,0.00419455,0.00419455,0.00568259,0.00568259,0.00568259,0.00568259,0.00568259,0.00656359,0.00656359,0.00656359,0.00656359,0.00656359,0.00753136,0.00753136,0.00753136,0.00753136,0.00753136,0.00883541,0.00883541,0.00883541,0.00883541,0.00883541,0.0104084,0.0104084,0.0104084,0.0104084,0.0104084,0.01200423,0.01200423,0.01200423,0.01200423,0.01200423,0.01544928,0.01544928,0.01544928,0.01544928,0.01544928,0.01984914,0.01984914,0.01984914,0.01984914,0.01984914,0.02881783,0.02881783,0.02881783,0.02881783,0.02881783,0.04359732,0.04359732,0.04359732,0.04359732,0.04359732,0.06904063,0.06904063,0.06904063,0.06904063,0.06904063,0.10976868,0.10976868,0.10976868,0.10976868,0.10976868,0.18053288,0.18053288,0.18053288,0.18053288,0.18053288,0.29271276,0.29271276,0.29271276,0.29271276,0.29271276,0.46024812,0.46024812,0.46024812,0.46024812,0.46024812,0.62392598,0.62392598,0.62392598,0.62392598,0.62392598,0.78228078
1953,0.12295976,0.0201134,0.0201134,0.0201134,0.0201134,0.00557622,0.00557622,0.00557622,0.00557622,0.00557622,0.00330226,0.00330226,0.00330226,0.00330226,0.00330226,0.00419455,0.00419455,0.00419455,0.00419455,0.00419455,0.00568259,0.00568259,0.00568259,0.00568259,0.00568259,0.00656359,0.00656359,0.00656359,0.00656359,0.00656359,0.00753136,0.00753136,0.00753136,0.00753136,0.00753136,0.00883541,0.00883541,0.00883541,0.00883541,0.00883541,0.0104084,0.0104084,0.0104084,0.0104084,0.0104084,0.01200423,0.01200423,0.01200423,0.01200423,0.01200423,0.01544928,0.01544928,0.01544928,0.01544928,0.01544928,0.01984914,0.01984914,0.01984914,0.01984914,0.01984914,0.02881783,0.02881783,0.02881783,0.02881783,0.02881783,0.04359732,0.04359732,0.04359732,0.04359732,0.04359732,0.06904063,0.06904063,0.06904063,0.06904063,0.06904063,0.10976868,0.10976868,0.10976868,0.10976868,0.10976868,0.18053288,0.18053288,0.18053288,0.18053288,0.18053288,0.29271276,0.29271276,0.29271276,0.29271276,0.29271276,0.46024812,0.46024812,0.46024812,0.46024812,0.46024812,0.62392598,0.62392598,0.62392598,0.62392598,0.62392598,0.78228078
1954,0.12295976,0.0201134,0.0201134,0.0201134,0.0201134,0.00557622,0.00557622,0.00557622,0.00557622,0.00557622,0.00330226,0.00330226,0.00330226,0.00330226,0.00330226,0.00419455,0.00419455,0.00419455,0.00419455,0.00419455,0.00568259,0.00568259,0.00568259,0.00568259,0.00568259,0.00656359,0.00656359,0.00656359,0.00656359,0.00656359,0.00753136,0.00753136,0.00753136,0.00753136,0.00753136,0.00883541,0.00883541,0.00883541,0.00883541,0.00883541,0.0104084,0.0104084,0.0104084,0.0104084,0.0104084,0.01200423,0.01200423,0.01200423,0.01200423,0.01200423,0.01544928,0.01544928,0.01544928,0.01544928,0.01544928,0.01984914,0.01984914,0.01984914,0.01984914,0.01984914,0.02881783,0.02881783,0.02881783,0.02881783,0.02881783,0.04359732,0.04359732,0.04359732,0.04359732,0.04359732,0.06904063,0.06904063,0.06904063,0.06904063,0.06904063,0.10976868,0.10976868,0.10976868,0.10976868,0.10976868,0.18053288,0.18053288,0.18053288,0.18053288,0.18053288,0.29271276,0.29271276,0.29271276,0.29271276,0.29271276,0.46024812,0.46024812,0.46024812,0.46024812,0.46024812,0.62392598,0.62392598,0.62392598,0.62392598,0.62392598,0.78228078
1955,0.11109514,0.01677019,0.01677019,0.01677019,0.01677019,0.00474292,0.00474292,0.00474292,0.00474292,0.00474292,0.00285158,0.00285158,0.00285158,0.00285158,0.00285158,0.00372671,0.00372671,0.00372671,0.00372671,0.00372671,0.00512796,0.00512796,0.00512796,0.00512796,0.00512796,0.00596708,0.00596708,0.00596708,0.00596708,0.00596708,0.00689485,0.00689485,0.00689485,0.00689485,0.00689485,0.00815933,0.00815933,0.00815933,0.00815933,0.00815933,0.00969462,0.00969462,0.00969462,0.00969462,0.00969462,0.01130164,0.01130164,0.01130164,0.01130164,0.01130164,0.01470519,0.01470519,0.01470519,0.01470519,0.01470519,0.01900345,0.01900345,0.01900345,0.01900345,0.01900345,0.02780683,0.02780683,0.02780683,0.02780683,0.02780683,0.04240244,0.04240244,0.04240244,0.04240244,0.04240244,0.06761771,0.06761771,0.06761771,0.06761771,0.06761771,0.10853082,0.10853082,0.10853082,0.10853082,0.10853082,0.17991601,0.17991601,0.17991601,0.17991601,0.17991601,0.294585,0.294585,0.294585,0.294585,0.294585,0.46896017,0.46896017,0.46896017,0.46896017,0.46896017,0.64219169,0.64219169,0.64219169,0.64219169,0.64219169,0.81221592
1956,0.11109514,0.01677019,0.01677019,0.01677019,0.01677019,0.00474292,0.00474292,0.00474292,0.00474292,0.00474292,0.00285158,0.00285158,0.00285158,0.00285158,0.00285158,0.00372671,0.00372671,0.00372671,0.00372671,0.00372671,0.00512796,0.00512796,0.00512796,0.00512796,0.00512796,0.00596708,0.00596708,0.00596708,0.00596708,0.00596708,0.00689485,0.00689485,0.00689485,0.00689485,0.00689485,0.00815933,0.00815933,0.00815933,0.00815933,0.00815933,0.00969462,0.00969462,0.00969462,0.00969462,0.00969462,0.01130164,0.01130164,0.01130164,0.01130164,0.01130164,0.01470519,0.01470519,0.01470519,0.01470519,0.01470519,0.01900345,0.01900345,0.01900345,0.01900345,0.01900345,0.02780683,0.02780683,0.02780683,0.02780683,0.02780683,0.04240244,0.04240244,0.04240244,0.04240244,0.04240244,0.06761771,0.06761771,0.06761771,0.06761771,0.06761771,0.10853082,0.10853082,0.10853082,0.10853082,0.10853082,0.17991601,0.17991601,0.17991601,0.17991601,0.17991601,0.294585,0.294585,0.294585,0.294585,0.294585,0.46896017,0.46896017,0.46896017,0.46896017,0.46896017,0.64219169,0.64219169,0.64219169,0.64219169,0.64219169,0.81221592
1957,0.11109514,0.01677019,0.01677019,0.01677019,0.01677019,0.00474292,0.00474292,0.00474292,0.00474292,0.00474292,0.00285158,0.00285158,0.00285158,0.00285158,0.00285158,0.00372671,0.00372671,0.00372671,0.00372671,0.00372671,0.00512796,0.00512796,0.00512796,0.00512796,0.00512796,0.00596708,0.00596708,0.00596708,0.00596708,0.00596708,0.00689485,0.00689485,0.00689485,0.00689485,0.00689485,0.00815933,0.00815933,0.00815933,0.00815933,0.00815933,0.00969462,0.00969462,0.00969462,0.00969462,0.00969462,0.01130164,0.01130164,0.01130164,0.01130164,0.01130164,0.01470519,0.01470519,0.01470519,0.01470519,0.01470519,0.01900345,0.01900345,0.01900345,0.01900345,0.01900345,0.02780683,0.02780683,0.02780683,0.02780683,0.02780683,0.04240244,0.04240244,0.04240244,0.04240244,0.04240244,0.06761771,0.06761771,0.06761771,0.06761771,0.06761771,0.10853082,0.10853082,0.10853082,0.10853082,0.10853082,0.17991601,0.17991601,0.17991601,0.17991601,0.17991601,0.294585,0.294585,0.294585,0.294585,0.294585,0.46896017,0.46896017,0.46896017,0.46896017,0.46896017,0.64219169,0.64219169,0.64219169,0.64219169,0.64219169,0.81221592
1958,0.11109514,0.01677019,0.01677019,0.01677019,0.01677019,0.00474292,0.00474292,0.00474292,0.00474292,0.00474292,0.00285158,0.00285158,0.00285158,0.00285158,0.00285158,0.00372671,0.00372671,0.00372671,0.00372671,0.00372671,0.00512796,0.00512796,0.00512796,0.00512796,0.00512796,0.00596708,0.00596708,0.00596708,0.00596708,0.00596708,0.00689485,0.00689485,0.00689485,0.00689485,0.00689485,0.00815933,0.00815933,0.00815933,0.00815933,0.00815933,0.00969462,0.00969462,0.00969462,0.00969462,0.00969462,0.01130164,0.01130164,0.01130164,0.01130164,0.01130164,0.01470519,0.01470519,0.01470519,0.01470519,0.01470519,0.01900345,0.01900345,0.01900345,0.01900345,0.01900345,0.02780683,0.02780683,0.02780683,0.02780683,0.02780683,0.04240244,0.04240244,0.04240244,0.04240244,0.04240244,0.06761771,0.06761771,0.06761771,0.06761771,0.06761771,0.10853082,0.10853082,0.10853082,0.10853082,0.10853082,0.17991601,0.17991601,0.17991601,0.17991601,0.17991601,0.294585,0.294585,0.294585,0.294585,0.294585,0.46896017,0.46896017,0.46896017,0.46896017,0.46896017,0.64219169,0.64219169,0.64219169,0.64219169,0.64219169,0.81221592
1959,0.11109514,0.01677019,0.01677019,0.01677019,0.01677019,0.00474292,0.00474292,0.00474292,0.00474292,0.00474292,0.00285158,0.00285158,0.00285158,0.00285158,0.00285158,0.00372671,0.00372671,0.00372671,0.00372671,0.00372671,0.00512796,0.00512796,0.00512796,0.00512796,0.00512796,0.00596708,0.00596708,0.00596708,0.00596708,0.00596708,0.00689485,0.00689485,0.00689485,0.00689485,0.00689485,0.00815933,0.00815933,0.00815933,0.00815933,0.00815933,0.00969462,0.00969462,0.00969462,0.00969462,0.00969462,0.01130164,0.01130164,0.01130164,0.01130164,0.01130164,0.01470519,0.01470519,0.01470519,0.01470519,0.01470519,0.01900345,0.01900345,0.01900345,0.01900345,0.01900345,0.02780683,0.02780683,0.02780683,0.02780683,0.02780683,0.04240244,0.04240244,0.04240244,0.04240244,0.04240244,0.06761771,0.06761771,0.06761771,0.06761771,0.06761771,0.10853082,0.10853082,0.10853082,0.10853082,0.10853082,0.17991601,0.17991601,0.17991601,0.17991601,0.17991601,0.294585,0.294585,0.294585,0.294585,0.294585,0.46896017,0.46896017,0.46896017,0.46896017,0.46896017,0.64219169,0.64219169,0.64219169,0.64219169,0.64219169,0.81221592
