Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,44434,44233,43756,43038,42116,41022,39793,38462,37066,35637,34164,32633.000000000004,31319,30355,29630,28884,28146,27478,26877,26312,25794,25365,24738,23787,22656,21567,20417,19611,19355,19430,19452,19545,19299,18486,17325,16251.999999999998,15167,14274,13712,13371,12993,12624,12283,11952,11632,11345,11086,10815,10514,10195,9887,9586,9285,8984,8683,8380,8073,7772,7480,7193,6904,6619,6308,5957,5581,5211,4840,4489,4170,3876,3581,3292,3008,2726,2450,2187,1941,1690,1427,1163,916,677,492,383,328,280,248,216,173,124,86,63,51,37,21,12,10,8,5,3,4
1951,55805,44611,43894,43126,42301,41416,40507,39611,38519,37145,35606,34096,32560.000000000004,31240,30274,29550,28799,28055,27380,26774,26206,25684,25249,24620,23668,22538,21451,20303,19498,19239,19310,19328,19418,19171,18359,17202,16132.000000000002,15052,14162,13601,13261,12885,12517,12176,11844,11524,11235,10975,10702,10398,10077,9767,9462,9158,8853,8548,8240,7929,7622,7325,7030,6733,6441,6123,5767,5387,5013,4639,4285,3965,3668,3373,3084,2803,2525,2254,1997,1758,1518,1273,1031,806,590,423,325,275,235,207,180,143,102,70,51,41,30,17,9,7,5,2,4
1952,64569.99999999999,56889,44533,43307,42253,41326,40484,39764,39205,38356,37012,35373,33834,32302,30984,30022,29302,28551,27804,27127,26519,25951,25428,24991,24362,23416,22293,21213,20074,19273,19014,19080,19095,19181,18933,18129,16982,15922,14851,13969,13414,13076,12703,12338,12000,11670,11350,11062,10801,10528,10224,9902,9591,9285,8979,8672,8364,8054,7740,7430,7127,6827,6525,6227,5904,5545,5163,4788,4413,4058,3737,3440,3146,2860,2582,2310,2045.9999999999998,1797,1566,1339,1112,894,692,499,351,265,221,188,166,143,113,79,54,40,32,23,13,6,4,2,3
1953,70932,61404,53704,44549,42815,41474,40444,39642,39109,38883,38275,36958,35216,33645,32113,30795,29835,29117,28365,27613,26932,26321,25752,25227,24787,24157,23214,22097,21022,19888,19091,18830,18892,18904,18986,18738,17938,16798,15746,14683,13807,13255,12920,12550,12187,11850,11521,11202,10913,10652,10377,10073,9749,9436,9128,8820,8510,8199,7886,7569,7255,6947,6640,6331,6027,5699,5336,4951,4574,4197,3841,3519,3221,2928,2643,2368,2101,1844,1603,1378,1163,955,760,580,411,281,205,168,142,124,106,83,57,38,28,22,16,9,3,2,3
1954,75073,65004.00000000001,56830,50360,44736,42488,40855,39718,38953,38604,38712,38341,37046,35193,33585,32048,30724,29762,29044,28288,27528,26840,26225,25652,25123,24678,24045,23101,21985,20911,19779,18982,18719,18777,18785,18863,18614,17815,16680,15631,14571,13698,13148,12814,12445,12083,11746,11417,11096,10807,10543,10267,9960,9634,9318,9007,8695,8381,8066.000000000001,7749,7427,7108,6793,6478,6162,5850,5516,5147,4759,4377,3998,3639,3314,3015,2721,2437,2164,1901,1649,1414,1196,992,802,628,470,323,212,147,115,97,84,70,53,34,22,16,13,9,5,1,2
1955,77119,67732,59989,53730,48795,45023,42252,40323,39075,38347,38182,38624,38492,37216,35249,33600,32052.999999999996,30721,29755,29035,28273,27504,26807,26186,25609,25074,24623,23986,23039,21921,20846,19713,18914,18648,18702,18707,18782,18531,17732,16598,15549,14491,13618,13069,12736,12366,12005,11668,11337,11015,10723,10458,10178,9868,9539,9220,8905,8588,8270,7950,7628,7301,6976,6653,6330,6006,5686,5344,4969,4576,4190,3806,3444,3116,2814,2518,2234,1963,1703,1457,1228,1014.9999999999999,822,650,498,361,237,143,89,63,52,43,34,23,12,6,4,3,2,1,2
1956,76657,74542,66351,59408,53614,48871,45024,41914,39741,38523,37987,37880,38305,38161,36890,34937,33295,31751,30420,29455,28737,27975,27207,26512,25892,25316,24783,24333,23699,22760,21652,20586,19464,18672,18405,18455,18456,18526,18275,17485,16364,15327,14281,13418,12873,12541,12173,11813,11477,11146,10823,10529,10262,9980,9668,9336,9014,8696,8375,8052,7727,7399,7067,6735,6406,6076,5746,5421,5076,4701,4310,3927,3548,3191,2870,2575,2289,2013.9999999999998,1755,1511,1283,1071,877,703,550,418,299,194,119,74,51,42,35,27,19,10,4,3,2,1,2
1957,75516,70205,72418,65370.00000000001,59181,53815,49237,45292,41826,39396,38202,37854,37804,38213,38057,36784,34834,33188,31638,30301,29332,28610,27845,27073,26374,25752,25175,24640,24189,23555,22617,21512,20450,19332,18541,18272,18318,18315,18381,18129,17342,16228.000000000002,15197,14156,13297,12754,12421,12053,11692,11354,11021,10696,10399,10127,9842,9526,9190,8863,8540,8213,7883,7550,7214,6876,6536,6198,5860,5522,5189,4839,4462,4070.0000000000005,3688,3311,2958,2641,2353,2073,1807,1559,1329,1117,922,744,588,454,342,239,154,95,59,40,32,27,21,15,8,3,2,1,2
1958,74244,71365,68254,70431,64516.00000000001,59072,54125,49702,45652,41822,39129,37957,37796,37803,38198,38029,36750,34800,33148,31588,30242,29266,28540,27770,26993,26289,25664,25083,24546,24093,23457,22519,21415,20354,19237,18447,18175,18217,18210,18273,18019,17234,16123.999999999998,15097,14060,13203,12661,12326,11956,11594,11254,10918,10589,10289,10013,9723,9402,9061,8729,8400,8067,7730,7388,7044,6697,6350,6002,5655,5308,4967,4611,4230,3838,3456,3081,2731,2418,2134,1861,1603,1365,1148,953,774,613,474,359,266,180,113,71,45,29,23,19,15,10,5,2,1,1
1959,73579,72705,71044,68719,68367,63596,58905,54384,50121,45968,41776,38823,37673,37701,37765,38145,37963,36681,34732,33075,31506,30153,29172,28442,27667,26885,26178,25549,24967,24428,23972,23336,22399,21297,20237,19124,18334,18061,18098,18088,18146,17890,17108,16003,14981,13949,13096,12554,12218,11848,11484,11142,10804,10472,10168,9888,9594,9268,8923,8586,8252,7913,7568,7218,6866,6511,6156,5800,5443,5088,4739,4377,3994,3601,3220,2847,2500,2191,1913,1647,1396,1168,966,787,625,480,359,263,189,120,72,47,30,18,13,11,8,6,3,1,1
