Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,90382.0,89820.0,88752.99999999999,87243.0,85355.0,83151.00000000001,80694.0,78047.0,75275.0,72438.0,69518.0,66495.0,63847.0,61805.0,60181.99999999999,58525.0,56883.99999999999,55397.0,54074.0,52849.0,51714.0,50754.0,49433.0,47513.00000000001,45265.0,43104.0,40830.0,39236.99999999999,38725.0,38864.00000000001,38902.0,39082.0,38590.0,36974.00000000001,34666.0,32530.0,30371.0,28574.0,27410.0,26666.999999999996,25851.999999999996,25049.0,24307.0,23594.0,22910.999999999996,22291.0,21728.0,21136.0,20474.0,19771.0,19094.0,18426.0,17783.0,17180.999999999996,16602.999999999996,16021.0,15443.0,14841.0,14197.000000000002,13529.000000000002,12867.0,12208.0,11546.0,10880.999999999998,10217.0,9559.0,8906.0,8266.0,7641.0,7036.000000000001,6440.0,5860.0,5298.999999999999,4758.999999999999,4242.0,3748.9999999999995,3287.0,2832.0,2377.0,1936.0,1526.0,1135.0,830.0,643.0,541.0,456.0,397.99999999999994,343.0,271.0,192.0,130.0,94.0,75.0,54.00000000000001,30.0,16.0,13.000000000000002,11.000000000000002,6.999999999999999,4.0,5.0
1951,112422.99999999999,90604.0,89059.0,87443.0,85740.0,83939.0,82106.00000000001,80309.0,78134.0,75408.99999999999,72359.0,69367.0,66334.0,63672.0,61622.0,59995.0,58323.0,56663.00000000001,55158.0,53823.0,52592.0,51449.0,50478.0,49153.0,47233.99999999999,44992.0,42838.0,40573.0,38984.0,38468.0,38598.0,38628.0,38801.0,38306.0,36693.00000000001,34393.0,32264.000000000004,30114.0,28323.0,27160.999999999996,26420.0,25607.0,24805.999999999996,24063.000000000004,23348.000000000004,22663.0,22039.0,21473.000000000004,20877.0,20210.0,19505.0,18824.0,18151.0,17504.0,16894.000000000004,16309.000000000002,15718.0,15133.0,14520.999999999998,13870.0,13192.0,12519.0,11852.0,11180.0,10508.0,9837.0,9172.0,8515.0,7871.0,7247.999999999999,6642.0,6051.0,5475.0,4923.999999999999,4396.0,3893.0000000000005,3415.0,2970.0,2538.0000000000005,2115.0,1710.9999999999998,1339.0,987.0,713.0,545.0,453.99999999999994,381.0,332.0,286.00000000000006,223.99999999999997,157.0,106.0,76.0,61.0,44.00000000000001,24.0,12.0,9.000000000000002,6.999999999999999,3.0,5.0
1952,129476.0,114376.0,90336.0,87820.0,85665.0,83779.0,82075.0,80622.0,79491.0,77797.0,75134.0,71890.0,68842.0,65815.0,63154.0,61108.00000000001,59483.99999999999,57806.99999999999,56135.0,54621.0,53282.0,52051.0,50906.00000000001,49931.00000000001,48608.00000000001,46702.0,44477.0,42342.0,40097.0,38520.0,38003.0,38123.00000000001,38146.0,38311.0,37815.0,36216.0,33936.0,31826.0,29694.000000000004,27919.0,26768.0,26031.0,25223.000000000004,24428.0,23690.0,22978.0,22293.000000000004,21669.0,21101.999999999996,20505.0,19839.000000000004,19134.0,18453.0,17779.0,17130.0,16517.0,15925.999999999998,15332.0,14741.0,14125.0,13467.0,12783.0,12106.0,11432.0,10755.0,10079.0,9405.0,8738.0,8079.000000000001,7436.0,6815.0,6213.999999999999,5629.0,5063.0,4522.0,4008.9999999999995,3523.0,3065.0,2638.0,2231.9999999999995,1841.9999999999998,1479.0,1146.0,833.0,591.0,444.0,364.0,305.0,266.0,226.99999999999997,177.0,122.0,81.0,59.00000000000001,47.0,34.0,18.000000000000004,8.0,5.0,3.0,4.0
1953,141934.0,123220.0,108096.0,90258.0,86772.0,84076.00000000001,82005.0,80393.0,79315.0,78844.0,77626.0,75018.99999999999,71574.0,68463.00000000001,65436.00000000001,62772.0,60725.0,59100.0,57416.00000000001,55728.0,54202.0,52856.0,51622.0,50472.0,49491.00000000001,48167.0,46270.0,44060.0,41937.0,39707.0,38140.0,37620.0,37731.0,37748.00000000001,37904.0,37407.0,35817.0,33552.0,31456.999999999996,29340.0,27577.0,26430.999999999996,25699.0,24896.0,24104.0,23368.000000000004,22656.999999999996,21973.000000000004,21346.999999999996,20778.000000000004,20178.0,19512.0,18805.0,18122.0,17445.999999999996,16794.0,16175.999999999998,15580.0,14980.0,14383.0,13761.0,13095.999999999998,12404.000000000002,11719.000000000002,11039.000000000002,10356.0,9674.0,8994.0,8324.0,7662.999999999999,7019.0,6399.0,5802.000000000001,5223.0,4663.0,4132.0,3633.0,3163.9999999999995,2723.9999999999995,2314.0,1931.0,1575.9999999999998,1251.0,956.0,682.9999999999999,472.00000000000006,344.0,276.0,228.99999999999997,198.0,168.0,130.0,88.00000000000001,57.0,42.0,33.0,23.0,13.000000000000002,4.0,3.0,4.0
1954,150132.0,130329.00000000001,114252.99999999999,101527.0,90517.99999999999,86050.0,82803.0,80538.0,79013.0,78305.0,78493.0,77744.0,75184.0,71524.0,68341.00000000001,65301.99999999999,62623.99999999999,60568.00000000001,58937.0,57239.0,55529.0,53985.0,52628.0,51386.0,50228.0,49236.99999999999,47907.0,46010.0,43806.00000000001,41688.99999999999,39467.0,37902.0,37379.0,37481.0,37490.0,37638.00000000001,37138.00000000001,35550.0,33294.00000000001,31206.0,29095.0,27337.0,26195.0,25463.0,24662.0,23871.0,23134.0,22421.999999999996,21733.0,21105.999999999996,20531.0,19928.0,19257.0,18547.0,17860.0,17179.000000000004,16521.0,15895.999999999998,15292.0,14684.000000000002,14079.0,13449.000000000002,12774.0,12071.0,11377.0,10687.000000000002,9996.0,9305.0,8619.0,7941.0,7276.0,6629.0,6007.999999999999,5412.000000000001,4836.0,4282.0,3759.0,3271.0000000000005,2816.9999999999995,2392.0,1999.0,1639.0,1315.0,1028.0,769.0,534.0,355.0,246.00000000000003,188.0,155.0,133.0,110.0,83.0,53.0,33.0,24.0,19.0,13.000000000000002,6.999999999999999,2.0,3.0
1955,154307.00000000003,135780.0,120501.0,108151.00000000001,98414.0,90973.0,85507.0,81700.0,79236.0,77795.0,77458.0,78307.0,78030.0,75510.0,71628.99999999999,68365.0,65307.0,62608.99999999999,60541.00000000001,58900.0,57183.0,55449.0,53882.0,52510.0,51260.0,50090.0,49086.00000000001,47748.99999999999,45849.0,43645.0,41529.0,39309.0,37744.0,37215.0,37309.0,37311.0,37453.0,36948.0,35360.0,33107.0,31019.000000000004,28910.999999999996,27154.0,26013.0,25281.0,24478.0,23688.000000000004,22950.0,22233.0,21541.0,20906.999999999996,20328.0,19718.0,19042.0,18327.0,17634.0,16948.0,16280.999999999998,15649.0,15036.0,14419.0,13804.0,13163.0,12477.0,11763.0,11057.0,10357.000000000002,9655.0,8954.0,8259.0,7575.0,6902.0,6251.0,5627.999999999999,5032.0,4457.0,3907.0,3391.0,2913.9999999999995,2474.0,2065.0,1685.0,1348.0,1057.0,805.9999999999999,584.0,387.0,238.00000000000003,149.0,102.0,81.0,67.0,53.0,36.00000000000001,18.000000000000004,9.000000000000002,6.0,5.0,3.0,2.0,3.0
1956,153632.99999999997,149171.0,132988.0,119280.0,107851.0,98502.99999999999,90930.0,84818.0,80546.0,78143.99999999999,77076.00000000001,76850.0,77663.0,77360.0,74844.0,70984.0,67727.0,64666.0,61966.0,59898.99999999999,58263.00000000001,56548.0,54817.0,53255.0,51888.99999999999,50645.0,49483.00000000001,48486.00000000001,47159.0,45276.0,43091.0,40994.0,38795.0,37243.0,36711.99999999999,36797.0,36790.0,36921.0,36416.0,34844.0,32616.0,30551.0,28465.999999999996,26726.999999999996,25593.000000000004,24864.0,24064.0,23276.0,22539.0,21823.0,21130.0,20494.0,19912.0,19299.0,18621.0,17902.0,17206.0,16516.0,15845.0,15204.0,14580.0,13953.0,13329.0,12677.999999999998,11985.0,11265.0,10554.0,9850.0,9148.0,8449.0,7757.999999999999,7080.0,6415.0,5776.0,5169.0,4593.0,4041.0000000000005,3513.0,3023.0,2578.0000000000005,2173.0,1797.0,1454.0,1151.0,893.0,675.9999999999999,483.0,318.0,198.0,123.00000000000001,83.0,66.0,55.0,42.0,28.999999999999996,15.0,6.0,4.0,3.0,2.0,3.0
1957,151667.0,140945.0,144917.0,130975.0,118751.0,108171.0,99160.0,91411.0,84622.00000000001,79860.0,77508.0,76804.0,76688.0,77469.0,77137.0,74613.0,70752.0,67481.00000000001,64400.00000000001,61681.99999999999,59605.0,57963.0,56242.0,54503.0,52936.00000000001,51568.00000000001,50326.0,49163.99999999999,48168.0,46845.0,44966.0,42787.0,40698.0,38508.0,36958.0,36423.0,36499.0,36483.00000000001,36605.0,36096.0,34530.0,32314.999999999996,30261.0,28186.0,26455.0,25323.0,24592.0,23790.0,23000.0,22260.0,21540.0,20843.000000000004,20201.0,19611.0,18993.0,18308.0,17583.0,16880.0,16183.0,15502.0,14849.0,14210.999999999998,13569.0,12933.0,12270.0,11565.0,10835.0,10115.0,9402.999999999998,8695.0,7994.0,7303.0,6627.000000000001,5967.000000000001,5336.0,4742.0,4183.0,3648.0,3140.0,2675.0,2259.0,1886.0,1543.0000000000002,1230.9999999999998,961.0,736.0,551.0,386.0,252.0,158.0,99.0,65.0,50.0,42.0,33.0,23.0,12.0,4.0,3.0,1.0,3.0
1958,149464.0,143412.0,136987.0,140932.00000000003,129211.00000000001,118454.0,108706.0,100012.0,92073.0,84590.0,79329.0,77021.99999999999,76682.0,76675.0,77426.0,77066.0,74525.0,70657.0,67367.0,64259.0,61519.0,59427.0,57776.0,56044.0,54296.00000000001,52720.0,51349.0,50103.0,48940.0,47943.99999999999,46620.0,44743.0,42567.0,40480.0,38294.00000000001,36745.0,36204.0,36271.0,36247.0,36360.0,35847.0,34284.0,32076.0,30029.0,27961.0,26234.0,25103.0,24366.999999999996,23561.999999999996,22768.0,22024.0,21299.0,20594.0,19947.0,19349.0,18723.0,18030.0,17297.0,16586.0,15880.0,15187.999999999998,14522.0,13868.0,13212.0,12560.0,11884.0,11165.999999999998,10425.0,9693.999999999998,8972.999999999998,8259.0,7553.0,6862.0,6186.0,5530.0,4906.000000000001,4323.0,3779.0,3261.0,2773.0,2331.0,1942.0,1601.0,1290.0,1010.0,773.0,580.0,426.0,289.0,185.0,118.00000000000001,75.0,47.0,36.00000000000001,30.0,23.0,16.0,8.0,3.0,1.0,1.0
1959,148447.0,146244.0,142596.0,137733.0,136800.0,127320.0,118046.0,109142.00000000001,100775.0,92652.0,84480.0,78722.0,76462.0,76488.0,76591.00000000001,77311.0,76922.0,74368.0,70497.0,67190.0,64058.00000000001,61297.0,59193.00000000001,57534.0,55794.0,54036.0,52453.99999999999,51078.99999999999,49833.0,48671.00000000001,47674.0,46352.0,44478.0,42306.00000000001,40223.0,38044.00000000001,36497.0,35952.0,36009.0,35977.0,36080.0,35562.0,34004.0,31805.0,29768.0,27709.0,25988.000000000004,24857.0,24118.000000000004,23311.999999999996,22514.0,21766.0,21035.999999999996,20327.0,19672.0,19067.999999999996,18434.0,17733.0,16994.0,16274.999999999998,15561.0,14860.0,14180.0,13511.0,12840.0,12174.000000000002,11485.0,10755.0,10002.0,9262.0,8533.0,7812.0,7104.0,6412.000000000001,5738.0,5086.0,4470.0,3898.9999999999995,3370.0,2871.0000000000005,2401.9999999999995,1982.0,1623.0000000000002,1313.0000000000002,1035.0,787.0,582.0000000000001,422.00000000000006,300.0,191.0,118.00000000000001,78.0,50.0,28.999999999999996,21.0,17.0,13.000000000000002,9.000000000000002,4.0,1.0,1.0
